bl1,bl2,bs1,bs2,dir1,dir2,condist
L1,L10,18,18,1,1,0
L1,L10,18,66,1,2,215
L1,L10,29,34,2,1,447
L1,L10,29,65,2,2,605
L1,L11,18,18,1,1,0
L1,L11,18,66,1,2,215
L1,L11,30,33,2,1,326
L1,L11,31,31,2,2,0
L1,L12,13,13,1,1,0
L1,L12,13,22,1,2,185
L1,L12,31,31,2,1,0
L1,L12,30,33,2,2,326
L1,L13,5,65,1,1,505
L1,L13,13,22,1,1,185
L1,L13,5,34,1,2,347
L1,L13,13,13,1,2,0
L1,L13,29,65,2,1,605
L1,L13,29,34,2,2,447
L1,L14,18,18,1,1,0
L1,L14,18,66,1,2,215
L1,L14,29,34,2,1,447
L1,L14,29,65,2,2,605
L1,L15,11,23,1,1,371
L1,L15,11,221,1,2,287
L1,L15,13,13,1,2,0
L1,L15,30,3,2,1,465
L1,L15,31,31,2,2,0
L1,L16,18,18,1,1,0
L1,L16,18,66,1,2,215
L1,L16,28,6,2,1,84
L1,L16,27,27,2,2,0
L1,L17,18,18,1,1,0
L1,L17,17,297,1,2,401
L1,L17,30,33,2,1,326
L1,L17,31,31,2,2,0
L1,L18,5,65,1,1,505
L1,L18,17,311,1,1,495
L1,L18,5,34,1,2,347
L1,L18,17,322,1,2,442
L1,L18,29,65,2,1,605
L1,L18,29,34,2,2,447
L1,L19,5,5,1,1,0
L1,L19,18,18,1,1,0
L1,L19,29,5,2,1,100
L1,L19,1,2,2,1,257
L1,L19,1,1,2,2,0
L1,L2,1,338,2,1,401
L1,L2,32,361,2,2,645
L1,L20,1,376,2,1,628
L1,L20,1,380,2,2,614
L1,L22,5,34,1,1,347
L1,L22,17,180,1,1,213
L1,L22,5,65,1,2,505
L1,L22,17,180,1,2,213
L1,L22,29,34,2,1,447
L1,L22,29,65,2,2,605
L1,L23,5,5,1,1,0
L1,L23,17,180,1,1,213
L1,L23,5,29,1,2,100
L1,L23,17,180,1,2,213
L1,L23,28,6,2,1,84
L1,L23,27,27,2,2,0
L1,L24,1,506,2,1,529
L1,L24,1,506,2,2,529
L1,L25,1,506,2,1,529
L1,L25,1,506,2,2,529
L1,L26,17,619,1,1,176
L1,L26,17,619,1,2,176
L1,L261,17,619,1,1,176
L1,L261,17,619,1,2,176
L1,L262,17,619,1,1,176
L1,L262,17,619,1,2,176
L1,L27,5,34,1,1,347
L1,L27,17,180,1,1,213
L1,L27,5,65,1,2,505
L1,L27,17,180,1,2,213
L1,L27,29,34,2,1,447
L1,L27,29,65,2,2,605
L1,L28,18,771,1,1,74
L1,L28,18,771,1,2,74
L1,L3,18,18,1,1,0
L1,L3,18,66,1,2,215
L1,L3,27,948,2,1,158
L1,L3,27,988,2,2,142
L1,L30,6,990,1,1,592
L1,L30,6,990,1,2,592
L1,L30,28,990,2,1,603
L1,L30,28,990,2,2,603
L1,L33,1,506,2,1,529
L1,L33,1,506,2,2,529
L1,L35,1,506,2,1,529
L1,L35,1,506,2,2,529
L1,L36,17,311,1,1,495
L1,L36,17,322,1,2,442
L1,L38,11,23,1,1,371
L1,L38,11,12,1,2,413
L1,L4,17,311,1,1,495
L1,L4,17,322,1,2,442
L1,L4,30,33,2,1,326
L1,L4,31,31,2,2,0
L1,L43,5,34,1,1,347
L1,L43,18,18,1,1,0
L1,L43,5,65,1,2,505
L1,L43,18,18,1,2,0
L1,L43,29,34,2,1,447
L1,L43,29,65,2,2,605
L1,L44,11,23,1,1,371
L1,L44,11,12,1,2,413
L1,L44,20,14,2,2,1054
L1,L441,11,1577,1,1,371
L1,L441,11,1627,1,2,413
L1,L45,1,506,2,1,529
L1,L45,1,506,2,2,529
L1,L5,18,18,1,1,0
L1,L5,18,66,1,2,215
L1,L5,29,34,2,1,447
L1,L5,29,65,2,2,605
L1,L6,18,18,1,1,0
L1,L6,18,66,1,2,215
L1,L6,27,7,2,1,159
L1,L6,27,988,2,2,142
L1,L66,18,18,1,1,0
L1,L66,18,66,1,2,215
L1,L66,29,34,2,1,447
L1,L66,29,65,2,2,605
L1,L9,5,65,1,1,505
L1,L9,17,311,1,1,495
L1,L9,5,34,1,2,347
L1,L9,17,322,1,2,442
L1,L9,29,65,2,1,605
L1,L9,29,34,2,2,447
L1,251,1,506,2,1,529
L1,251,1,506,2,2,529
L10,L11,66,18,2,1,215
L10,L11,66,66,2,2,0
L10,L12,66,66,2,1,0
L10,L12,66,18,2,2,215
L10,L13,18,18,1,1,0
L10,L13,18,180,1,2,395
L10,L14,59,189,2,1,320
L10,L14,59,214,2,2,367
L10,L15,66,18,2,1,215
L10,L15,66,66,2,2,0
L10,L16,65,5,2,1,505
L10,L16,65,29,2,2,605
L10,L17,66,18,2,1,215
L10,L17,66,66,2,2,0
L10,L18,18,18,1,1,0
L10,L18,18,180,1,2,395
L10,L18,63,310,2,1,364
L10,L18,63,323,2,2,347
L10,L19,18,18,1,1,0
L10,L19,63,336,2,1,264
L10,L19,1,2,2,1,257
L10,L19,1,1,2,2,0
L10,L2,1,338,2,1,401
L10,L2,32,361,2,2,645
L10,L20,1,376,2,1,628
L10,L20,1,380,2,2,614
L10,L21,42,57,1,1,0
L10,L21,42,42,1,2,0
L10,L21,55,55,2,1,0
L10,L21,55,44,2,2,353
L10,L22,18,180,1,1,395
