bl1,bl2,bs1,bs2,dir1,dir2,condist
L1,L10,1,1,1,1,0
L1,L10,5,34,1,1,296
L1,L10,18,18,1,1,0
L1,L10,1,1,1,2,0
L1,L10,2,32,1,2,6
L1,L10,5,65,1,2,360
L1,L10,18,66,1,2,141
L1,L10,18,18,2,1,0
L1,L10,29,34,2,1,389
L1,L10,18,66,2,2,141
L1,L10,31,31,2,2,0
L1,L11,2,2,1,1,0
L1,L11,3,33,1,1,318
L1,L11,18,18,1,1,0
L1,L11,2,32,1,2,6
L1,L11,2,32,1,2,6
L1,L11,18,66,1,2,141
L1,L11,18,18,2,1,0
L1,L11,31,33,2,1,217
L1,L11,18,66,2,2,141
L1,L11,31,31,2,2,0
L1,L12,2,32,1,1,6
L1,L12,2,32,1,1,6
L1,L12,13,13,1,1,0
L1,L12,2,2,1,2,0
L1,L12,3,33,1,2,318
L1,L12,13,22,1,2,36
L1,L12,18,66,2,1,141
L1,L12,22,13,2,1,36
L1,L12,31,31,2,1,0
L1,L12,18,18,2,2,0
L1,L12,22,22,2,2,0
L1,L12,31,33,2,2,217
L1,L13,5,65,1,1,360
L1,L13,13,22,1,1,36
L1,L13,5,34,1,2,296
L1,L13,13,13,1,2,0
L1,L13,18,18,2,1,0
L1,L13,22,22,2,1,0
L1,L13,18,180,2,2,174
L1,L13,22,13,2,2,36
L1,L13,29,34,2,2,389
L1,L14,1,1,1,1,0
L1,L14,5,34,1,1,296
L1,L14,18,18,1,1,0
L1,L14,1,1,1,2,0
L1,L14,2,32,1,2,6
L1,L14,5,65,1,2,360
L1,L14,18,66,1,2,141
L1,L14,18,18,2,1,0
L1,L14,29,34,2,1,389
L1,L14,18,66,2,2,141
L1,L14,31,31,2,2,0
L1,L15,1,215,1,1,45
L1,L15,3,3,1,1,0
L1,L15,13,22,1,1,36
L1,L15,2,32,1,2,6
L1,L15,2,32,1,2,6
L1,L15,11,221,1,2,251
L1,L15,13,13,1,2,0
L1,L15,18,18,2,1,0
L1,L15,23,23,2,1,0
L1,L15,31,3,2,1,148
L1,L15,18,66,2,2,141
L1,L15,22,13,2,2,36
L1,L15,31,31,2,2,0
L1,L16,1,1,1,1,0
L1,L16,6,6,1,1,0
L1,L16,18,18,1,1,0
L1,L16,1,1,1,2,0
L1,L16,2,32,1,2,6
L1,L16,6,28,1,2,84
L1,L16,6,28,1,2,84
L1,L16,18,66,1,2,141
L1,L16,18,18,2,1,0
L1,L16,28,6,2,1,84
L1,L16,18,66,2,2,141
L1,L16,27,27,2,2,0
L1,L17,2,2,1,1,0
L1,L17,3,33,1,1,318
L1,L17,18,18,1,1,0
L1,L17,2,32,1,2,6
L1,L17,2,32,1,2,6
L1,L17,18,66,1,2,141
L1,L17,18,18,2,1,0
L1,L17,31,33,2,1,217
L1,L17,18,66,2,2,141
L1,L17,31,31,2,2,0
L1,L18,5,65,1,1,360
L1,L18,18,18,1,1,0
L1,L18,5,34,1,2,296
L1,L18,18,180,1,2,174
L1,L18,18,18,2,1,0
L1,L18,18,180,2,2,174
L1,L18,29,34,2,2,389
L1,L2,1,1,1,1,0
L1,L2,1,1,1,1,0
L1,L2,1,1,1,2,0
L1,L2,2,362,1,2,187
L1,L2,1,1,2,1,0
L1,L2,32,32,2,2,0
L1,L22,5,34,1,1,296
L1,L22,18,180,1,1,174
L1,L22,5,65,1,2,360
L1,L22,18,180,1,2,174
L1,L22,18,180,2,1,174
L1,L22,29,34,2,1,389
L1,L22,18,180,2,2,174
L1,L23,5,5,1,1,0
L1,L23,6,6,1,1,0
L1,L23,18,180,1,1,174
L1,L23,6,28,1,2,84
L1,L23,6,28,1,2,84
L1,L23,18,180,1,2,174
L1,L23,18,180,2,1,174
L1,L23,28,6,2,1,84
L1,L23,28,6,2,1,84
L1,L23,18,180,2,2,174
L1,L23,27,27,2,2,0
L1,L23,29,29,2,2,0
L1,L24,1,506,1,1,340
L1,L24,1,506,1,2,340
L1,L24,1,506,2,1,340
L1,L24,1,506,2,2,340
L1,L25,1,506,1,1,340
L1,L25,1,506,1,2,340
L1,L25,1,506,2,1,340
L1,L25,1,506,2,2,340
L1,L26,17,619,1,1,68
L1,L26,17,619,1,2,68
L1,L26,18,619,2,1,200
