Line,Number,Traject_Time,Lenght_Line,Interval_m,Freq_Bus_h,Places_km_h,Com_Speed,BRT
L1,7,30,6.6,9,7,9240,13.2,0
L2,2,20,2.9,20,3,1740,8.7,0
L3,3,40,10.5,27,2,4725,15.8,0
L4,4,32,8.55,16,4,6413,16,0
L66,6,40,9.7,13,5,8730,14.6,0
L6,6,52,13,17,4,9000,15,0
L7,4,50,12.5,25,2,6000,15,0
L8,7,35,9.5,10,6,11400,16.3,0
L9,6,75,19.5,25,2,9360,15.6,0
L10,5,40,10.5,16,4,7875,15.8,0
L11,8,38,12.8,9,7,16168,20.2,0
L12,8,35,7.6,35,2,2606,13,0
L13,8,65,15.5,26,2,7154,14.3,0
L14,4,35,9.7,18,3,6651,16.6,0
L15,4,35,9.5,23,3,4886,16.3,0
L16,5,37,11.6,15,4,9405,18.8,0
L17,3,38,14,25,2,6632,22.1,0
L18,8,55,18.687,14,4,16309,20.4,0
L19,2,60,14,60,1,2800,14,0
L20,6,70,25.6,23,3,13166,21.9,0
BRT1,2,15,8,15,4,0,20,1
