bus,direction,stop_id,stop
L1,1,0,1
L1,1,1,2
L1,1,2,3
L1,1,3,4
L1,1,4,5
L1,1,5,6
L1,1,6,7
L1,1,7,8
L1,1,8,9
L1,1,9,10
L1,1,10,11
L1,1,11,12
L1,1,12,13
L1,1,13,14
L1,1,14,15
L1,1,15,16
L1,1,16,17
L1,1,17,18
L1,2,0,18
L1,2,1,19
L1,2,2,20
L1,2,3,21
L1,2,4,22
L1,2,5,23
L1,2,6,24
L1,2,7,25
L1,2,8,26
L1,2,9,27
L1,2,10,28
L1,2,11,29
L1,2,12,30
L1,2,13,31
L1,2,14,32
L1,2,15,1
L10,1,0,1
L10,1,1,2
L10,1,2,3
L10,1,3,33
L10,1,4,18
L10,1,5,34
L10,1,6,35
L10,1,7,36
L10,1,8,37
L10,1,9,38
L10,1,10,39
L10,1,11,40
L10,1,12,41
L10,1,13,42
L10,1,14,43
L10,1,15,44
L10,1,16,45
L10,1,17,46
L10,1,18,47
L10,1,19,48
L10,1,20,49
L10,2,0,50
L10,2,1,51
L10,2,2,52
L10,2,3,53
L10,2,4,54
L10,2,5,55
L10,2,6,56
L10,2,7,57
L10,2,8,58
L10,2,9,59
L10,2,10,60
L10,2,11,61
L10,2,12,62
L10,2,13,63
L10,2,14,64
L10,2,15,65
L10,2,16,66
L10,2,17,31
L10,2,18,32
L10,2,19,1
L11,1,0,67
L11,1,1,68
L11,1,2,69
L11,1,3,70
L11,1,4,71
L11,1,5,72
L11,1,6,73
L11,1,7,74
L11,1,8,75
L11,1,9,76
L11,1,10,77
L11,1,11,78
L11,1,12,79
L11,1,13,80
L11,1,14,81
L11,1,15,82
L11,1,16,83
L11,1,17,84
L11,1,18,2
L11,1,19,3
L11,1,20,33
L11,1,21,18
L11,2,0,66
L11,2,1,31
L11,2,2,32
L11,2,3,85
L11,2,4,86
L11,2,5,87
L11,2,6,88
L11,2,7,89
L11,2,8,90
L11,2,9,91
L11,2,10,92
L11,2,11,93
L11,2,12,94
L11,2,13,95
L11,2,14,96
L11,2,15,97
L11,2,16,98
L11,2,17,99
L11,2,18,100
L11,2,19,101
L11,2,20,102
L12,1,0,103
L12,1,1,104
L12,1,2,105
L12,1,3,106
L12,1,4,107
L12,1,5,108
L12,1,6,109
L12,1,7,110
L12,1,8,111
L12,1,9,112
L12,1,10,113
L12,1,11,114
L12,1,12,115
L12,1,13,116
L12,1,14,117
L12,1,15,13
L12,1,16,14
L12,1,17,15
L12,1,18,16
L12,1,19,17
L12,1,20,66
L12,1,21,31
L12,1,22,32
L12,1,23,85
L12,1,24,86
L12,1,25,87
L12,1,26,88
L12,1,27,89
L12,1,28,90
L12,1,29,91
L12,1,30,118
L12,1,31,119
L12,1,32,120
L12,1,33,121
L12,1,34,122
L12,1,35,123
L12,1,36,124
L12,1,37,125
L12,1,38,126
L12,1,39,127
L12,2,0,128
L12,2,1,129
L12,2,2,130
L12,2,3,131
L12,2,4,132
L12,2,5,133
L12,2,6,134
L12,2,7,135
L12,2,8,136
L12,2,9,137
L12,2,10,78
L12,2,11,79
L12,2,12,80
L12,2,13,81
L12,2,14,82
L12,2,15,83
L12,2,16,84
L12,2,17,2
L12,2,18,3
L12,2,19,33
L12,2,20,18
L12,2,21,19
L12,2,22,20
L12,2,23,21
