ind,ozone,dzone,obs,dbs
0,1,1,1,1678

1,1,1,1,1694
2,1,1,1678,380
3,1,1,1,1678
4,1,1,376,1677
5,1,1,1694,506
6,1,1,1677,376
7,1,1,1677,380
8,1,1,1,1678
9,1,1,1677,215
10,1,1,215,1695
11,1,1,1678,376
12,1,1,1694,376
13,1,1,1,1694
14,1,1,380,1694
15,1,1,376,1695
16,1,1,1,1678
17,1,1,1694,506
18,1,1,1678,380
19,1,1,380,1695
20,1,1,1678,380
21,1,1,1694,380
22,1,1,376,1678
23,1,1,380,1694
24,1,1,1,1678
25,1,1,376,1694
26,1,1,506,1677
27,1,1,215,1694
28,1,1,1694,506
29,1,1,215,1695
30,1,1,1,1695
31,1,1,1678,376
32,1,1,1695,1
33,1,1,1695,376
34,1,1,1677,215
35,1,1,215,1695
36,1,1,376,1695
37,1,1,1695,380
38,1,1,1677,1
39,1,1,380,1694
40,1,1,1,1677
41,1,1,506,1677
42,1,1,1678,215
43,1,1,215,1694
44,1,1,1695,506
45,1,1,1695,215
46,1,1,506,1694
47,1,1,1695,1
48,1,1,1694,215
49,1,1,1677,1
50,1,1,215,1678
51,1,1,376,1677
52,1,1,1694,376
53,1,1,1,1695
54,1,1,1694,1
55,1,1,1677,215
56,1,1,1,1694
57,1,1,1695,380
58,1,1,376,1695
59,1,1,380,1695
60,1,1,506,1694
61,1,1,376,1694
62,1,1,380,1677
63,1,1,376,1695
64,1,1,1678,1
65,1,1,1694,215
66,1,1,1678,380
67,1,1,1,1677
68,1,1,1678,380
69,1,1,380,1695
70,1,1,1695,376
71,1,1,506,1677
72,1,1,380,1694
73,1,1,1678,380
74,1,1,1678,1
75,1,1,215,1678
76,1,1,376,1695
77,1,1,506,1678
78,1,1,215,1677
79,1,1,1678,1
80,1,1,215,1695
81,1,1,380,1695
82,1,1,1695,380
83,1,1,1695,1
84,1,1,1677,506
85,1,1,1,1677
86,1,1,1678,506
87,1,1,376,1678
88,1,1,1694,215
89,1,1,506,1695
90,1,1,1695,1
91,1,1,380,1678
92,1,1,380,1678
93,1,1,1678,376
94,1,1,1,1695
95,1,1,1677,215
96,1,1,376,1695
97,1,1,1694,1
98,1,1,376,1695
99,1,1,380,1678
100,1,1,1678,506
101,1,1,1677,380
102,1,1,1,1678
103,1,1,1,1695
104,1,1,376,1678
105,1,1,1,1695
106,1,1,1678,376
107,1,1,1695,215
108,1,1,506,1678
109,1,1,1678,380
110,1,1,1695,506
111,1,1,1678,506
112,1,1,376,1694
113,1,1,506,1694
114,1,1,380,1677
115,1,1,380,1678
116,1,1,1677,506
117,1,1,506,1695
118,1,1,1677,215
119,1,1,506,1678
120,1,1,1,1678
121,1,1,1695,380
122,1,1,1678,1
123,1,1,215,1677
124,1,1,1695,376
125,1,1,506,1677
126,1,1,1695,380
127,1,1,1678,376
128,1,1,215,1678
129,1,1,1,1694
130,1,1,380,1695
131,1,1,506,1695
132,1,1,380,1695
133,1,1,1678,215
134,1,1,506,1678
135,1,1,1677,376
136,1,1,506,1694
137,1,1,215,1695
138,1,1,380,1677
139,1,1,506,1695
140,1,1,1695,506
141,1,1,1,1695
142,1,1,506,1695
143,1,1,1677,1
144,1,1,1694,506
145,1,1,506,1695
146,1,1,1695,506
147,1,1,1694,376
148,1,1,1678,215
149,1,1,376,1678
150,1,1,1678,376
151,1,1,380,1677
152,1,1,215,1694
153,1,1,1,1694
154,1,1,1678,380
155,1,1,1678,215
156,1,1,506,1677
157,1,1,1678,215
158,1,1,1677,376
159,1,1,376,1677
160,1,1,1678,376
161,1,1,1694,215
162,1,2,1677,353
163,1,2,1694,261
164,1,2,1677,357
165,1,2,1695,344
166,1,2,1694,1681
167,1,2,506,355
168,1,2,506,354
169,1,2,1,772
170,1,2,1677,345
171,1,2,1,1693
172,1,2,506,354
173,1,2,1,344
174,1,2,376,261
175,1,2,1678,355
176,1,2,1695,355
177,1,2,1,347
178,1,2,1695,295
179,1,2,1,1692
180,1,2,380,1681
181,1,2,506,357
182,1,2,380,261
183,1,2,1694,1680
184,1,2,1678,357
185,1,2,1694,346
186,1,2,215,343
187,1,2,380,354
188,1,2,215,1691
189,1,2,1677,1692
190,1,2,1,344
191,1,2,376,1691
192,1,2,1678,344
193,1,2,1694,346
194,1,2,1695,861
195,1,2,380,347
196,1,2,1694,346
197,1,2,380,1679
198,1,2,1694,354
199,1,2,1694,295
200,1,2,1694,343
201,1,2,376,355
202,1,2,506,347
203,1,2,380,343
204,1,2,1694,356
205,1,2,215,772
206,1,2,1678,344
207,1,2,1678,353
208,1,2,376,347
209,1,2,1695,353
210,1,2,1694,295
211,1,2,1678,1681
212,1,2,1694,357
213,1,2,215,354
214,1,2,506,1680
215,1,2,215,1679
216,1,2,1694,295
217,1,2,1695,1680
218,1,2,1677,261
219,1,2,1677,261
220,1,2,215,1693
221,1,2,506,354
222,1,2,1678,861
223,1,2,1678,861
224,1,2,1,343
225,1,2,506,355
226,1,2,215,1693
227,1,2,1694,1691
228,1,2,1678,1680
229,1,2,1677,343
230,1,2,1,355
231,1,2,380,295
232,1,2,380,861
233,1,2,376,355
234,1,2,506,344
235,1,2,215,355
236,1,2,1678,344
237,1,2,1695,1692
238,1,2,1678,1692
239,1,2,506,345
240,1,2,1678,343
241,1,2,376,353
242,1,2,1678,346
243,1,2,506,1693
244,1,2,376,1679
245,1,2,376,346
246,1,2,215,1692
247,1,2,1,357
248,1,2,1,343
249,1,2,376,357
250,1,2,1694,344
251,1,2,506,861
252,1,2,376,772
253,1,2,380,1693
254,1,2,1694,261
255,1,2,1677,356
256,1,2,215,1693
257,1,2,380,355
258,1,2,1677,861
259,1,2,1678,356
260,1,2,215,345
261,1,2,1695,354
262,1,2,1677,343
263,1,2,380,347
264,1,2,506,772
265,1,2,1677,356
266,1,2,1694,1681
267,1,2,1,346
268,1,2,506,353
269,1,2,215,861
270,1,2,506,343
271,1,2,1678,772
272,1,2,215,347
273,1,2,1678,356
274,1,2,1694,1680
275,1,2,1678,261
276,1,2,506,357
277,1,2,1,354
278,1,2,215,353
279,1,2,1677,1681
280,1,2,1695,1691
281,1,2,1,1691
282,1,2,1677,772
283,1,2,376,1680
284,1,2,376,261
285,1,2,1694,345
286,1,2,506,347
287,1,2,1677,1691
288,1,2,1678,346
289,1,2,376,356
290,1,2,1677,1691
291,1,2,1,295
292,1,2,215,354
293,1,2,215,261
294,1,2,506,345
295,1,2,380,261
296,1,2,1694,354
297,1,2,1677,345
298,1,2,1,1691
299,1,2,506,1679
300,1,2,380,343
301,1,2,506,1691
302,1,2,1694,1680
303,1,2,380,347
304,1,3,1694,339
305,1,3,1695,362
306,1,3,376,340
307,1,3,1677,359
308,1,3,376,340
309,1,3,380,360
310,1,3,1,342
311,1,3,1678,339
312,1,3,1695,360
313,1,3,376,342
314,1,3,1,359
315,1,3,1677,340
316,1,3,1678,341
317,1,3,380,358
318,1,3,1677,361
319,1,3,1,360
320,1,3,1678,338
321,1,3,1,342
322,1,3,506,339
323,1,3,1677,360
324,1,3,215,340
325,1,3,1,358
326,1,3,1,359
327,1,3,215,340
328,1,3,1,340
329,1,3,215,359
330,1,3,1,358
331,1,3,1694,342
332,1,3,1,341
333,1,3,376,360
334,1,3,376,342
335,1,3,215,360
336,1,3,506,361
337,1,3,1678,338
338,1,3,1694,342
339,1,3,1,358
340,1,3,1695,340
341,1,3,1678,358
342,1,3,1678,360
343,1,3,376,342
344,1,3,1678,358
345,1,3,1695,340
346,1,3,380,361
347,1,3,1695,341
348,1,3,1678,340
349,1,3,1678,358
350,1,3,1,342
351,1,3,1695,360
352,1,3,1695,361
353,1,3,376,359
354,1,3,376,358
355,1,3,380,341
356,1,3,376,341
357,1,3,1677,360
358,1,3,1677,341
359,1,3,506,360
360,1,3,215,359
361,1,4,1677,375
362,1,4,1,381
363,1,4,506,382
364,1,4,1,375
365,1,4,1695,375
