ind,ozone,dzone,obs,dbs
8,1,1,1,1678
12,1,1,1694,376
14,1,1,380,1694
24,1,1,1,1678
34,1,1,1677,215
35,1,1,215,1695
36,1,1,376,1695
48,1,1,1694,215
49,1,1,1677,1
72,1,1,380,1694
79,1,1,1678,1
81,1,1,380,1695
86,1,1,1678,506
89,1,1,506,1695
90,1,1,1695,1
95,1,1,1677,215
106,1,1,1678,376
107,1,1,1695,215
114,1,1,380,1677
115,1,1,380,1678
116,1,1,1677,506
124,1,1,1695,376
126,1,1,1695,380
135,1,1,1677,376
136,1,1,506,1694
140,1,1,1695,506
149,1,1,376,1678
151,1,1,380,1677
158,1,1,1677,376
160,1,1,1678,376
168,1,2,506,354
170,1,2,1677,345
174,1,2,376,261
178,1,2,1695,295
180,1,2,380,1681
181,1,2,506,357
182,1,2,380,261
192,1,2,1678,344
196,1,2,1694,346
202,1,2,506,347
204,1,2,1694,356
211,1,2,1678,1681
212,1,2,1694,357
213,1,2,215,354
224,1,2,1,343
227,1,2,1694,1691
264,1,2,506,772
265,1,2,1677,356
267,1,2,1,346
269,1,2,215,861
273,1,2,1678,356
281,1,2,1,1691
282,1,2,1677,772
292,1,2,215,354
297,1,2,1677,345
298,1,2,1,1691
312,1,3,1695,360
320,1,3,1678,338
325,1,3,1,358
331,1,3,1694,342
332,1,3,1,341
344,1,3,1678,358
350,1,3,1,342
354,1,3,376,358
368,1,4,1695,382
374,1,4,1695,382
380,1,4,1695,382
390,1,4,380,382
393,1,4,1678,507
397,1,4,1695,375
401,1,4,215,381
402,1,4,1677,382
403,1,4,1,382
405,1,5,1678,1682
406,1,5,1695,1329
411,1,5,1678,1330
412,1,5,1678,1690
415,1,5,506,1330
417,1,5,376,1342
428,1,5,1694,1328
430,1,5,1694,1682
432,1,5,376,1330
450,1,5,1677,1345
461,1,5,506,1328
465,1,5,1,1330
469,1,5,1677,1342
473,1,5,506,1690
474,1,5,376,1343
485,1,5,506,1345
486,1,5,1677,1343
487,1,5,215,1690
493,1,5,376,1329
497,1,5,1678,1342
503,1,5,380,1344
506,1,5,376,1344
509,1,5,380,1682
511,1,5,380,1331
516,1,5,1695,1329
518,1,5,1695,1330
521,1,5,506,1342
531,1,5,380,1330
536,1,5,376,1343
537,1,5,1677,1682
540,1,5,1,1343
542,1,5,376,1344
543,1,5,1,1342
546,1,5,215,1345
551,1,5,215,1329
552,1,5,376,1345
560,1,5,380,1329
563,1,5,1694,1344
564,1,6,506,20
568,1,6,1695,6
569,1,6,380,988
572,1,6,1678,19
573,1,6,1677,771
583,1,6,1,28
593,1,6,380,27
603,1,6,215,771
604,1,6,1695,16
614,1,6,1678,27
616,1,6,376,29
626,1,6,1694,20
627,1,6,380,17
633,1,6,1695,297
636,1,6,380,28
638,1,6,506,1630
641,1,6,1695,27
649,1,6,376,17
655,1,6,380,619
660,1,6,506,260
661,1,6,1695,988
663,1,6,215,297
670,1,6,380,15
674,1,6,380,5
675,1,6,506,619
677,1,6,506,16
680,1,6,1695,1508
685,1,6,215,15
688,1,6,215,336
697,1,6,1695,27
702,1,6,1678,948
710,1,7,1678,32
711,1,7,1695,66
712,1,7,1,35
713,1,7,1694,1713
717,1,7,1695,1714
720,1,7,1695,64
739,1,7,376,1713
740,1,7,1,34
746,1,7,1,64
767,1,7,1678,35
771,1,7,1,33
778,1,7,506,1714
779,1,7,376,35
785,1,7,380,31
787,1,7,376,1712
794,1,7,1,33
799,1,7,506,180
802,1,7,376,33
804,1,7,1695,1712
806,1,7,376,310
807,1,7,1694,34
810,1,7,1695,1713
815,1,7,376,30
816,1,7,215,180
824,1,7,1695,34
827,1,7,506,180
830,1,7,1677,180
833,1,7,1,310
841,1,8,376,1327
845,1,8,1678,1700
851,1,8,1678,386
854,1,8,380,1674
855,1,8,1694,1675
858,1,8,1678,1270
864,1,8,1677,386
867,1,8,376,1676
868,1,8,376,1699
871,1,8,1,366
872,1,8,506,391
873,1,8,1677,366
874,1,8,1678,1701
876,1,8,215,387
878,1,8,1695,1699
882,1,8,506,370
888,1,8,1677,1675
892,1,8,376,1673
897,1,8,380,1675
898,1,8,1694,1675
899,1,8,215,1675
906,1,8,1678,1676
912,1,8,1677,391
915,1,8,215,363
923,1,8,215,862
925,1,8,1,368
934,1,8,380,1702
935,1,8,376,1327
936,1,8,506,390
949,1,8,1678,369
952,1,8,1677,389
959,1,8,1677,1675
961,1,8,380,386
962,1,8,506,363
971,1,8,1695,1703
974,1,8,1677,1327
985,1,8,380,1696
991,1,8,380,1698
1002,1,8,380,388
1003,1,8,1678,1327
1004,1,8,376,365
1009,1,8,1694,947
1010,1,8,1694,1701
1011,1,8,380,1676
1013,1,8,506,1703
1015,1,8,1,1674
1021,1,8,376,1700
1023,1,8,506,1676
1025,1,8,380,1674
1034,1,8,376,862
1035,1,8,1678,1675
1040,1,8,1695,366
1041,1,8,1678,1673
1048,1,8,1677,387
1054,1,8,506,1701
1056,1,8,380,363
1065,1,8,1,1701
1066,1,8,1677,391
1073,1,8,1678,1702
1076,1,8,1677,947
1088,1,8,1,1675
1089,1,8,1,386
1100,1,8,1694,364
1101,1,8,1695,1700
1103,1,8,1678,366
1104,1,8,1678,391
1125,1,8,1695,1675
1135,1,8,506,388
1137,1,8,380,1696
1141,1,8,1677,1327
1142,1,8,380,1675
1143,1,8,506,1698
1147,1,8,1695,1701
1148,1,8,1,1675
1159,1,8,1694,367
1163,1,8,1695,389
1167,1,8,1695,863
1176,1,8,1678,388
1183,1,8,215,369
1191,1,8,506,1327
1198,1,8,1694,363
1203,1,8,1678,387
1224,1,8,1694,1675
1226,1,8,1678,363
1228,1,8,215,1699
1236,1,8,1677,366
1238,1,8,376,1675
1245,1,8,506,387
1251,1,8,215,363
1252,1,8,1695,389
1253,1,8,1694,1696
1259,1,8,1695,1699
1260,1,8,1694,368
1262,1,8,1,1698
1263,1,8,380,946
1266,1,8,1694,1676
1274,1,8,1678,1701
1275,1,8,215,363
1278,1,8,1,863
1295,1,8,380,391
1298,1,8,1695,1700
1304,1,8,506,364
1314,1,8,506,1270
1322,1,8,1678,387
1323,1,8,1678,1327
1328,1,8,1695,368
1329,1,8,1694,388
1330,1,8,1678,367
1335,1,8,1695,1696
1337,1,8,1677,370
1342,1,8,380,391
1343,1,8,215,1270
1345,1,8,1,1674
1346,1,8,1,388
1347,1,8,1695,1700
1351,1,8,1,864
1353,1,8,1694,862
1355,1,8,376,368
1357,1,8,1678,365
1363,1,8,1677,389
1364,1,8,1694,364
1367,1,8,215,363
1372,1,8,376,947
1373,1,8,1677,370
1384,1,8,215,367
1386,1,8,1695,1675
1391,1,8,1694,1697
1392,1,8,1,1699
1397,1,8,1694,391
1403,1,8,1678,1699
1405,1,8,376,1675
1413,1,8,506,370
1416,1,8,1678,864
1419,1,8,215,1700
1430,1,8,1677,863
1431,1,8,1695,864
1432,1,8,215,364
1433,1,8,1678,363
1437,1,8,376,1673
1445,1,8,1,1673
1446,1,8,215,391
1456,1,8,215,386
1462,1,8,1677,366
1463,1,8,1677,366
1477,1,8,380,367
1480,1,8,1694,1697
1481,1,8,380,1270
1492,1,8,376,370
1496,1,8,376,386
1497,1,8,1,1702
1504,1,8,376,946
1506,1,8,1,1699
1512,1,8,376,365
1514,1,8,376,364
1517,1,8,506,1698
1533,1,8,1677,367
1534,1,8,1677,388
1535,1,8,1678,366
1540,1,8,380,863
1550,1,8,1678,863
1551,1,8,376,1674
1552,1,8,1,1327
1555,1,8,1677,367
1560,1,8,380,366
1565,1,8,376,947
1571,1,8,1695,1698
1584,1,8,1678,1675
1585,1,8,380,1701
1596,1,8,1678,1696
1599,1,8,1678,389
1613,1,8,1695,946
1626,1,8,1678,1699
1628,1,8,376,367
1638,1,8,215,369
1640,1,8,1,391
1643,1,8,1,1703
1644,1,8,506,1701
1653,1,9,215,1180
1661,1,9,1677,1333
1662,1,9,215,177
1671,1,9,380,1183
1674,1,9,1694,1162
1676,1,9,215,1336
1683,1,9,215,1332
1697,1,9,1,1161
1702,1,9,1,163
1712,1,9,215,1332
1714,1,9,506,1335
1724,1,9,1678,1160
1727,1,9,376,164
1728,1,9,1694,165
1741,1,9,1695,1337
1742,1,9,215,1341
1744,1,9,376,1340
1749,1,9,1695,1161
1750,1,9,1,1183
1753,1,9,1695,1336
1766,1,9,1677,1183
1767,1,9,380,144
1776,1,9,1678,1268
1780,1,9,215,1336
1790,1,9,215,1268
1793,1,9,506,1268
1795,1,9,1695,1160
1796,1,9,1677,1183
1797,1,9,1694,163
1806,1,9,380,144
1808,1,9,1695,1334
1809,1,9,1678,1162
1816,1,9,215,165
1829,1,9,215,1339
1831,1,9,215,1161
1840,1,9,215,1268
1843,1,9,506,177
1846,1,9,506,1162
1851,1,9,1678,1161
1852,1,9,376,1333
1854,1,9,1677,1161
1855,1,9,1678,1161
1861,1,9,1695,1336
1863,1,9,1678,1163
1867,1,9,1678,1336
1877,1,9,506,1334
1882,1,9,1,1332
1885,1,9,1,1180
1889,1,9,1678,163
1891,1,9,1694,1160
1893,1,9,1694,165
1900,1,9,1695,1180
1906,1,9,506,1333
1907,1,9,376,1268
1914,1,9,1694,144
1925,1,9,215,1335
1927,1,9,1678,163
1937,1,9,376,1337
1938,1,9,1677,1333
1940,1,9,376,1339
1946,1,9,1695,1335
1951,1,9,1695,1339
1956,1,9,1695,1336
1968,1,9,1678,164
1973,1,9,1695,176
1975,1,9,1678,1180
1984,1,9,1,1339
1987,1,9,1,1335
1990,1,9,1695,1161
2001,1,9,1678,176
2002,1,9,376,1339
2006,1,9,215,163
2009,1,9,1678,164
2012,1,9,1,164
2014,1,9,1678,177
2024,1,9,1,163
2028,1,9,1695,1183
2030,1,9,1677,1333
2037,1,9,380,1334
2038,1,9,1,1332
2042,1,9,1,1340
2043,1,9,1695,1337
2045,1,9,1694,1341
2052,1,9,1694,1163
2083,1,9,1678,1332
2110,1,9,506,1183
2113,1,9,1,1334
2114,1,9,215,176
2120,1,9,376,1180
2121,1,9,506,144
2124,1,9,1677,163
2125,1,9,1677,144
2126,1,9,376,1160
2132,1,9,380,163
2136,1,9,380,165
2141,1,9,215,1334
2146,1,9,506,1163
2148,1,9,1678,1339
2149,1,9,506,1161
2153,1,9,1,1341
2155,1,9,380,1161
2161,1,9,1,144
2163,1,9,1,1163
2171,1,9,380,165
2173,1,9,506,1268
2178,1,9,1677,164
2179,1,9,1694,1335
2193,1,9,1695,165
2195,1,9,506,1161
2205,1,9,1694,1335
2210,1,9,380,165
2211,1,9,380,1336
2223,1,9,1694,1337
2225,1,9,1695,177
2243,1,10,1677,166
2249,1,10,1694,23
2255,1,10,506,117
2258,1,10,380,11
2259,1,10,1677,178
2262,1,10,1677,22
2274,1,10,215,113
2275,1,10,1678,168
