ind,type,startbs,bl,endbs,dir,dist,walk
46,1,1,L2,347,1,3787,712
46,2,380,L20,387,2,4819,82
46,3,369,L7,1678,1,4775,70
46,2,380,L20,388,2,5774,82
46,3,388,L9,1678,2,4540,70
46,2,376,L6,18,1,3674,96
46,3,18,L9,1694,1,6278,0
46,2,376,L6,1647,1,10400,96
46,3,1656,L9,1694,1,12428,0
46,2,215,L15,18,1,4481,323
46,2,1,L1,5,1,2596,520
46,3,65,L9,1694,1,7203,180
46,2,1,L1,18,1,7730,340
46,2,1,L10,18,1,2838,340
46,2,1,L10,41,1,6881,340
46,3,58,L9,1694,1,11434,0
46,2,1,L10,44,1,10638,532
46,3,1654,L9,1694,1,13327,192
46,2,1,L10,46,1,13525,443
46,3,1652,L9,1694,1,13843,103
46,2,1,L14,18,1,2839,340
46,2,1,L14,39,1,6203,349
46,3,60,L9,1694,1,9910,9
46,2,1,L16,18,1,3045,340
46,2,1,L3,18,1,3045,340
46,2,1,L3,953,1,9040,504
46,3,399,L9,1694,1,11938,164
46,2,1,L4,1328,1,3960,340
46,3,1328,L7,1694,2,4610,0
46,2,1,L4,1331,1,4846,340
46,3,1331,L7,1694,2,3466,0
46,2,1,L4,18,1,2406,340
46,3,1331,L9,1694,1,3466,0
46,2,1,L5,18,1,2838,340
46,2,1,L5,40,1,6520,388
46,3,59,L9,1694,1,10724,48
46,2,1,L5,741,1,10693,384
46,3,52,L9,1694,1,14427,44
46,2,1,L66,18,1,2838,340
46,2,1,L66,40,1,6825,388
55,2,1677,L7,1680,1,1764,65
55,3,353,L2,1,2,3424,110
55,2,1677,L7,1342,1,3797,0
55,3,1342,L4,1,2,5501,45
55,2,1677,L7,1345,1,4864,0
55,3,1345,L4,1,2,4385,45
55,2,1677,L7,171,1,10427,97
55,3,105,L12,32,1,12598,401
55,2,1677,L7,144,1,8481,6
55,3,111,L12,32,1,10115,310
55,2,1677,L7,1681,1,3066,170
55,3,294,L17,32,2,3768,474
55,2,1695,L7,364,2,1631,8
55,3,364,L6,2,1,8794,301
55,2,1695,L7,1698,2,4241,8
55,3,369,L6,2,1,5829,301
55,2,1677,L9,180,2,7544,101
55,3,66,L15,215,2,2122,101
55,3,17,L15,215,2,2637,98
55,3,18,L1,1,2,9161,132
55,2,1677,L9,34,2,8045,194
55,3,29,L1,1,2,2722,239
55,2,1677,L9,48,2,15087,5
55,3,51,L10,1,2,13634,50
55,2,1677,L9,188,2,14713,4
55,3,52,L10,1,2,13178,49
55,2,1677,L9,41,2,11766,0
55,3,58,L10,1,2,7246,45
55,3,65,L10,1,2,3015,96
55,2,1677,L9,39,2,10866,9
55,3,60,L14,1,2,5722,54
55,3,65,L14,1,2,3015,96
55,3,66,L16,1,2,2076,146
55,2,1677,L9,1680,2,1764,65
55,2,1677,L9,1647,2,12776,190
55,3,982,L3,1,2,9483,235
55,3,66,L3,1,2,2076,146
55,2,1677,L9,1342,2,3797,0
55,2,1677,L9,322,2,6697,0
55,3,322,L4,1,2,3266,45
55,3,767,L5,1,2,10372,90
55,2,1677,L9,40,2,11262,48
55,3,59,L5,1,2,6536,93
55,3,65,L5,1,2,3015,96
55,3,59,L66,1,2,6536,93
55,3,65,L66,1,2,3015,96
55,3,66,L11,32,2,2724,405
55,3,66,L12,32,1,2724,405
55,3,17,L12,32,1,3239,402
55,2,1677,L9,1681,2,3066,170
55,3,297,L17,32,2,2132,361
55,2,1695,L9,364,1,1631,8
55,2,1695,L9,368,1,4130,8
55,3,368,L6,2,1,6407,301
55,3,51,L6,32,2,12622,309
55,3,1656,L6,32,2,10167,304
55,3,66,L6,32,2,2730,405
64,2,1678,L7,1680,1,1302,65
64,3,353,L2,1,2,3424,65
64,2,1678,L7,1342,1,3335,0
64,3,1342,L4,1,2,5501,0
64,2,1678,L7,1345,1,4402,0
64,3,1345,L4,1,2,4385,0
64,2,1678,L7,171,1,9965,97
64,3,105,L12,32,1,12598,356
64,2,1678,L7,144,1,8019,6
64,3,111,L12,32,1,10115,265
64,2,1678,L7,1681,1,2604,170
64,3,294,L17,32,2,3768,429
64,2,1694,L7,364,2,2020,70
64,3,364,L6,2,1,8794,256
64,2,1694,L7,1698,2,4630,70
64,3,369,L6,2,1,5829,256
64,2,1678,L9,180,2,7082,87
64,3,18,L1,1,2,9161,87
64,2,1678,L9,34,2,7583,194
64,3,29,L1,1,2,2722,194
64,2,1678,L9,48,2,14625,5
64,3,51,L10,1,2,13634,5
64,2,1678,L9,188,2,14251,4
64,3,52,L10,1,2,13178,4
64,2,1678,L9,41,2,11304,0
64,3,58,L10,1,2,7246,0
64,3,65,L10,1,2,3015,51
64,2,1678,L9,39,2,10404,9
64,3,60,L14,1,2,5722,9
64,3,65,L14,1,2,3015,51
64,3,66,L16,1,2,2076,101
64,2,1678,L9,1680,2,1302,65
64,2,1678,L9,1647,2,12314,190
64,3,982,L3,1,2,9483,190
64,3,66,L3,1,2,2076,101
64,2,1678,L9,1342,2,3335,0
64,2,1678,L9,322,2,6235,0
64,3,322,L4,1,2,3266,0
64,3,767,L5,1,2,10372,45
