ind,ozone,dzone,obs,dbs
61127,21,8,57,388
58338,21,1,1656,506
44216,10,2,320,356
15173,2,23,356,186
77725,23,25,1651,298
36581,8,26,1698,96
65220,21,25,41,70
54201,16,25,274,69
3920,1,21,506,44
14483,2,23,1681,741
1016,1,8,1694,1703
28118,8,3,369,358
11271,2,10,356,318
34897,8,23,386,769
83794,24,26,1661,329
79187,24,1,1718,1678
32410,8,16,365,268
23293,5,3,1342,361
29789,8,8,1270,1703
18952,3,21,361,1646
97910,27,9,40,1180
4613,1,21,1678,981
42345,9,23,1336,1652
43352,9,26,144,95
49354,11,21,222,982
26595,8,1,1696,1694
86627,25,21,333,955
4910,1,21,1677,1649
46881,11,1,1626,1
51652,12,21,324,57
92270,26,10,379,168
33060,8,21,1676,953
13100,2,21,261,956
94054,26,22,305,50
69803,22,19,251,1583
72350,23,1,742,506
50492,11,25,952,298
33073,8,21,947,954
18257,3,11,338,996
9212,1,27,380,206
76318,23,16,186,287
37723,8,27,390,210
3073,1,11,376,984
39021,9,3,163,358
73443,23,3,184,361
87865,25,25,71,331
90797,26,7,328,65
92706,26,12,326,60
28390,8,4,391,375
39044,9,3,1336,360
22670,4,25,542,99
69000,22,9,227,1161
72014,23,1,185,1694
1400,1,8,1695,390
9287,2,1,295,1678
40170,9,8,1161,1698
95751,26,26,307,306
69785,22,19,48,242
31439,8,10,389,23
61539,21,8,56,387
71944,23,1,183,1695
10546,2,8,261,1674
18930,3,21,342,57
845,1,8,1694,391
8891,1,27,380,1671
60844,21,7,955,34
99467,27,26,190,72
25942,7,7,310,65
78722,23,27,52,204
96148,26,27,325,192
46762,11,1,991,1677
83541,24,26,1662,94
92502,26,11,304,258
21119,4,9,382,1339
52490,15,21,1273,58
86130,25,10,98,178
50408,11,25,1626,98
79622,24,2,1662,1680
82912,24,23,412,157
63380,21,16,56,279
78841,24,1,1665,215
28008,8,2,369,1679
9230,1,27,380,210
63338,21,16,1653,291
96331,26,27,303,462
54294,16,26,774,96
22147,4,23,382,46
28894,8,5,368,1331
44184,10,2,13,353
12580,2,21,861,56
29013,8,6,367,296
46141,10,26,111,330
7430,1,24,380,1662
35729,8,24,367,1670
91671,26,9,75,1336
64282,21,23,1655,52
80301,24,7,460,1714
12931,2,21,355,983
98711,27,21,403,398
72438,23,2,742,772
81879,24,20,412,510
26177,7,16,34,279
74119,23,5,187,1330
96911,27,2,1716,1679
58071,21,1,1647,1694
36807,8,26,1698,307
69299,22,10,503,166
64679,21,24,41,1665
88191,25,26,299,379
36770,8,26,365,94
52238,13,23,337,46
78249,23,26,183,93
88798,26,1,73,376
86463,25,16,98,775
33845,8,21,386,1657
47094,11,2,26,1680
4361,1,21,380,58
24682,6,1,948,1677
10309,2,8,346,1676
640,1,6,1694,18
51485,12,10,36,321
48550,11,8,226,366
83076,24,23,1718,46
61050,21,8,1648,1698
80355,24,8,1668,389
74622,23,8,187,387
53087,16,8,294,1270
71700,23,1,188,1695
83614,24,26,411,96
45737,10,23,11,52
26865,8,1,1674,380
59536,21,2,55,1681
65869,21,26,41,76
889,1,8,1677,1696
7185,1,24,1694,1670
59453,21,2,1655,261
61715,21,8,1647,1696
80151,24,4,1667,382
94483,26,23,308,156
18615,3,19,339,958
46329,10,27,321,210
80671,24,8,412,370
20708,4,5,542,1343
12769,2,21,861,44
1504,1,8,380,864
88371,25,27,299,191
47618,11,3,505,361
40172,9,8,1333,1327
18206,3,10,340,1575
72741,23,2,766,355
99157,27,23,407,770
34202,8,22,1703,231
5918,1,22,376,466
54925,17,23,267,741
17181,2,27,1692,1658
56226,19,23,237,1651
42478,9,24,1180,1670
58887,21,2,956,861
85402,25,8,301,1696
1287,1,8,1677,1673
34195,8,22,363,50
2853,1,11,1695,986
12122,2,12,355,1715
53638,16,19,281,1624
75452,23,9,185,176
20531,3,27,338,394
34851,8,23,947,188
36201,8,25,1696,71
30912,8,9,864,164
60410,21,4,1656,382
25811,7,2,2,356
57024,20,26,79,93
88139,25,26,101,306
73830,23,4,740,542
44381,10,3,162,358
85581,25,8,298,364
76910,23,22,181,229
83724,24,26,1665,74
57689,21,1,1655,380
69058,22,9,250,177
85890,25,9,98,163
98562,27,21,407,953
37014,8,26,1700,330
94030,26,22,76,230
15312,2,23,1681,768
87776,25,24,331,1668
44440,10,4,116,382
60256,21,4,56,381
28929,8,5,1699,1682
34860,8,23,863,47
96941,27,2,1659,343
88148,25,26,67,97
68906,22,8,252,1676
36708,8,26,1700,327
73450,23,3,740,342
15198,2,23,1681,769
8767,1,26,1677,76
3904,1,21,215,1657
70568,22,25,228,301
70114,22,23,49,156
31829,8,11,389,258
35293,8,23,387,155
34362,8,22,366,501
59370,21,2,1647,772
25285,6,21,311,399
54494,17,2,267,1691
94471,26,23,329,742
55716,19,3,1581,339
43303,9,26,1180,304
13037,2,21,1681,43
60564,21,5,56,1682
44406,10,3,317,359
19537,3,23,362,187
50961,12,1,324,506
7005,1,23,1695,766
81547,24,11,1667,990
62515,21,10,981,8
3886,1,21,215,397
32036,8,11,1675,26
26588,8,1,1676,1695
68949,22,8,51,388
48391,11,8,1626,862
16757,2,26,344,327
25649,7,1,65,1695
48188,11,8,222,367
69604,22,12,251,324
59418,21,2,1649,344
25252,6,21,948,980
3867,1,21,1678,58
32907,8,21,391,43
23220,5,2,1690,356
69225,22,9,50,1335
47791,11,4,26,375
48655,11,9,949,1335
37786,8,27,365,214
48365,11,8,986,1673
85980,25,9,102,164
82663,24,22,411,229
94658,26,23,73,185
92951,26,18,97,1689
49293,11,21,223,44
40167,9,8,165,1699
60084,21,3,41,338
78231,23,26,53,92
59438,21,2,1646,772
18298,3,11,340,1626
75225,23,8,740,367
35756,8,24,1703,460
45956,10,24,315,1661
49974,11,23,986,188
67106,22,1,502,1
40391,9,8,1334,386
50995,12,1,1715,1678
88615,26,1,325,1677
41481,9,21,1332,983
86415,25,13,69,85
22227,4,23,375,181
97100,27,3,1671,338
91975,26,9,95,164
21096,4,9,375,1335
9751,2,6,1680,17
4148,1,21,506,43
76551,23,19,154,1687
36094,8,24,1675,411
48277,11,8,259,366
11016,2,9,1693,1338
9590,2,4,1679,382
71732,23,1,768,1678
70057,22,22,468,504
36855,8,26,367,93
83925,24,27,1670,395
88689,26,1,306,1
95665,26,26,330,77
43666,10,1,1181,1695
56100,19,21,1687,55
7281,1,24,1,1666
62173,21,9,955,1341
98331,27,20,1671,539
2789,1,11,1678,224
77299,23,24,182,460
59703,21,3,983,341
80490,24,8,1663,1700
26430,7,24,33,412
32483,8,16,368,349
73709,23,3,181,359
11500,2,10,346,117
47260,11,2,256,356
69940,22,21,467,956
82183,24,21,1664,953
56010,19,15,1688,945
83738,24,26,1666,75
81719,24,16,1662,264
80819,24,8,1669,366
5418,1,22,1677,466
19415,3,23,338,769
14509,2,23,861,45
42230,9,23,165,182
20204,3,26,339,76
83918,24,27,1660,464
36095,8,24,390,1664
98518,27,21,407,1655
83645,24,26,1718,96
23891,5,19,1328,247
3210,1,11,1678,24
91948,26,9,379,165
66729,22,1,503,1694
81028,24,8,1670,1703
91433,26,8,304,390
15393,2,23,347,182
90372,26,4,74,382
29466,8,8,368,1675
61924,21,8,44,1698
68984,22,9,465,165
75699,23,10,186,112
39950,9,8,1332,366
5788,1,22,1695,254
97162,27,4,203,375
69044,22,9,504,1341
72611,23,2,156,346
54095,16,24,773,411
82799,24,23,1667,964
92645,26,12,326,61
94597,26,23,75,183
98919,27,22,206,229
30963,8,9,1703,164
74676,23,8,47,1700
48885,11,11,255,10
56054,19,17,958,267
89468,26,2,304,1681
35675,8,24,366,1666
2847,1,11,376,259
35628,8,24,1701,1670
76822,23,21,156,981
44066,10,2,11,861
13466,2,21,295,56
86419,25,15,331,1326
19306,3,22,341,49
20456,3,27,362,205
83450,24,25,1662,378
80667,24,8,1670,1697
1034,1,8,376,1696
28337,8,3,947,338
28231,8,3,1698,360
46263,10,26,21,75
71579,23,1,160,506
71901,23,1,769,380
82792,24,23,1667,52
20779,4,7,375,1713
30302,8,9,946,164
86556,25,18,68,106
59068,21,2,400,1681
10755,2,9,355,177
64778,21,24,56,1665
14807,2,23,347,1652
19835,3,24,341,1670
44923,10,8,178,366
43225,9,26,1341,325
43623,10,1,318,1695
79401,24,2,1660,772
53201,16,8,774,1699
62470,21,9,981,1340
10803,2,9,353,1336
42438,9,23,1334,182
71586,23,1,158,1678
31760,8,11,1700,257
4112,1,21,1,980
65259,21,25,44,298
85751,25,8,298,368
47993,11,7,216,66
60744,21,6,983,336
76091,23,11,46,951
23333,5,3,1331,359
52669,16,1,351,1694
68179,22,4,228,542
79967,24,3,1669,359
41514,9,21,1180,1655
39257,9,4,1335,375
96604,27,1,395,1
3289,1,12,376,38
56006,19,13,1685,83
53542,16,16,279,352
95119,26,24,325,1663
47583,11,3,256,340
96017,26,26,305,92
49481,11,21,1578,983
39931,9,8,1340,368
12969,2,21,261,399
65024,21,25,44,68
36688,8,26,864,328
416,1,5,215,1682
49966,11,23,1626,766
72797,23,2,45,354
17345,3,1,342,1695
12301,2,16,357,265
57852,21,1,397,1
11277,2,10,1693,22
81935,24,21,460,955
3844,1,21,1,56
1368,1,8,376,1327
25209,6,21,29,1653
67587,22,2,50,1691
50841,11,27,987,198
68540,22,8,228,389
48310,11,8,986,363
39234,9,4,176,381
50915,11,27,221,1672
64138,21,23,44,768
35508,8,24,366,412
84426,25,1,335,215
26921,8,1,389,1695
11371,2,10,355,1269
16809,2,26,354,94
40765,9,10,1332,116
30896,8,9,1676,1333
5637,1,22,1677,502
97577,27,8,199,367
90849,26,8,73,369
32908,8,21,366,1655
35352,8,24,1703,1660
46228,10,26,112,306
30723,8,9,369,1341
69111,22,9,49,1160
53366,16,10,280,23
52219,13,22,86,227
42898,9,25,1160,69
83268,24,24,1661,1666
58501,21,2,399,344
42014,9,22,1161,252
36493,8,25,1703,69
79254,24,1,1663,376
59442,21,2,1647,861
33079,8,21,367,55
12066,2,12,772,62
56679,20,9,89,1341
67631,22,2,48,772
51075,12,2,309,1679
60405,21,4,41,375
19674,3,23,361,1652
77246,23,24,183,1718
88828,26,1,97,215
64593,21,24,1655,412
93634,26,21,329,1650
47983,11,7,989,4
41516,9,21,1334,954
16351,2,26,1681,305
48798,11,10,505,13
2229,1,9,1678,1338
88334,25,26,333,329
9500,2,2,1679,345
58626,21,2,954,355
88943,26,1,94,1678
26322,7,22,64,467
5653,1,22,1,465
51946,12,25,63,70
54657,17,9,267,177
55547,18,26,1509,307
933,1,8,506,1673
45607,10,22,175,253
10704,2,9,1693,1161
48882,11,11,10,216
69164,22,9,250,1333
13082,2,21,295,1647
66482,22,1,468,1677
13206,2,21,1691,397
74773,23,8,766,387
51014,12,1,323,376
72870,23,2,159,356
22819,4,26,375,305
27342,8,1,1674,1677
56779,20,17,79,267
70227,22,24,466,459
72342,23,1,1652,380
33505,8,21,366,954
24273,5,24,1344,1662
62491,21,9,44,1332
24918,6,7,7,34
18915,3,21,338,980
46375,10,27,1182,208
63456,21,17,41,267
97640,27,8,1659,1270
7646,1,25,1,302
59171,21,2,44,861
96952,27,2,1716,1691
25861,7,3,32,339
51000,12,1,39,1695
23529,5,8,1343,1673
42050,9,23,1180,184
24718,6,2,27,861
87986,25,25,67,102
76458,23,17,159,267
73780,23,3,184,361
99519,27,26,191,92
55899,19,9,1688,176
4831,1,21,506,57
36127,8,25,365,333
2361,1,10,215,141
76219,23,12,740,1720
95189,26,25,308,332
98598,27,21,461,956
25486,6,25,260,332
97599,27,8,1659,1702
66988,22,1,466,1678
46584,11,1,949,1694
1678,1,9,506,1161
9291,2,1,1691,1695
1239,1,8,380,1700
10330,2,8,353,367
49999,11,23,222,157
60914,21,8,1646,1703
69261,22,10,468,319
57592,21,1,400,1678
6070,1,23,376,53
21563,4,21,375,1649
84805,25,2,333,353
1031,1,8,376,863
27312,8,1,363,376
89924,26,2,92,1693
64883,21,24,953,1669
49986,11,23,225,52
52537,15,24,371,1668
15375,2,23,1692,183
18154,3,10,359,116
974,1,8,215,947
13773,2,22,343,228
75641,23,9,156,1163
24664,6,1,16,1678
75390,23,9,740,1335
98161,27,11,393,255
59518,21,2,1653,355
56058,19,18,243,1574
49616,11,22,221,229
37974,9,1,1333,506
4734,1,21,215,981
24618,6,1,619,376
90927,26,8,97,386
79174,24,1,1669,1
99702,27,27,191,214
70994,22,26,49,72
87438,25,23,378,157
42147,9,23,1162,47
72453,23,2,766,1692
46085,10,25,1182,101
34338,8,22,1698,231
22258,4,23,375,45
95136,26,25,95,378
67982,22,3,466,361
2055,1,9,1677,1160
77075,23,23,154,186
18235,3,11,358,1578
89157,26,1,307,376
22964,4,27,374,394
60796,21,7,1656,1712
99005,27,23,394,185
32516,8,16,1697,267
66425,22,1,228,1694
94651,26,23,330,768
31041,8,9,364,1180
38331,9,1,1333,376
56657,20,8,509,1676
30464,8,9,370,1268
33092,8,21,1699,43
56660,20,8,89,366
32029,8,11,1701,950
42408,9,23,1161,154
84009,25,1,69,1678
13821,2,22,357,468
3387,1,16,1695,294
43729,10,1,312,376
5696,1,22,1678,51
12808,2,21,356,397
46834,11,1,952,215
61741,21,8,399,1701
60538,21,4,397,375
42529,9,24,1337,410
60835,21,7,1655,1713
8005,1,25,506,333
70156,22,23,253,157
33496,8,21,367,1654
85933,25,9,101,1183
63490,21,18,953,1574
2426,1,10,1677,143
14702,2,23,1679,742
82334,24,21,1663,1656
66508,22,1,50,1
73771,23,3,47,340
62552,21,10,54,312
33078,8,21,1699,1650
33212,8,21,1701,954
79478,24,2,460,1693
73175,23,2,742,1681
64923,21,25,57,301
63652,21,20,1655,81
74500,23,8,742,391
17866,3,8,339,946
94574,26,23,94,188
96741,27,2,403,354
78861,24,1,1661,1677
12187,2,15,1680,1271
95628,26,26,327,305
71572,23,1,770,1694
89455,26,2,94,344
11921,2,11,261,222
50081,11,23,986,45
98903,27,22,208,231
2214,1,9,1,1162
39624,9,8,164,946
83333,24,25,1665,301
10115,2,8,345,1703
29782,8,8,1703,1327
58561,21,2,955,1692
21481,4,16,382,281
59048,21,2,982,343
24306,5,25,1682,67
89923,26,2,303,261
4043,1,21,506,43
83725,24,26,1661,93
92488,26,11,76,222
26752,8,1,1703,506
35684,8,24,1702,1663
84761,25,2,71,772
57045,20,27,539,407
49289,11,21,224,1649
41442,9,21,1337,980
80888,24,8,1666,1675
580,1,6,1694,16
31346,8,10,387,1576
9576,2,4,1691,382
34545,8,23,390,155
31137,8,10,1675,113
83202,24,23,1660,45
58799,21,2,954,344
96842,27,2,1659,1692
98645,27,21,210,1653
19543,3,23,359,160
17170,2,27,354,402
28968,8,6,946,771
25630,7,1,32,376
62946,21,11,956,226
85568,25,8,99,368
62387,21,9,57,1183
44671,10,8,113,365
26446,7,25,33,99
7537,1,24,215,1664
89814,26,2,77,355
90563,26,5,328,1682
67944,22,3,251,339
5714,1,22,1677,501
37815,8,27,365,1671
42576,9,24,1338,1669
36792,8,26,1327,377
58369,21,1,953,1677
33018,8,21,391,1650
50119,11,24,989,1669
93251,26,21,303,55
17679,3,8,361,1675
10026,2,8,261,387
99631,27,26,195,379
92346,26,11,326,987
40919,9,12,1337,1720
3856,1,21,380,956
37357,8,26,1673,97
97585,27,8,59,1327
82718,24,22,1660,466
11585,2,11,344,984
6694,1,23,1695,159
81370,24,10,1661,168
88663,26,1,75,1678
65384,21,26,400,306
76207,23,12,767,1720
18603,3,19,359,243
88551,26,1,306,1678
96486,27,1,408,380
28706,8,5,1696,1682
83740,24,26,1666,307
32467,8,16,386,278
83853,24,26,1663,74
81978,24,21,1660,1654
33424,8,21,365,54
99613,27,26,204,329
94649,26,23,379,155
61179,21,8,953,1701
68080,22,4,231,375
87537,25,23,378,184
69821,22,20,228,539
78890,24,1,1670,380
85425,25,8,69,390
33140,8,21,1674,954
64556,21,24,981,1662
77378,23,24,741,1670
93015,26,19,308,1583
29511,8,8,366,864
34326,8,22,1675,503
1095,1,8,1678,1674
765,1,7,1695,1713
89813,26,2,379,353
43345,9,26,177,379
83854,24,26,1668,92
44257,10,2,111,346
5458,1,22,1694,254
4798,1,21,506,43
2096,1,9,380,1268
1014,1,8,1677,1701
48592,11,8,949,1676
81289,24,10,459,1182
87588,25,24,298,412
29332,8,8,386,1327
94091,26,22,329,468
86488,25,16,378,856
93473,26,21,73,1649
36722,8,26,391,303
66117,21,27,953,461
96553,27,1,464,1677
40433,9,8,1336,387
34547,8,23,388,46
39651,9,8,144,947
75677,23,10,53,114
71955,23,1,156,380
17525,3,6,342,18
60774,21,6,1655,311
93775,26,21,327,398
69451,22,11,251,984
39098,9,3,1332,358
69417,22,11,51,505
11470,2,10,346,142
916,1,8,1,1697
66093,21,27,1648,464
11314,2,10,357,168
78564,23,27,766,206
41741,9,21,176,399
4823,1,21,215,1649
73476,23,3,770,341
75909,23,11,47,259
11023,2,9,1681,176
19535,3,23,360,1652
2573,1,10,506,316
20701,4,5,382,1328
30314,8,9,1673,1180
21116,4,9,542,1161
22248,4,23,382,742
23588,5,8,1342,1673
39785,9,8,163,1270
34902,8,23,1701,186
86066,25,9,404,144
7664,1,25,1694,333
58214,21,1,44,1695
3178,1,11,1678,985
44275,10,3,167,339
18109,3,10,341,117
20364,3,26,361,303
10979,2,9,346,1333
9855,2,6,344,20
64335,21,24,399,1668
7663,1,25,1695,335
11257,2,10,772,1182
2761,1,11,215,255
72807,23,2,186,861
50545,11,26,223,330
91029,26,8,95,1673
47735,11,3,950,340
80104,24,4,459,381
61028,21,8,1653,863
40086,9,8,1161,365
6797,1,23,1678,1652
31990,8,11,1270,989
26606,8,1,388,1695
27172,8,1,364,376
27469,8,2,370,861
81278,24,10,1660,162
91838,26,9,75,165
72380,23,1,52,1677
55728,19,3,239,339
80399,24,8,459,1673
89291,26,1,73,215
70098,22,23,254,186
27524,8,2,1700,861
87739,25,24,301,1661
80569,24,8,1670,1676
19424,3,23,358,1652
92819,26,16,72,773
80570,24,8,410,1698
7098,1,24,1678,1663
9593,2,4,1691,542
9867,2,7,353,1714
18503,3,16,338,285
48278,11,8,259,367
64258,21,23,41,766
57312,21,1,41,1677
43295,9,26,1160,75
2740,1,11,506,221
88703,26,1,93,1678
31779,8,11,1676,226
9559,2,4,354,374
97533,27,8,408,1674
16832,2,26,344,325
34555,8,23,1699,1652
