ind,ozone,dzone,obs,dbs
0,1,1,376,1678
1,1,1,380,1
2,1,1,1677,1694
3,1,1,1678,380
4,1,1,376,1
5,1,1,1677,215
6,1,1,1694,1677
7,1,1,215,376
8,1,1,1678,380
9,1,1,380,215
10,1,1,215,1678
11,1,1,380,1694
12,1,1,380,1678
13,1,1,506,1678
14,1,1,1677,1695
15,1,1,1677,376
16,1,1,1677,1
17,1,1,1695,506
18,1,1,1,506
19,1,1,1,376
20,1,1,1678,1
21,1,1,1678,1694
22,1,1,1677,1695
23,1,1,1694,376
24,1,1,1677,506
25,1,1,1694,376
26,1,1,1695,380
27,1,1,380,1695
28,1,1,1695,215
29,1,1,1694,1678
30,1,1,215,1695
31,1,1,1,1677
32,1,1,1694,1694
33,1,1,215,1694
34,1,1,506,1694
35,1,1,1677,1695
36,1,1,1677,1677
37,1,1,1,506
38,1,1,380,1694
39,1,1,376,1678
40,1,1,215,376
41,1,1,1694,1678
42,1,1,1694,1695
43,1,1,1695,1
44,1,1,380,380
45,1,1,1694,506
46,1,1,1695,380
47,1,1,1,1678
48,1,1,1678,215
49,1,1,376,1695
50,1,1,506,1694
51,1,1,215,506
52,1,1,1677,1695
53,1,1,1,1694
54,1,1,1677,1
55,1,1,1,1694
56,1,1,506,376
57,1,1,1678,380
58,1,1,380,506
59,1,1,1694,215
60,1,1,215,1678
61,1,1,380,506
62,1,1,1694,1
63,1,1,380,376
64,1,1,215,1695
65,1,1,215,376
66,1,1,1677,1695
67,1,1,380,1
68,1,1,1695,1677
69,1,1,376,1678
70,1,1,380,380
71,1,1,506,506
72,1,1,1,1678
73,1,1,1695,376
74,1,1,1695,1
75,1,1,1695,1695
76,1,1,215,215
77,1,1,506,1
78,1,1,1677,376
79,1,1,380,1
80,1,1,1677,380
81,1,1,1,1678
82,1,1,215,1695
83,1,1,1695,376
84,1,1,1695,215
85,1,1,1695,1694
86,1,1,380,380
87,1,1,1694,1678
88,1,1,506,1694
89,1,1,1677,1677
90,1,1,1695,1
91,1,1,506,1695
92,1,1,215,380
93,1,1,380,1
94,1,1,1694,1695
95,1,1,1695,1694
96,1,1,215,215
97,1,1,376,1695
98,1,1,1,1695
99,1,1,1677,1695
100,1,1,1694,215
101,1,1,1,1694
102,1,1,1694,215
103,1,1,1,1677
104,1,1,1695,376
105,1,1,1,376
106,1,1,215,1695
107,1,1,215,1677
108,1,1,215,1
109,1,1,376,506
110,1,1,376,1
111,1,1,1694,1694
112,1,1,1678,1677
113,1,1,506,215
114,1,1,1694,1694
115,1,1,1678,1
116,1,1,1678,1678
117,1,1,1695,376
118,1,1,1678,1678
119,1,1,376,1
120,1,1,1,380
121,1,1,506,1695
122,1,1,1,506
123,1,1,215,506
124,1,1,215,1
125,1,1,506,376
126,1,1,1695,1
127,1,1,506,215
128,1,1,215,376
129,1,1,1695,1
130,1,1,376,376
131,1,1,1694,376
132,1,1,1695,380
133,1,1,1677,506
134,1,1,376,1695
135,1,1,1677,215
136,1,1,1677,376
137,1,1,1,506
138,1,1,1695,1694
139,1,1,506,1694
140,1,1,1695,376
141,1,1,215,215
142,1,1,1694,1678
143,1,1,1694,1695
144,1,1,1694,1694
145,1,1,376,1694
146,1,1,1677,506
147,1,1,1,1678
148,1,1,1695,380
149,1,1,1,1695
150,1,1,376,1694
151,1,1,215,1695
152,1,1,1678,1694
153,1,1,1,376
154,1,1,215,1
155,1,1,1678,380
156,1,1,380,1677
157,1,1,1695,1677
158,1,1,506,1694
159,1,1,380,215
160,1,1,506,1695
161,1,1,1677,380
162,1,2,1678,353
163,1,2,1694,261
164,1,2,376,344
165,1,2,1695,261
166,1,2,1,345
167,1,2,1695,1681
168,1,2,1695,345
169,1,2,506,1693
170,1,2,1678,1680
171,1,2,1694,1679
172,1,2,506,353
173,1,2,1677,344
174,1,2,380,346
175,1,2,506,356
176,1,2,1695,1692
177,1,2,506,1680
178,1,2,1694,1693
179,1,2,1695,1679
180,1,2,215,355
181,1,2,506,1680
182,1,2,376,1680
183,1,2,1694,1680
184,1,2,506,1681
185,1,2,1,343
186,1,2,1695,343
187,1,2,1677,1680
188,1,2,1677,772
189,1,2,1694,346
190,1,2,1,344
191,1,2,1694,343
192,1,2,376,345
193,1,2,380,344
194,1,2,376,346
195,1,2,1695,354
196,1,2,506,353
197,1,2,380,861
198,1,2,215,346
199,1,2,376,344
200,1,2,215,357
201,1,2,1,772
202,1,2,215,346
203,1,2,1695,356
204,1,2,506,772
205,1,2,1694,356
206,1,2,1677,1692
207,1,2,380,344
208,1,2,1,772
209,1,2,380,295
210,1,2,1677,1691
211,1,2,1,347
212,1,2,215,354
213,1,2,506,295
214,1,2,1694,353
215,1,2,1,345
216,1,2,376,295
217,1,2,1,353
218,1,2,1,1692
219,1,2,1694,772
220,1,2,506,346
221,1,2,215,345
222,1,2,1678,354
223,1,2,1,354
224,1,2,380,354
225,1,2,215,356
226,1,2,1,354
227,1,2,506,1692
228,1,2,1677,1692
229,1,2,376,1680
230,1,2,1695,1691
231,1,2,1678,347
232,1,2,376,353
233,1,2,1678,344
234,1,2,215,1693
235,1,2,1694,355
236,1,2,1677,345
237,1,2,380,356
238,1,2,215,772
239,1,2,1678,1681
240,1,2,380,1679
241,1,2,1694,1679
242,1,2,1,261
243,1,2,1678,772
244,1,2,380,356
245,1,2,380,1692
246,1,2,1694,261
247,1,2,376,1691
248,1,2,506,344
249,1,2,506,346
250,1,2,506,295
251,1,2,215,295
252,1,2,506,344
253,1,2,1694,1691
254,1,2,1,355
255,1,2,1677,344
256,1,2,1695,346
257,1,2,215,355
258,1,2,376,355
259,1,2,1678,1679
260,1,2,1678,1693
261,1,2,1,357
262,1,2,1678,1681
263,1,2,376,1680
264,1,2,1694,356
265,1,2,1695,344
266,1,2,380,343
267,1,2,1678,1693
268,1,2,1694,1680
269,1,2,1695,261
270,1,2,1677,1692
271,1,2,1695,1691
272,1,2,506,343
273,1,2,1,295
274,1,2,376,1679
275,1,2,380,261
276,1,2,506,861
277,1,2,1694,861
278,1,2,1,355
279,1,2,1695,345
280,1,2,506,343
281,1,2,1695,772
282,1,2,506,1679
283,1,2,215,355
284,1,2,215,344
285,1,2,215,347
286,1,2,1694,343
287,1,2,376,772
288,1,2,506,346
289,1,2,1678,343
290,1,2,1,1691
291,1,2,1678,357
292,1,2,1695,357
293,1,2,1678,344
294,1,2,380,1680
295,1,2,376,1693
296,1,2,1677,355
297,1,2,1678,1680
298,1,2,506,353
299,1,2,1,343
300,1,2,1,772
301,1,2,1,1691
302,1,2,506,1679
303,1,2,215,295
304,1,3,376,358
305,1,3,1678,339
306,1,3,380,338
307,1,3,1677,339
308,1,3,1,359
309,1,3,1,360
310,1,3,1,339
311,1,3,506,338
312,1,3,380,362
313,1,3,380,361
314,1,3,1,340
315,1,3,215,360
316,1,3,1694,361
317,1,3,376,341
318,1,3,1694,338
319,1,3,1695,339
320,1,3,215,341
321,1,3,376,362
322,1,3,376,358
323,1,3,506,338
324,1,3,506,340
325,1,3,380,340
326,1,3,506,342
327,1,3,215,339
328,1,3,215,360
329,1,3,506,342
330,1,3,215,339
331,1,3,506,341
332,1,3,506,338
333,1,3,380,338
334,1,3,215,338
335,1,3,506,342
336,1,3,376,360
337,1,3,380,342
338,1,3,215,341
339,1,3,1695,362
340,1,3,1694,338
341,1,3,1678,361
342,1,3,1695,361
343,1,3,1677,361
344,1,3,506,342
345,1,3,215,360
346,1,3,380,340
347,1,3,380,338
348,1,3,1,342
349,1,3,506,342
350,1,3,215,342
351,1,3,1695,339
352,1,3,506,361
353,1,3,215,338
354,1,3,376,341
355,1,3,1695,361
356,1,3,376,362
357,1,3,506,360
358,1,3,1695,339
359,1,3,1677,338
360,1,3,380,338
361,1,4,380,374
362,1,4,376,381
363,1,4,376,507
364,1,4,1694,382
365,1,4,1695,374
366,1,4,1678,382
367,1,4,376,542
368,1,4,1694,374
369,1,4,1694,374
370,1,4,1677,507
371,1,4,1,374
372,1,4,506,375
373,1,4,380,374
374,1,4,1678,375
375,1,4,376,542
376,1,4,215,542
377,1,4,506,375
378,1,4,1695,381
379,1,4,1677,374
380,1,4,1694,542
381,1,4,1695,374
382,1,4,380,507
383,1,4,380,381
384,1,4,1695,542
385,1,4,380,507
386,1,4,376,542
387,1,4,1695,375
388,1,4,1677,382
389,1,4,1694,374
390,1,4,1694,382
391,1,4,380,381
392,1,4,380,382
393,1,4,1694,507
394,1,4,1695,507
395,1,4,1695,375
396,1,4,380,542
397,1,4,506,375
398,1,4,380,375
399,1,4,1677,382
400,1,4,1,375
401,1,4,1678,382
402,1,4,1,382
403,1,4,506,382
404,1,5,1678,1330
405,1,5,1677,1682
406,1,5,376,1329
407,1,5,506,1331
408,1,5,1,1690
409,1,5,1695,1330
410,1,5,506,1331
411,1,5,1677,1344
412,1,5,376,1682
413,1,5,1677,1343
414,1,5,380,1328
415,1,5,506,1682
416,1,5,380,1331
417,1,5,376,1344
418,1,5,506,1328
419,1,5,376,1328
420,1,5,1695,1345
421,1,5,506,1330
422,1,5,215,1344
423,1,5,380,1343
424,1,5,380,1344
425,1,5,1,1344
426,1,5,506,1682
427,1,5,215,1330
428,1,5,1678,1329
429,1,5,215,1331
430,1,5,1677,1328
431,1,5,215,1330
432,1,5,1677,1342
433,1,5,215,1331
434,1,5,1677,1343
435,1,5,215,1328
436,1,5,1,1331
437,1,5,376,1329
438,1,5,380,1329
439,1,5,1,1343
440,1,5,1677,1330
441,1,5,1,1331
442,1,5,1,1330
443,1,5,1678,1328
444,1,5,215,1344
445,1,5,1677,1331
446,1,5,1694,1328
447,1,5,1695,1328
448,1,5,506,1682
449,1,5,1,1329
450,1,5,1677,1690
451,1,5,1,1343
452,1,5,1678,1690
453,1,5,380,1344
454,1,5,1694,1328
455,1,5,1,1344
456,1,5,506,1330
457,1,5,1694,1343
458,1,5,1694,1328
459,1,5,1678,1342
460,1,5,1694,1345
461,1,5,215,1345
462,1,5,1677,1343
463,1,5,1678,1328
464,1,5,376,1682
465,1,5,376,1345
466,1,5,1694,1329
467,1,5,380,1331
468,1,5,1695,1330
469,1,5,1677,1330
470,1,5,215,1690
471,1,5,215,1342
472,1,5,1694,1328
473,1,5,1677,1345
474,1,5,1694,1342
475,1,5,1695,1329
476,1,5,215,1331
477,1,5,376,1682
478,1,5,1678,1342
479,1,5,376,1329
480,1,5,380,1329
481,1,5,376,1330
482,1,5,1694,1329
483,1,5,1695,1690
484,1,5,215,1343
485,1,5,380,1345
486,1,5,380,1342
487,1,5,1678,1329
488,1,5,215,1342
489,1,5,1695,1330
490,1,5,1694,1690
491,1,5,1677,1328
492,1,5,215,1330
493,1,5,506,1331
494,1,5,1695,1343
495,1,5,380,1682
496,1,5,1677,1331
497,1,5,380,1682
498,1,5,1678,1342
499,1,5,215,1690
500,1,5,506,1343
501,1,5,380,1343
502,1,5,1677,1682
503,1,5,380,1344
504,1,5,506,1343
505,1,5,215,1331
506,1,5,376,1345
507,1,5,376,1345
508,1,5,380,1328
509,1,5,1677,1345
510,1,5,506,1343
511,1,5,506,1331
512,1,5,1677,1682
513,1,5,380,1345
514,1,5,1694,1690
515,1,5,1678,1690
516,1,5,1677,1690
517,1,5,380,1342
518,1,5,506,1331
519,1,5,1,1328
520,1,5,506,1690
521,1,5,1,1682
522,1,5,1694,1344
523,1,5,376,1331
524,1,5,1695,1345
525,1,5,1,1690
526,1,5,380,1682
527,1,5,1,1329
528,1,5,506,1328
529,1,5,1695,1344
530,1,5,376,1329
531,1,5,1678,1690
532,1,5,376,1330
533,1,5,380,1330
534,1,5,376,1344
535,1,5,380,1328
536,1,5,1677,1690
537,1,5,1,1329
538,1,5,1677,1682
539,1,5,1694,1343
540,1,5,1694,1342
541,1,5,506,1690
542,1,5,506,1342
543,1,5,1678,1331
544,1,5,1677,1345
545,1,5,380,1329
546,1,5,1,1690
547,1,5,1694,1329
548,1,5,380,1331
549,1,5,506,1342
550,1,5,506,1343
551,1,5,1678,1345
552,1,5,1678,1330
553,1,5,1677,1343
554,1,5,376,1331
555,1,5,376,1690
556,1,5,1695,1330
557,1,5,1695,1343
558,1,5,1695,1690
559,1,5,1,1345
560,1,5,215,1329
561,1,5,215,1344
562,1,5,506,1342
563,1,5,380,1331
564,1,6,506,771
565,1,6,506,1508
566,1,6,1677,296
567,1,6,1,15
568,1,6,215,988
569,1,6,380,7
570,1,6,1677,322
571,1,6,215,771
572,1,6,376,336
573,1,6,1694,16
574,1,6,376,336
575,1,6,376,15
576,1,6,1677,988
577,1,6,1,15
578,1,6,1,16
579,1,6,506,29
580,1,6,1694,260
581,1,6,1677,20
582,1,6,506,7
583,1,6,376,16
584,1,6,215,28
585,1,6,506,6
586,1,6,506,5
587,1,6,1,15
588,1,6,380,619
589,1,6,376,988
590,1,6,376,771
591,1,6,1694,296
592,1,6,215,17
593,1,6,376,296
594,1,6,215,619
595,1,6,376,1508
596,1,6,376,988
597,1,6,1695,29
598,1,6,376,260
599,1,6,215,19
600,1,6,376,5
601,1,6,215,297
602,1,6,506,17
603,1,6,1695,260
604,1,6,380,19
605,1,6,506,29
606,1,6,1695,1508
607,1,6,1678,6
608,1,6,1694,311
609,1,6,1695,948
610,1,6,380,988
611,1,6,215,260
612,1,6,1677,19
613,1,6,1678,1630
614,1,6,1,19
615,1,6,380,18
616,1,6,376,297
617,1,6,1678,1508
618,1,6,506,297
619,1,6,376,1630
620,1,6,1694,5
621,1,6,506,260
622,1,6,1694,5
623,1,6,1694,297
624,1,6,1695,18
625,1,6,1,771
626,1,6,380,336
627,1,6,506,19
628,1,6,1678,20
629,1,6,376,1630
630,1,6,376,1508
631,1,6,1695,988
632,1,6,1695,619
633,1,6,506,771
634,1,6,380,297
635,1,6,1695,948
636,1,6,380,297
637,1,6,380,6
638,1,6,1,336
639,1,6,215,322
640,1,6,506,20
641,1,6,506,336
642,1,6,1677,17
643,1,6,380,28
644,1,6,380,297
645,1,6,1678,29
646,1,6,1,27
647,1,6,1694,18
648,1,6,1695,15
649,1,6,506,1630
650,1,6,1695,948
651,1,6,1694,988
652,1,6,1695,988
653,1,6,1678,296
654,1,6,1677,29
655,1,6,215,27
656,1,6,506,15
657,1,6,1678,771
658,1,6,1678,336
659,1,6,1,336
660,1,6,215,17
661,1,6,1677,297
662,1,6,1678,18
663,1,6,1694,20
664,1,6,1694,260
665,1,6,215,19
666,1,6,506,619
667,1,6,1678,296
668,1,6,1677,16
669,1,6,1678,5
670,1,6,1694,296
671,1,6,380,1630
672,1,6,506,336
673,1,6,1677,17
674,1,6,506,771
675,1,6,1677,19
676,1,6,1,1630
677,1,6,1694,260
678,1,6,215,28
679,1,6,1695,988
680,1,6,380,17
681,1,6,1,29
682,1,6,1,260
683,1,6,1694,15
684,1,6,376,5
685,1,6,1,311
686,1,6,1,322
687,1,6,506,296
688,1,6,215,19
689,1,6,506,6
690,1,6,1695,7
691,1,6,215,15
692,1,6,1677,5
693,1,6,1678,260
694,1,6,215,6
695,1,6,1695,296
696,1,6,1695,19
697,1,6,1694,20
698,1,6,1677,29
699,1,6,506,28
700,1,6,1678,20
701,1,6,376,19
702,1,6,506,17
703,1,6,1695,988
704,1,6,376,336
705,1,7,380,32
706,1,7,1,31
707,1,7,380,30
708,1,7,1677,310
709,1,7,1,31
710,1,7,380,35
711,1,7,215,65
712,1,7,380,34
713,1,7,376,34
714,1,7,1677,66
715,1,7,380,32
716,1,7,1678,180
717,1,7,1695,2
718,1,7,1695,2
719,1,7,215,31
720,1,7,506,3
721,1,7,506,35
722,1,7,1678,4
723,1,7,1678,3
724,1,7,376,2
725,1,7,1,34
726,1,7,1694,4
727,1,7,380,34
728,1,7,1694,65
729,1,7,380,35
730,1,7,1677,35
731,1,7,506,31
732,1,7,376,64
733,1,7,1,30
734,1,7,1694,32
735,1,7,380,3
736,1,7,1,31
737,1,7,1695,4
738,1,7,1677,2
739,1,7,1695,66
740,1,7,215,310
741,1,7,1678,64
742,1,7,1677,65
743,1,7,1695,4
744,1,7,1677,2
745,1,7,380,30
746,1,7,215,30
747,1,7,215,65
748,1,7,215,35
749,1,7,506,34
750,1,7,1694,66
751,1,7,506,4
752,1,7,380,64
753,1,7,1678,180
754,1,7,215,65
755,1,7,506,180
756,1,7,1678,34
757,1,7,1677,310
758,1,7,380,65
759,1,7,380,2
760,1,7,1,66
761,1,7,1695,4
762,1,7,1678,30
763,1,7,506,66
764,1,7,1,66
765,1,7,1678,30
766,1,7,380,310
767,1,7,380,65
768,1,7,1695,33
769,1,7,1,310
770,1,7,506,310
771,1,7,1678,31
772,1,7,1694,310
773,1,7,380,2
774,1,7,1,66
775,1,7,380,310
776,1,7,1695,3
777,1,7,506,3
778,1,7,380,65
779,1,7,1694,4
780,1,7,1,65
781,1,7,1678,33
782,1,7,1678,180
783,1,7,506,4
784,1,7,380,3
785,1,7,1694,64
786,1,7,380,33
787,1,7,1694,31
788,1,7,1678,3
789,1,7,1678,32
790,1,7,1,35
791,1,7,1694,34
792,1,7,376,30
793,1,7,1678,4
794,1,7,380,33
795,1,7,215,66
796,1,7,1695,4
797,1,7,1678,310
798,1,7,506,310
799,1,7,376,64
800,1,7,1678,3
801,1,7,376,180
802,1,7,1695,3
803,1,7,1694,31
804,1,7,1678,4
805,1,7,1677,180
806,1,7,1695,66
807,1,7,1677,34
808,1,7,380,2
809,1,7,215,180
810,1,7,1694,35
811,1,7,376,30
812,1,7,1694,65
813,1,7,1678,64
814,1,7,215,64
815,1,7,1695,35
816,1,7,1,66
817,1,7,1677,66
818,1,7,380,64
819,1,7,1,31
820,1,7,1,34
821,1,7,506,66
822,1,7,1678,66
823,1,7,1695,310
824,1,7,215,2
825,1,7,506,180
826,1,7,1,35
827,1,7,1677,66
828,1,7,376,35
829,1,7,1677,31
830,1,7,506,32
831,1,7,1695,64
832,1,7,506,30
833,1,7,1695,31
834,1,7,1678,34
835,1,7,506,65
836,1,7,1678,30
837,1,8,1677,389
838,1,8,1,387
839,1,8,1694,368
840,1,8,215,1674
841,1,8,215,365
842,1,8,1,1702
843,1,8,1,1699
844,1,8,380,391
845,1,8,1,364
846,1,8,376,947
847,1,8,380,389
848,1,8,506,1698
849,1,8,380,1701
850,1,8,1695,366
851,1,8,215,1327
852,1,8,1678,1696
853,1,8,380,862
854,1,8,380,862
855,1,8,1,387
856,1,8,380,1697
857,1,8,215,1676
858,1,8,1,365
859,1,8,376,864
860,1,8,380,1327
861,1,8,1,947
