ind,ozone,dzone,obs,dbs
1,1,1,1694,506
45,1,1,380,1
71,1,1,1,376
82,1,1,1695,1695
94,1,1,215,1
108,1,1,1694,1
119,1,1,215,380
126,1,1,1694,1695
173,1,2,380,1692
181,1,2,506,344
189,1,2,1695,1681
191,1,2,1695,1692
241,1,2,1694,347
254,1,2,380,1680
308,1,3,1694,362
335,1,3,1678,361
337,1,3,1,341
363,1,4,380,382
364,1,4,1694,507
380,1,4,506,382
382,1,4,1695,507
390,1,4,1694,542
432,1,5,1695,1329
434,1,5,1678,1345
460,1,5,1694,1682
473,1,5,1677,1343
491,1,5,506,1330
554,1,5,1,1690
566,1,6,1678,19
567,1,6,215,18
613,1,6,1694,27
628,1,6,215,1630
635,1,6,1694,1508
663,1,6,215,1508
741,1,7,215,180
776,1,7,506,34
882,1,8,1695,364
895,1,8,1694,388
929,1,8,376,1697
962,1,8,1,365
973,1,8,1694,1703
992,1,8,376,1699
1026,1,8,1678,1700
1030,1,8,380,947
1062,1,8,1677,391
1082,1,8,376,387
1083,1,8,1677,1676
1103,1,8,1677,366
1118,1,8,215,364
1136,1,8,1,863
1140,1,8,1,366
1178,1,8,1694,366
1179,1,8,1,862
1181,1,8,380,946
1188,1,8,1695,1698
1199,1,8,1,1699
1207,1,8,1678,862
1296,1,8,506,1699
1300,1,8,1694,1701
1346,1,8,1678,387
1372,1,8,1,386
1383,1,8,1678,387
1387,1,8,1678,389
1398,1,8,376,1703
1419,1,8,1695,1697
1443,1,8,215,386
1500,1,8,1,390
1511,1,8,380,391
1556,1,8,1,1698
1562,1,8,1695,1698
1611,1,8,376,366
1627,1,8,376,388
1641,1,8,380,947
1655,1,9,1694,1340
1676,1,9,1678,1340
1687,1,9,1695,165
1694,1,9,506,177
1695,1,9,1694,1337
1702,1,9,1678,165
1708,1,9,1695,144
1725,1,9,1695,176
1742,1,9,506,1335
1745,1,9,376,1338
1755,1,9,506,1332
1762,1,9,1677,1334
1795,1,9,376,1333
1796,1,9,380,1268
1797,1,9,1695,1161
1800,1,9,1,1335
1802,1,9,1678,1334
1820,1,9,215,1336
1845,1,9,1677,1338
1847,1,9,215,1162
1874,1,9,376,1337
1893,1,9,1678,1183
1898,1,9,1695,1332
1902,1,9,1695,1334
1903,1,9,376,1163
1905,1,9,506,144
1909,1,9,506,1334
1935,1,9,1678,1160
1956,1,9,1677,1336
1957,1,9,1678,164
1967,1,9,506,144
2031,1,9,1,1340
2046,1,9,376,1160
2082,1,9,1694,1335
2106,1,9,1695,163
2114,1,9,376,1183
2122,1,9,215,1335
2124,1,9,1694,1338
2129,1,9,215,1333
2163,1,9,376,1333
2182,1,9,1678,1180
2184,1,9,1694,1332
2212,1,9,380,1335
2258,1,10,1677,1628
2263,1,10,1678,321
2268,1,10,506,13
2299,1,10,1694,112
2314,1,10,506,142
2340,1,10,1694,23
2382,1,10,1694,14
2423,1,10,1695,316
2441,1,10,1695,179
2447,1,10,1,114
2454,1,10,1695,317
2466,1,10,215,179
2474,1,10,215,312
2502,1,10,506,1627
2519,1,10,215,1269
2526,1,10,1678,1269
2545,1,10,506,13
2554,1,10,215,321
2564,1,10,1678,320
2585,1,10,380,113
2613,1,11,1695,10
2663,1,11,380,226
2667,1,11,1677,257
2680,1,11,1695,987
2712,1,11,1677,991
2853,1,11,215,505
2856,1,11,1695,223
2865,1,11,1677,991
2871,1,11,376,224
2911,1,11,1695,259
2912,1,11,380,984
2932,1,11,1,991
2946,1,11,1694,224
2993,1,11,1695,224
3020,1,11,380,259
3025,1,11,506,256
3031,1,11,215,952
3053,1,11,506,257
3099,1,11,215,985
3140,1,11,1678,505
3153,1,11,1677,989
3173,1,11,1694,223
3204,1,11,506,24
3216,1,11,380,224
3218,1,11,1694,259
3220,1,11,215,505
3221,1,11,215,951
3235,1,12,506,61
3317,1,12,506,61
3345,1,13,1,85
3347,1,13,215,1071
3351,1,13,380,541
3354,1,13,1694,84
3370,1,15,376,1272
3385,1,15,1695,866
3403,1,16,1694,289
3431,1,16,1677,292
3442,1,16,1,270
3474,1,16,380,283
3491,1,16,376,265
3537,1,16,1677,278
3545,1,16,376,263
3573,1,17,376,267
3583,1,17,380,267
3626,1,18,1694,106
3636,1,18,1678,105
3638,1,18,1,1574
3646,1,18,1677,1689
3676,1,19,376,1685
3751,1,20,1694,80
3769,1,20,380,89
3787,1,21,1678,954
3792,1,21,1,983
3840,1,21,376,981
3845,1,21,1694,398
3871,1,21,1678,1648
3889,1,21,1677,57
3896,1,21,1,54
3925,1,21,1,956
3936,1,21,1695,58
3949,1,21,1695,58
3953,1,21,380,397
3995,1,21,1677,1647
3999,1,21,380,1654
4019,1,21,1695,43
4057,1,21,1678,1653
4065,1,21,1677,55
4075,1,21,1695,983
4108,1,21,1677,41
4151,1,21,1,55
4154,1,21,1677,56
4180,1,21,1695,1657
4209,1,21,380,400
4243,1,21,215,1648
4252,1,21,215,1648
4254,1,21,506,58
4265,1,21,506,1656
4362,1,21,1694,956
4384,1,21,376,955
4431,1,21,376,43
4435,1,21,1694,953
4448,1,21,1694,981
4461,1,21,1695,982
4466,1,21,215,55
4468,1,21,1,1657
4481,1,21,1678,57
4507,1,21,1,43
4551,1,21,1,1647
4562,1,21,1678,399
4583,1,21,1677,42
4619,1,21,1,954
4660,1,21,215,955
4674,1,21,1678,1655
4679,1,21,1694,42
4697,1,21,1695,44
4727,1,21,1678,54
4728,1,21,1678,58
4770,1,21,376,54
