ind,type,start,bl1,bs1,dir1,dist1,bl2,bs2,dir2,dist2,walk
94,1,1,L1,2,1,673,NONE,-1,-1,-1,348
94,1,1,L10,2,1,673,NONE,-1,-1,-1,348
94,1,1,L16,2,1,673,NONE,-1,-1,-1,348
94,1,1,L19,2,1,1805,NONE,-1,-1,-1,348
94,1,1,L3,2,1,673,NONE,-1,-1,-1,348
94,1,1,L4,2,1,673,NONE,-1,-1,-1,348
94,1,1,L5,2,1,673,NONE,-1,-1,-1,348
94,1,1,L66,2,1,673,NONE,-1,-1,-1,348
94,1,1,L2,338,1,633,NONE,-1,-1,-1,492
94,1,32,L1,1,2,666,NONE,-1,-1,-1,757
94,1,32,L10,1,2,666,NONE,-1,-1,-1,757
94,1,32,L14,1,2,666,NONE,-1,-1,-1,757
94,1,32,L16,1,2,666,NONE,-1,-1,-1,757
94,1,32,L2,1,2,666,NONE,-1,-1,-1,757
94,1,32,L3,1,2,666,NONE,-1,-1,-1,757
94,1,32,L4,1,2,666,NONE,-1,-1,-1,757
94,1,32,L5,1,2,666,NONE,-1,-1,-1,757
94,1,32,L66,1,2,666,NONE,-1,-1,-1,757
94,1,32,L15,215,2,712,NONE,-1,-1,-1,712
94,1,362,L2,32,2,1078,NONE,-1,-1,-1,1143
94,1,376,L6,2,1,1302,NONE,-1,-1,-1,885
94,2,2,L11,33,1,1547,L12,32,1,1873,1427
94,2,2,L11,33,1,1547,L17,32,2,559,1427
94,2,2,L12,18,2,2384,L11,32,2,2724,1230
94,2,2,L17,18,1,2446,L11,32,2,2724,1230
94,2,2,L12,33,2,1547,L17,32,2,559,1427
94,2,32,L11,85,2,2375,L12,2,2,2129,1175
94,2,32,L11,87,2,5281,L12,2,2,3817,1236
94,2,32,L11,89,2,6116,L12,2,2,6351,1419
94,2,32,L11,91,2,6842,L12,2,2,7152,1299
94,2,32,L11,93,2,7263,L12,2,2,7152,1704
94,2,32,L11,85,2,2375,L20,380,2,1619,1440
94,2,32,L11,87,2,5281,L20,380,2,3307,1501
94,2,32,L11,89,2,6116,L20,380,2,5841,1684
94,2,32,L11,91,2,6842,L20,380,2,6642,1564
94,2,32,L11,93,2,7263,L20,380,2,7259,1351
94,2,32,L11,96,2,8584,L20,380,2,9315,1800
94,2,32,L11,98,2,9261,L20,380,2,9315,1451
94,2,32,L11,100,2,9752,L20,380,2,9021,1977
94,2,32,L12,85,1,2375,L20,380,2,1619,1440
94,2,32,L12,87,1,5281,L20,380,2,3307,1501
94,2,32,L12,89,1,6116,L20,380,2,5841,1684
94,2,32,L12,91,1,6930,L20,380,2,6642,1564
94,2,32,L12,119,1,7513,L20,380,2,7873,1873
94,2,32,L11,88,2,5705,L33,506,2,4102,1231
94,2,32,L11,90,2,6521,L33,506,2,4926,1592
94,2,32,L11,92,2,7168,L33,506,2,5336,1557
94,2,32,L11,94,2,8108,L33,506,2,5336,1806
94,2,32,L12,88,1,5705,L33,506,2,4102,1231
94,2,32,L12,90,1,6521,L33,506,2,4926,1592
94,2,32,L12,118,1,7240,L33,506,2,5768,1653
94,2,32,L12,120,1,8053,L33,506,2,6357,1207
94,2,32,L12,122,1,8897,L33,506,2,7327,1248
94,2,32,L12,124,1,10043,L33,506,2,8360,1270
94,2,376,L20,330,1,8980,L11,2,1,9422,1161
94,2,376,L20,93,1,7001,L11,2,1,7834,1022
94,2,376,L20,92,1,6785,L11,2,1,7514,885
94,2,376,L20,90,1,6138,L11,2,1,6742,1282
94,2,376,L20,88,1,5322,L11,2,1,5918,921
94,2,376,L20,86,1,2780,L11,2,1,2929,985
94,2,376,L20,326,1,7654,L12,2,2,8173,1796
94,2,376,L20,92,1,6785,L12,2,2,7584,1269
94,2,376,L20,90,1,6138,L12,2,2,6742,1282
94,2,376,L20,88,1,5322,L12,2,2,5918,921
94,2,376,L20,86,1,2780,L12,2,2,2929,985
94,2,376,L20,325,1,7360,L12,2,2,7584,1813
94,2,376,L20,88,1,5322,L33,506,2,4102,1101
94,2,376,L20,90,1,6138,L33,506,2,4926,1462
94,2,376,L20,92,1,6785,L33,506,2,5336,1427
94,2,376,L20,325,1,7360,L33,506,2,5768,1993
94,2,376,L20,326,1,7654,L33,506,2,6357,1976
94,2,380,L20,382,2,1585,L25,506,2,1027,1086
94,2,380,L20,382,2,1585,251,506,2,1027,1086
94,2,380,L20,384,2,3862,L25,506,2,2406,1126
94,2,380,L20,384,2,3862,251,506,2,2406,1126
94,2,506,L33,91,1,5793,L11,2,1,7834,1398
94,2,506,L33,90,1,5384,L11,2,1,6742,1183
94,2,506,L33,88,1,4568,L11,2,1,5918,822
94,2,506,L33,998,1,9711,L12,2,2,11035,1264
94,2,506,L33,124,1,8809,L12,2,2,10176,861
94,2,506,L33,122,1,7760,L12,2,2,9143,839
94,2,506,L33,120,1,6916,L12,2,2,8173,798
94,2,506,L33,118,1,6103,L12,2,2,7584,1244
94,2,506,L33,90,1,5384,L12,2,2,6742,1183
94,2,506,L33,88,1,4568,L12,2,2,5918,822
94,2,506,L24,507,1,1949,L20,376,1,1859,1609
94,2,506,L25,543,1,3272,L20,376,1,3217,1140
94,2,506,L25,382,1,1670,L20,376,1,1859,1100
94,2,506,L33,507,1,1483,L20,376,1,1859,1609
94,2,506,L35,507,1,1949,L20,376,1,1859,1609
94,2,506,L45,507,1,1949,L20,376,1,1859,1609
94,2,506,251,543,1,3272,L20,376,1,3217,1140
94,2,506,251,382,1,1670,L20,376,1,1859,1100
94,2,506,L33,120,1,6916,L20,380,2,7873,1917
94,2,506,L33,118,1,6103,L20,380,2,7581,1946
94,2,506,L33,91,1,5793,L20,380,2,7004,1372
94,2,506,L33,90,1,5384,L20,380,2,6232,1448
94,2,506,L33,88,1,4568,L20,380,2,5408,1087
94,2,506,L24,508,1,3959,L35,506,2,1953,966
94,2,506,L24,508,1,3959,L45,506,2,1953,966
94,2,506,L24,510,1,5735,L35,506,2,4971,1028
94,2,506,L24,510,1,5735,L45,506,2,4971,1028
94,2,506,L24,512,1,8115,L45,506,2,6111,1037
94,2,506,L24,512,1,8115,L35,506,2,6172,1261
94,2,506,L24,514,1,10255,L45,506,2,9288,1203
94,2,506,L24,516,1,45361,L45,506,2,43831,1117
94,2,506,L24,518,1,47325,L45,506,2,47184,1108
94,2,506,L24,520,1,49137,L45,506,2,49519,1076
94,2,506,L25,382,1,1670,251,506,2,1027,1001
