ind,type,startbs,bl,endbs,dir,dist,walk
91,2,1,L1,5,1,2596,5661
91,2,2,L11,18,1,1547,4844
91,2,1,L5,741,1,10693,10671
91,2,2,L12,144,2,6887,7234
91,2,2,L17,262,1,4163,3152
91,2,32,L6,387,2,5598,4373
91,2,1,L4,18,1,2406,4587
91,2,2,L17,18,1,2446,4844
91,2,1,L66,18,1,2838,4587
91,3,18,L9,1694,1,6278,2678
91,2,1,L1,17,1,7730,4511
91,2,1,L4,1328,1,3960,4879
91,3,388,L9,1677,2,4235,5079
91,2,32,L6,386,2,5320,4154
91,3,1692,L7,1694,2,1408,3822
91,2,380,L20,387,2,4819,3725
91,2,2,L12,18,2,2384,4844
91,2,215,L15,18,1,4481,4541
91,3,388,L9,1678,2,4540,4642
91,2,376,L6,18,1,3674,4157
91,2,380,L20,386,2,4541,3506
91,2,1,L2,345,1,2713,2477
91,2,1,L3,953,1,7051,8379
91,2,1,L14,18,1,2839,4587
91,2,1,L5,18,1,2838,4587
91,2,1,L16,18,1,3045,4587
91,2,1,L10,18,1,2838,4587
91,2,376,L6,1646,1,7891,7848
91,3,1692,L7,1695,2,2460,3433
91,2,1,L3,18,1,3045,4587
91,3,18,L9,1695,1,7330,2289
91,2,1,L19,18,1,3046,4587
91,3,1674,L7,1677,1,3912,4719
91,3,1674,L7,1678,1,4217,4282
91,2,1,L10,44,1,8256,10353
102,3,105,L12,32,1,10485,9025
102,2,1678,L9,34,2,7157,2131
102,2,1678,L7,1681,1,2604,3262
102,2,1678,L9,180,2,6656,2325
102,3,767,L5,1,2,10372,9797
102,3,16,L15,215,2,5738,3661
102,3,58,L10,1,2,7246,8291
102,2,1678,L9,322,2,5809,2479
102,2,1678,L9,1647,2,11888,5905
102,3,1342,L4,32,2,5075,3819
102,2,1678,L9,36,2,8270,2982
102,2,1678,L7,171,1,9965,7681
102,3,214,L14,1,2,6511,7987
102,3,214,L14,32,2,6511,8654
102,3,29,L16,1,2,3431,4885
102,2,1678,L9,41,2,10878,5852
102,2,1678,L9,40,2,10374,5456
102,2,1678,L9,188,2,13825,7906
102,3,29,L16,32,2,3431,5552
102,3,59,L66,1,2,6536,8012
102,3,983,L3,1,2,6769,7304
102,3,58,L10,32,2,7246,8958
102,3,16,L15,32,2,5738,4373
102,2,1678,L9,1681,2,2604,3262
102,2,1678,L9,321,2,5273,2769
102,3,59,L66,32,2,6536,8679
102,3,767,L5,32,2,10372,10464
102,2,1678,L7,1342,1,3335,4716
102,3,29,L1,1,2,2722,4885
102,2,1678,L9,1342,2,3335,4716
102,3,987,L6,32,2,5414,5961
102,3,29,L1,32,2,2722,5552
102,3,983,L3,32,2,6769,7971
102,3,1342,L4,1,2,5075,3152
102,3,294,L17,32,2,3768,2687
102,2,347,L2,351,1,1175,3883
222,1,1678,L9,1680,2,1302,504
222,1,347,L2,349,1,969,1185
222,1,1678,L7,1680,1,1302,504
410,2,1,L1,5,1,2596,4385
410,2,2,L17,18,1,2446,3600
410,3,1674,L7,1682,1,6950,4219
410,2,1,L10,44,1,8256,8899
410,3,388,L9,1342,2,7570,4202
410,2,1,L19,18,1,3046,3343
410,2,1,L1,17,1,7730,3236
410,3,111,L7,1331,2,5074,6041
410,2,1,L3,953,1,7051,6925
410,3,111,L7,1330,2,4669,6366
410,2,1,L14,18,1,2839,3343
410,2,32,L6,386,2,5320,7623
410,2,2,L11,18,1,1547,3600
410,2,32,L6,387,2,5598,7842
410,2,2,L12,18,2,2384,3600
410,2,1,L16,18,1,3045,3343
410,2,1,L3,18,1,3045,3343
410,2,1,L5,741,1,10693,9218
410,2,1,L10,18,1,2838,3343
410,2,1,L2,345,1,2713,2999
410,3,388,L9,1343,2,7959,4499
410,2,1,L66,18,1,2838,3343
410,3,18,L9,1330,1,2812,2614
410,2,380,L20,386,2,4541,6975
410,2,1,L5,18,1,2838,3343
410,2,215,L15,18,1,4481,3297
410,2,2,L17,262,1,4163,2349
410,2,380,L20,387,2,4819,7194
410,2,2,L12,144,2,6887,4106
410,3,1674,L7,1342,1,7247,3842
410,3,18,L9,1331,1,3217,2289
410,1,1,L4,1331,1,4846,529
410,3,18,L9,1690,1,4521,2694
410,3,1674,L7,1343,1,7636,4139
410,2,376,L6,1646,1,7891,6395
410,3,388,L9,1682,2,7273,4579
410,3,111,L7,1690,2,6378,6446
410,2,376,L6,18,1,3674,2913
557,1,1677,L7,1343,1,4186,905
557,1,1677,L9,1343,2,4186,905
581,3,18,L15,19,1,6685,4259
581,3,18,L12,20,2,1538,4059
581,3,58,L13,19,1,6193,8837
581,3,172,L13,15,2,8325,9033
581,3,16,L15,14,2,1343,5106
581,3,5,L1,16,1,5218,5530
581,3,105,L12,15,1,6833,9266
581,3,18,L15,20,1,4419,4059
581,2,1677,L7,145,1,8901,3664
581,2,1677,L9,41,2,11340,4982
581,3,5,L1,14,1,4472,6187
581,3,16,L15,15,2,824,4615
581,2,1677,L7,171,1,10427,4731
581,3,18,L12,19,2,1037,4259
581,3,5,L1,15,1,4805,5696
581,2,1677,L9,322,2,6271,938
581,3,58,L13,20,1,6694,8637
581,3,1268,L38,16,2,4434,7187
581,3,105,L12,14,1,6500,9757
581,3,1268,L38,15,2,4021,7353
581,3,1268,L38,14,2,3688,7844
581,3,172,L13,16,2,8738,8867
581,3,105,L12,16,1,7246,9100
581,2,1677,L9,180,2,7118,1024
581,3,172,L13,14,2,7992,9524
581,2,1677,L9,34,2,7619,1621
591,3,294,L261,296,2,1636,1975
591,2,1678,L7,171,1,9965,5565
591,3,1342,L4,322,2,2999,3738
591,3,294,L26,297,2,1923,2331
591,3,294,L262,297,2,1923,2331
591,3,294,L17,297,2,2358,2331
591,3,294,L262,296,2,1636,1975
591,3,172,L18,321,2,6445,8665
591,3,111,L36,322,2,3547,6696
591,3,111,L36,321,2,3201,6651
591,3,294,L17,296,2,1636,1975
591,2,1678,L7,1342,1,3335,2413
591,2,1678,L7,1681,1,2604,1544
591,2,1678,L7,144,1,8019,3568
591,3,1342,L4,321,2,2235,3693
591,2,347,L2,351,1,1175,2249
591,3,172,L18,322,2,6981,8710
591,3,294,L261,297,2,1923,2331
591,3,294,L26,296,2,1636,1975
591,1,1678,L9,321,2,5273,664
614,2,1,L14,18,1,2839,837
614,2,1,L16,18,1,3045,837
614,1,2,L12,19,2,2584,257
614,2,1,L4,18,1,2406,837
614,2,1,L4,1328,1,3960,1456
614,2,1,L14,189,1,6937,4666
614,3,18,L13,19,1,1037,1806
614,2,2,L6,18,1,2788,1094
614,2,1,L3,5,1,3429,1475
614,1,1,L1,15,1,7017,362
614,2,1,L5,407,1,7215,5283
614,2,1,L5,741,1,10693,6288
614,2,2,L6,5,1,3172,1732
614,2,1,L66,1658,1,7219,5088
614,3,1680,L9,321,2,4241,3494
614,3,1508,L441,19,1,1276,2067
614,2,1,L16,5,1,3429,1475
614,3,18,L38,19,1,1037,1806
614,2,1,L19,336,1,5540,1915
614,2,1,L3,18,1,3045,837
614,1,215,L15,19,1,8537,45
614,2,2,L17,262,1,4163,2468
614,2,1,L19,18,1,3046,837
614,2,1,L2,345,1,2713,3056
614,2,2,L17,18,1,2446,1094
614,2,2,L11,18,1,1547,1094
614,3,18,L13,20,1,1538,2006
614,2,380,L20,387,2,4819,8070
614,2,32,L6,387,2,5598,8122
614,3,320,L36,321,2,873,3855
614,3,1508,L44,19,1,775,2067
614,2,1,L5,18,1,2838,837
614,2,1,L10,18,1,2838,837
614,2,1,L66,18,1,2838,837
614,3,320,L18,321,2,873,3855
614,3,1508,L44,20,1,1276,2267
614,3,18,L38,20,1,1538,2006
635,3,18,L3,948,1,2607,4058
635,2,1677,L9,1647,2,12350,4079
635,3,18,L6,7,1,2820,4286
635,2,1677,L9,38,2,9724,3142
635,3,987,L6,28,2,1329,6171
635,3,983,L3,987,2,2621,8262
635,3,62,L30,990,2,4285,7069
635,2,1677,L9,180,2,7118,2794
635,3,5,L1,7,1,1452,5360
635,3,983,L3,28,2,3338,8182
635,3,18,L6,6,1,2075,4507
635,3,983,L3,988,2,3138,7853
635,3,18,L6,949,1,3663,4591
635,2,1677,L9,34,2,7619,2086
635,3,18,L16,6,1,2411,4507
635,3,18,L16,222,1,2901,4584
635,3,5,L1,6,1,834,5581
635,3,62,L30,996,2,5326,7413
635,2,1677,L9,36,2,8732,1890
635,3,18,L3,6,1,2074,4507
635,3,18,L3,949,1,3450,4591
635,3,987,L6,988,2,1129,5842
744,3,16,L15,215,2,5738,4355
744,2,1677,L9,322,2,6271,2098
744,3,767,L5,32,2,10372,10552
744,2,1677,L7,1342,1,3797,4334
744,2,1677,L7,171,1,10427,7299
744,2,1677,L9,41,2,11340,5471
744,3,105,L12,32,1,10485,9112
744,3,16,L15,32,2,5738,4461
744,3,294,L17,32,2,3768,2775
744,2,1677,L9,180,2,7118,1943
744,3,59,L66,1,2,6536,8614
744,3,1342,L4,1,2,5075,3755
744,3,214,L14,32,2,6511,8741
744,2,1677,L9,1647,2,12350,5523
744,2,1677,L9,40,2,10836,5075
744,3,1342,L4,32,2,5075,3907
744,2,1677,L9,36,2,8732,2600
744,2,1677,L9,1681,2,3066,3167
744,3,767,L5,1,2,10372,10400
