cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
240,65115,21,26,1,L21,2,9005,1231,0,2190
240,96259,26,27,1,L21,1,7639,34,280,2100
300,95739,26,26,1,L11,1,617,798,200,150
300,93167,26,21,1,L21,1,7316,325,1170,1760
360,45006,10,9,2,L38,1,3130,3866,360,420
360,45006,18,5,3,L7,2,4975,1922,30,1720
360,602,1,6,1,L15,1,8537,582,180,1980
360,76249,23,12,1,L27,2,7080,45,50,2140
360,25206,6,23,1,L10,1,9339,1613,130,2700
360,73492,24,7,1,L5,2,8270,1774,80,2910
420,90800,25,6,1,L11,1,11257,859,250,3410
420,22830,4,26,1,L20,1,7528,95,1180,2010
420,20681,4,1,2,L20,1,1458,4507,1180,300
420,20681,1,5,3,L4,1,3960,1605,370,1360
420,44179,10,9,2,L38,1,4615,5322,500,880
420,44179,18,2,3,L7,2,7033,3417,30,2460
420,63070,22,11,2,L30,1,3975,2916,90,770
420,63070,1,10,3,L1,1,4431,6484,90,610
420,92490,26,7,2,L18,1,8509,1618,30,2400
420,92490,11,11,3,L30,2,4130,8633,0,930
420,3204,1,6,1,L19,1,5540,766,50,1730
480,80142,24,7,2,BRT1,2,6742,2989,230,1370
480,80142,7,4,3,L6,2,3166,6697,970,1650
480,5721,1,22,1,L16,1,8001,1712,0,2490
480,98803,27,7,2,L14,2,6253,4939,130,2200
480,98803,1,22,3,L16,1,8001,8375,490,1470
480,3539,1,2,2,L9,2,2604,7656,50,500
480,3539,16,16,3,L17,1,7998,2240,340,1640
480,69894,22,21,1,L3,2,2876,858,2910,940
480,95702,26,26,1,L21,1,1974,49,210,670
480,64522,21,11,2,L6,2,3690,6135,100,1280
480,64522,7,24,3,L66,1,6585,4230,240,2260
480,26143,7,6,1,L6,1,3404,1198,10,1050
540,46204,10,26,1,L18,2,13493,1384,300,3960
540,4577,1,21,1,L10,1,8256,614,120,2980
540,3783,1,22,1,L16,1,6882,1518,300,2270
540,83053,24,24,1,L5,2,814,1352,20,200
540,13771,2,3,2,L2,2,2404,6226,390,1950
540,13771,1,22,3,L16,1,7340,2822,360,2420
540,20598,4,7,1,L6,1,1829,400,40,440
540,44976,9,9,1,L18,1,2673,750,220,870
540,65093,21,26,1,L21,2,6808,794,90,1610
540,99436,27,26,1,L21,2,4227,1110,3140,960
540,11863,2,6,2,L262,2,1237,3050,980,500
540,11863,6,10,3,L441,1,2839,1857,210,690
540,29270,8,8,1,L20,1,1808,270,270,320
600,59545,21,2,1,L9,1,11213,567,480,4330
600,25846,7,2,1,L9,1,6996,815,2760,2650
600,21956,4,1,2,L20,1,1458,7889,580,300
600,21956,1,22,3,L16,1,8211,1243,620,2740
600,49696,11,22,2,L3,1,2957,1618,180,980
600,49696,22,22,3,L16,1,1329,2396,360,320
600,60569,21,21,2,L21,1,1611,6233,150,380
600,60569,21,10,3,L9,1,6824,1537,100,2550
600,71572,24,27,2,BRT1,2,3167,8398,230,490
600,71572,6,2,3,L9,1,5889,7207,790,4130
600,95220,25,25,1,L18,2,925,118,5320,420
600,82227,24,27,2,L66,2,1444,1318,80,580
600,82227,27,21,3,L21,1,1618,1074,440,470
600,30341,8,5,1,L7,1,4918,211,70,1610
600,52604,2,1,1,L9,1,2809,1538,10,490
600,55347,18,2,2,L7,2,7033,4751,70,2600
600,55347,6,16,3,L17,1,6832,4147,1050,1000
660,66207,21,21,1,L9,1,2224,1061,400,810
