cycle,waiting1st,waiting2nd,onboard,arrived
0,0,0,0,0
60,7,0,13,0
120,15,2,23,0
180,16,2,42,0
240,18,12,48,2
300,24,12,60,4
360,30,11,70,9
420,37,16,92,16
480,36,26,116,24
540,35,41,132,35
600,48,50,140,46
660,60,47,156,62
720,54,57,174,81
780,57,47,245,100
840,69,57,276,130
900,86,67,295,167
960,83,64,361,190
1020,85,72,390,234
1080,93,77,422,272
1140,100,95,429,323
1200,110,97,445,378
1260,105,108,457,443
1320,99,89,513,495
1380,107,125,459,588
1440,105,115,473,669
1500,76,130,465,732
1560,78,132,425,809
1620,66,121,423,875
1680,64,137,403,922
1740,52,108,424,983
1800,55,81,413,1059
1860,64,75,392,1118
1920,74,76,354,1186
1980,73,69,342,1247
2040,79,65,336,1292
2100,86,57,337,1333
2160,82,60,340,1372
2220,106,55,354,1422
2280,122,73,329,1496
2340,137,79,356,1531
2400,130,67,411,1578
2460,118,87,431,1633
2520,119,122,437,1674
2580,129,122,460,1724
2640,122,120,487,1789
2700,114,118,512,1857
2760,130,139,501,1914
2820,147,159,476,1985
2880,145,139,505,2061
2940,130,168,442,2151
3000,98,163,460,2211
3060,79,163,445,2286
3120,69,164,427,2354
3180,79,158,409,2409
3240,83,137,406,2470
3300,92,142,372,2531
3360,78,148,352,2600
3420,72,136,335,2676
3480,67,106,366,2721
3540,73,97,367,2764
3600,93,87,362,2800
3660,94,78,365,2846
3720,87,78,363,2896
3780,90,77,339,2959
3840,94,75,322,3015
3900,87,77,297,3086
3960,81,85,293,3129
4020,85,95,282,3167
4080,92,93,266,3219
4140,90,119,247,3255
4200,89,95,282,3286
4260,84,84,295,3330
4320,78,87,292,3377
4380,106,86,303,3422
4440,105,108,338,3449
4500,112,113,355,3503
4560,140,122,358,3546
4620,152,108,395,3594
4680,147,116,418,3651
4740,145,119,403,3706
4800,141,131,386,3756
4860,132,146,376,3801
4920,106,146,398,3846
4980,93,161,375,3908
5040,86,130,395,3967
5100,82,127,370,4019
5160,77,113,363,4065
5220,63,94,354,4127
5280,63,82,340,4173
5340,60,79,317,4222
5400,60,82,296,4260
5460,60,72,281,4305
5520,65,65,231,4377
5580,60,84,204,4410
5640,61,88,166,4463
5700,61,90,144,4503
5760,65,89,138,4526
5820,75,89,134,4540
5880,72,75,150,4561
5940,62,66,166,4584
6000,63,66,165,4604
6060,68,63,159,4628
6120,70,69,151,4648
6180,62,61,150,4665
6240,57,66,124,4691
6300,51,64,111,4712
6360,45,69,88,4736
6420,38,63,84,4753
6480,37,59,69,4773
