cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
0,1,1,0,0.0,0.0,0.0
0,4,0,0,0.0,0.0,0.0
0,3,0,0,0.0,0.0,0.0
0,2,3,0,0.0,0.0,0.0
0,5,0,0,0.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0
0,7,1,0,0.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0
0,11,1,0,0.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0
0,22,0,0,0.0,0.0,0.0
0,21,1,0,0.0,0.0,0.0
0,27,1,0,0.0,0.0,0.0
0,24,2,0,0.0,0.0,0.0
0,23,2,0,0.0,0.0,0.0
0,13,0,0,0.0,0.0,0.0
0,9,0,0,0.0,0.0,0.0
0,17,0,0,0.0,0.0,0.0
0,8,2,0,0.0,0.0,0.0
0,14,0,0,0.0,0.0,0.0
0,20,0,0,0.0,0.0,0.0
0,26,4,0,0.0,0.0,0.0
0,25,0,0,0.0,0.0,0.0
0,18,0,0,0.0,0.0,0.0
0,19,0,0,0.0,0.0,0.0
0,16,1,0,0.0,0.0,0.0
0,15,0,0,0.0,0.0,0.0
60,1,2,300,444.99999999999994,0.0,0.0
60,4,3,600,70.0,0.0,0.0
60,3,0,0,83.33333333333336,0.0,0.0
60,2,2,300,100.0,20.0,0.0
60,5,0,0,0.0,0.0,0.0
60,6,1,600,620.0000000000001,0.0,300.0
60,7,1,0,1463.3333333333355,0.0,90.0
60,12,0,0,45.0,0.0,0.0
60,11,0,0,20.0,10.0,30.0
60,10,2,600,164.99999999999997,10.0,90.0
60,22,2,600,0.0,0.0,0.0
60,21,3,600,76.66666666666666,10.0,0.0
60,27,0,0,40.0,10.0,0.0
60,24,0,0,0.0,30.0,0.0
60,23,3,600,75.0,10.0,0.0
60,13,0,0,58.33333333333332,0.0,0.0
60,9,0,0,35.0,0.0,0.0
60,17,0,0,0.0,0.0,0.0
60,8,3,400,391.6666666666668,10.0,0.0
60,14,0,0,30.0,0.0,0.0
60,20,0,0,75.0,0.0,0.0
60,26,3,200,85.0,10.0,0.0
60,25,0,0,65.0,10.0,0.0
60,18,0,0,254.99999999999994,0.0,30.0
60,19,1,600,10.0,0.0,0.0
60,16,1,0,0.0,0.0,0.0
60,15,0,0,0.0,0.0,0.0
120,1,4,750,555.0,0.0,0.0
120,4,4,750,70.0,0.0,0.0
120,3,1,1200,425.00000000000006,0.0,0.0
120,2,3,600,175.0,20.0,0.0
120,5,0,0,30.0,0.0,0.0
120,6,0,0,961.6666666666662,10.0,480.0
120,7,1,0,2243.3333333333358,0.0,180.0
120,12,0,0,480.0000000000002,0.0,0.0
120,11,0,0,98.33333333333334,10.0,60.0
120,10,0,0,605.0,30.0,210.0
120,22,2,600,45.0,0.0,0.0
120,21,2,1200,323.33333333333337,40.0,0.0
120,27,3,1116,130.0,15.0,0.0
120,24,0,0,26.666666666666664,30.0,0.0
120,23,2,1200,174.99999999999994,40.0,0.0
120,13,0,0,133.33333333333334,0.0,0.0
120,9,0,0,35.0,0.0,0.0
120,17,0,0,0.0,0.0,0.0
120,8,6,1000,729.9999999999994,20.0,0.0
120,14,0,0,110.0,0.0,0.0
120,20,0,0,235.0,0.0,0.0
120,26,2,600,275.0,20.0,0.0
120,25,0,0,169.99999999999997,20.0,0.0
120,18,1,1200,456.6666666666668,0.0,90.0
120,19,3,1000,45.0,0.0,0.0
120,16,3,760,430.0000000000001,5.0,90.0
120,15,0,0,26.666666666666664,0.0,0.0
180,1,4,1800,625.0,30.0,0.0
180,4,1,1800,85.0,40.0,0.0
180,3,1,1800,864.9999999999994,10.0,0.0
180,2,4,900,210.0,20.0,0.0
180,5,0,0,70.0,0.0,0.0
180,6,0,0,1510.0000000000018,10.0,630.0
180,7,2,915,3193.333333333326,15.0,270.0
180,12,0,0,943.3333333333319,0.0,0.0
180,11,1,1800,276.66666666666663,10.0,120.0
180,10,1,1800,803.3333333333328,50.0,270.0
180,22,1,600,75.0,20.0,0.0
180,21,4,1500,511.66666666666697,60.0,0.0
180,27,3,1400,444.16666666666674,20.0,0.0
180,24,3,1800,41.666666666666664,30.0,0.0
180,23,1,1800,214.99999999999994,60.0,0.0
180,13,0,0,254.99999999999991,0.0,0.0
180,9,1,1800,120.0,10.0,0.0
180,17,0,0,0.0,0.0,0.0
180,8,5,1080,1039.999999999998,40.0,0.0
180,14,0,0,125.0,0.0,0.0
180,20,0,0,467.5,0.0,0.0
180,26,2,900,440.0,30.0,0.0
180,25,0,0,244.99999999999997,20.0,0.0
180,18,0,0,495.00000000000017,10.0,120.0
180,19,2,900,105.0,0.0,30.0
180,16,2,1440,616.666666666667,25.0,180.0
180,15,0,0,209.99999999999997,0.0,0.0
240,1,7,2428,830.0,85.0,30.0
240,4,1,1800,133.33333333333334,40.0,0.0
240,3,6,2405,1051.6666666666656,20.0,0.0
240,2,2,2400,315.0,65.0,0.0
240,5,0,0,70.0,0.0,0.0
240,6,1,2220,2093.333333333337,15.0,930.0
240,7,3,1430,4188.333333333321,20.0,330.0
240,12,0,0,1768.3333333333358,10.0,0.0
240,11,1,2400,361.66666666666663,25.0,150.0
240,10,3,2473,1435.0000000000014,55.0,450.0
240,22,2,1500,95.0,20.0,0.0
240,21,7,2117,684.9999999999995,90.0,0.0
240,27,3,1800,810.8333333333328,55.0,30.0
240,24,1,2400,116.66666666666667,30.0,10.0
240,23,3,2200,378.3333333333335,70.0,0.0
240,13,0,0,498.33333333333366,0.0,60.0
240,9,1,1800,220.0,20.0,0.0
240,17,0,0,0.0,0.0,0.0
240,8,3,800,1188.3333333333328,60.0,0.0
240,14,0,0,160.0,0.0,0.0
240,20,0,0,890.0,0.0,0.0
240,26,3,1600,665.0,45.0,0.0
240,25,0,0,325.0,20.0,0.0
240,18,0,0,505.00000000000017,10.0,120.0
240,19,2,900,269.16666666666663,0.0,30.0
240,16,1,1800,731.666666666667,25.0,180.0
240,15,0,0,209.99999999999997,0.0,0.0
300,1,4,2320,1119.9999999999998,135.0,60.0
300,4,0,0,180.0,50.0,0.0
300,3,5,2340,1051.6666666666656,20.0,0.0
300,2,1,3000,410.00000000000006,75.0,30.0
300,5,1,3000,225.0,0.0,30.0
300,6,2,3475,2726.6666666666642,50.0,1260.0
300,7,0,0,5511.66666666668,40.0,450.0
300,12,0,0,3024.999999999988,20.0,30.0
300,11,1,2400,401.66666666666663,25.0,210.0
300,10,1,2400,2098.3333333333385,75.0,450.0
300,22,2,1500,155.0,30.0,0.0
300,21,8,2462,898.3333333333321,135.0,0.0
300,27,4,2072,957.4999999999994,60.0,30.0
300,24,3,2800,123.33333333333334,30.0,10.0
300,23,7,2637,496.66666666666697,95.0,0.0
300,13,0,0,773.3333333333326,0.0,120.0
300,9,2,2400,300.0,20.0,0.0
300,17,0,0,0.0,0.0,0.0
300,8,6,1900,1445.000000000002,60.0,0.0
300,14,0,0,165.0,0.0,0.0
300,20,0,0,1405.0,0.0,0.0
300,26,5,2400,830.0,70.0,0.0
300,25,2,3000,390.0,20.0,0.0
300,18,0,0,538.3333333333334,10.0,120.0
300,19,1,600,357.50000000000006,10.0,60.0
300,16,1,2930,1016.6666666666663,50.0,180.0
300,15,0,0,310.00000000000006,0.0,0.0
360,1,5,2696,1334.9999999999998,135.0,180.0
360,4,0,0,278.3333333333333,50.0,0.0
360,3,5,2940,1148.3333333333328,30.0,0.0
360,2,3,3400,460.00000000000006,75.0,30.0
360,5,1,3600,435.0,25.0,60.0
360,6,3,3640,3454.9999999999895,70.0,1530.0
360,7,2,4280,7175.00000000004,75.0,630.0
360,12,0,0,3563.3333333333126,35.0,30.0
360,11,5,3360,520.0,30.0,210.0
360,10,3,4053,2826.6666666666592,80.0,720.0
360,22,2,3000,175.0,70.0,60.0
360,21,8,2925,1164.9999999999995,175.0,0.0
360,27,4,2250,1236.6666666666665,60.0,60.0
360,24,4,3150,153.33333333333334,40.0,10.0
360,23,7,3135,616.666666666667,100.0,0.0
360,13,0,0,1056.6666666666652,0.0,180.0
360,9,6,3200,370.0,20.0,0.0
360,17,0,0,0.0,0.0,0.0
360,8,10,2640,1633.3333333333374,70.0,0.0
360,14,0,0,240.0,0.0,0.0
360,20,0,0,1735.0000000000007,10.0,60.0
360,26,8,3057,1010.0,100.0,0.0
360,25,1,3600,540.0,40.0,0.0
360,18,1,3600,651.6666666666661,10.0,180.0
360,19,1,600,387.50000000000006,10.0,60.0
360,16,3,3376,1056.6666666666663,50.0,210.0
360,15,0,0,401.66666666666686,0.0,0.0
420,1,10,3725,1830.0000000000002,170.0,360.0
420,4,1,4200,323.3333333333333,50.0,0.0
420,3,2,3000,1436.6666666666679,50.0,0.0
420,2,5,4028,604.9999999999999,105.0,30.0
420,5,2,4145,505.0,35.0,60.0
420,6,5,3682,4400.833333333319,115.0,1860.0
420,7,0,0,8545.000000000042,115.0,750.0
420,12,0,0,4188.3333333333085,35.0,30.0
420,11,3,3200,678.3333333333331,55.0,240.0
420,10,5,4112,3493.333333333317,85.0,870.0
420,22,3,4200,220.0,90.0,90.0
420,21,8,3225,1288.3333333333337,205.0,0.0
420,27,3,2200,1498.333333333334,70.0,60.0
420,24,5,3720,188.33333333333334,60.0,20.0
420,23,8,3886,686.666666666667,145.0,0.0
420,13,0,0,1393.3333333333342,0.0,180.0
420,9,5,3360,440.0,50.0,0.0
420,17,0,0,0.0,0.0,0.0
420,8,13,3184,1846.6666666666727,110.0,0.0
420,14,0,0,250.0,0.0,0.0
420,20,0,0,2226.6666666666674,10.0,90.0
420,26,5,2852,1260.0,135.0,0.0
420,25,3,4200,580.0,60.0,0.0
420,18,1,3600,656.6666666666661,10.0,180.0
420,19,0,0,407.50000000000006,20.0,60.0
420,16,6,3945,1283.3333333333346,70.0,240.0
420,15,1,4200,654.9999999999999,0.0,0.0
480,1,8,3831,2170.0,210.0,540.0
480,4,1,4800,475.00000000000006,65.0,0.0
480,3,1,3600,1806.6666666666679,60.0,0.0
480,2,8,4542,674.9999999999999,135.0,30.0
480,5,1,4090,660.0,45.0,60.0
480,6,6,4376,5500.000000000015,155.0,2100.0
480,7,4,4577,9964.999999999975,175.0,930.0
480,12,0,0,4871.666666666661,35.0,30.0
480,11,3,3200,718.3333333333331,65.0,300.0
480,10,7,5125,4143.333333333307,120.0,990.0
480,22,6,4523,225.0,125.0,90.0
480,21,8,5101,1496.666666666668,295.0,0.0
480,27,2,4200,1801.666666666668,95.0,90.0
480,24,1,4800,195.0,115.0,20.0
480,23,9,4305,791.6666666666666,175.0,0.0
480,13,1,4800,1608.3333333333355,0.0,180.0
480,9,3,4400,656.6666666666662,90.0,0.0
480,17,0,0,0.0,0.0,0.0
480,8,12,3950,2171.6666666666733,170.0,0.0
480,14,0,0,310.0,0.0,0.0
480,20,1,4800,2787.4999999999977,10.0,90.0
480,26,8,3582,1470.0,145.0,0.0
480,25,3,4400,580.0,80.0,0.0
480,18,1,3600,671.6666666666661,10.0,180.0
480,19,0,0,502.50000000000017,20.0,90.0
480,16,8,4158,1408.3333333333346,75.0,240.0
480,15,1,4800,963.3333333333326,10.0,0.0
540,1,14,4562,2601.6666666666656,270.0,630.0
540,4,0,0,490.00000000000006,65.0,0.0
540,3,2,5400,2053.3333333333367,70.0,0.0
540,2,12,5190,834.9999999999999,210.0,60.0
540,5,3,5000,715.0,55.0,90.0
540,6,5,4108,6254.166666666701,170.0,2400.0
540,7,3,4673,10881.666666666615,190.0,1020.0
540,12,0,0,5840.0000000000255,35.0,30.0
540,11,3,3200,873.3333333333329,65.0,330.0
540,10,6,5580,5113.333333333336,155.0,1440.0
540,22,8,4875,245.0,165.0,120.0
540,21,11,5357,1623.3333333333358,340.0,0.0
540,27,5,6148,2080.000000000002,140.0,120.0
540,24,2,5400,230.0,170.0,20.0
540,23,6,4358,811.6666666666666,195.0,0.0
540,13,1,4800,2118.333333333339,0.0,240.0
540,9,5,4920,831.6666666666656,105.0,30.0
540,17,0,0,0.0,0.0,0.0
540,8,18,5304,2513.3333333333344,295.0,0.0
540,14,0,0,390.0,0.0,0.0
540,20,1,4800,3252.4999999999955,10.0,90.0
540,26,3,4236,1655.0,180.0,0.0
540,25,4,4800,580.0,120.0,0.0
540,18,1,3600,778.3333333333325,10.0,210.0
540,19,1,5400,557.5000000000002,20.0,90.0
540,16,3,4376,1600.0000000000025,120.0,300.0
540,15,0,0,1133.3333333333335,10.0,0.0
600,1,15,4812,2959.9999999999977,330.0,720.0
600,4,0,0,599.9999999999999,65.0,0.0
600,3,3,5940,2103.3333333333367,100.0,0.0
