cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
240,2145.0,0.0,140.0,0.0
300,1550.0,0.0,412.5,0.0
360,1991.25,2140.0,261.25,390.0
420,2098.181818181818,2370.0,324.54545454545456,536.0
480,1882.0,2691.1111111111113,446.6666666666667,581.1111111111111
540,1743.3333333333333,2707.2727272727275,466.6666666666667,651.8181818181819
600,1770.344827586207,2724.705882352941,684.1379310344828,695.2941176470588
660,1913.7837837837837,2980.8,645.9459459459459,880.8
720,1940.6521739130435,3131.1428571428573,673.0434782608696,901.4285714285714
780,2269.6491228070176,3256.9767441860463,688.9473684210526,995.3488372093024
840,2320.0,3464.909090909091,687.3333333333334,1104.3636363636363
900,2304.020618556701,3422.285714285714,678.2474226804123,1063.4285714285713
960,2281.875,3376.4102564102564,676.6964285714286,1184.4871794871794
1020,2281.897810218978,3452.4742268041236,700.1459854014598,1259.278350515464
1080,2296.732026143791,3510.5882352941176,688.7581699346405,1222.689075630252
1140,2282.658959537572,3543.4666666666667,692.6011560693642,1338.8
1200,2305.78125,3697.52688172043,716.0416666666666,1479.9462365591398
1260,2325.765765765766,3692.0361990950228,747.7477477477478,1622.1719457013576
1320,2321.36,3664.4489795918366,757.2,1571.1020408163265
1380,2437.7364864864867,3803.972602739726,751.1824324324324,1466.2671232876712
1440,2522.1556886227545,3850.4776119402986,748.2335329341317,1484.3880597014925
1500,2517.7118644067796,3915.767195767196,780.7627118644068,1547.010582010582
1560,2607.4871794871797,3923.0787589498805,812.3589743589744,1577.4701670644392
1620,2628.009367681499,3943.9508928571427,834.0515222482436,1576.138392857143
1680,2641.9144144144143,3981.5690376569037,834.0765765765766,1571.1506276150628
1740,2658.8936170212764,4061.423001949318,857.468085106383,1583.0799220272904
1800,2675.4508196721313,4079.38704028021,871.0450819672132,1638.9141856392293
1860,2677.988047808765,4119.1558441558445,892.0318725099602,1688.051948051948
1920,2691.1977186311788,4162.787878787879,923.1749049429658,1728.0757575757575
1980,2683.075506445672,4214.190340909091,933.3333333333334,1757.7556818181818
2040,2700.7843137254904,4250.848153214774,918.5918003565063,1803.9124487004103
2100,2713.734729493892,4307.0526315789475,921.7975567190227,1828.4473684210527
2160,2707.3070325900517,4334.778200253485,915.2830188679245,1835.830164765526
2220,2738.1322314049585,4375.691554467564,947.4380165289256,1881.0648714810281
2280,2746.7981072555203,4442.494199535963,968.9432176656152,1962.354988399072
2340,2749.0461538461536,4464.188422247446,969.1692307692308,1981.3961407491488
2400,2747.5975975975975,4449.309210526316,981.6216216216217,1980.5592105263158
2460,2744.9927431059505,4466.525423728814,974.2525399129173,2007.3093220338983
2520,2735.248226950355,4481.434468524252,966.4255319148937,2029.3085655314758
2580,2716.0408163265306,4511.476238624874,963.5238095238095,2037.7249747219414
2640,2702.0976253298154,4538.845780795345,958.5883905013193,2036.7895247332688
2700,2703.110831234257,4548.711194731891,950.4030226700252,2019.1909689557856
2760,2693.796068796069,4589.490909090909,955.7125307125307,2009.3636363636363
2820,2715.6906729634,4596.502636203866,952.0070838252657,2003.3391915641475
2880,2708.0590238365494,4618.432203389831,955.0851305334846,1987.2881355932204
2940,2706.72131147541,4609.271844660194,955.8688524590164,1995.0242718446602
3000,2708.3795309168445,4596.142969363707,949.7014925373135,2000.7698350353496
3060,2712.0661157024792,4628.247344461305,955.154958677686,2010.0151745068285
3120,2723.262839879154,4665.892725936811,970.3222557905337,2011.6311535635562
3180,2732.935960591133,4672.532281205165,970.7192118226601,2032.0946915351506
3240,2772.0153550863724,4675.063025210084,983.0998080614204,2033.5994397759105
3300,2788.37558685446,4677.783083219645,991.0610328638497,2057.2714870395635
3360,2782.1428571428573,4683.315649867374,1001.5201465201466,2075.2519893899203
3420,2835.7960644007157,4690.333761232349,1006.2969588550984,2119.480102695764
3480,2842.4690265486724,4718.705216844752,1002.8672566371681,2130.1508485229415
3540,2842.510897994769,4710.773036487322,1005.2920662598082,2139.591836734694
3600,2856.0017271157167,4712.911084043849,1006.0103626943005,2152.5334957369064
3660,2875.012787723785,4715.337716676629,1000.8013640238704,2168.33831440526
