cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
60,95674,26,26,1,L20,2,1166,220,160,380
120,95513,26,26,1,L21,1,1342,34,0,180
120,77127,23,23,1,L13,1,1103,168,70,180
180,95898,26,26,1,L11,1,1332,0,30,380
240,17365,3,2,1,L2,1,1033,0,190,530
240,51552,12,11,1,L30,2,6709,71,490,1700
240,24832,6,7,1,L4,2,2840,1178,750,870
300,63132,21,12,1,L9,1,4217,382,1090,1670
300,9671,2,5,1,L7,1,2033,0,1530,700
300,88055,25,26,1,L18,1,3767,58,70,1020
360,76618,21,21,1,L21,1,1956,936,750,610
420,29329,8,8,1,L20,1,2844,296,80,590
420,54534,16,7,1,L17,2,7683,506,990,2140
420,79309,24,1,1,L5,2,8270,0,810,2970
420,51798,12,23,1,L10,1,7757,1047,20,2600
420,88158,25,26,1,L18,1,641,933,70,230
420,9830,2,7,1,L9,2,6351,248,1260,2190
420,53560,16,16,1,L17,2,1597,0,2400,500
420,76730,23,21,1,L9,1,2489,0,1350,960
420,9726,2,16,2,L17,1,1118,1888,650,170
420,9726,2,5,3,L7,1,1736,1532,1130,420
480,39296,9,7,2,L18,2,3970,3709,120,1000
480,39296,7,4,3,L6,2,3166,3789,800,1080
480,38833,9,2,1,L7,2,5564,844,2090,2110
480,66144,21,27,2,L13,1,2239,1245,10,760
480,66144,1,27,3,L66,1,7621,6934,220,350
480,24405,10,26,1,L18,2,9987,398,1780,2760
480,71084,22,21,1,L9,1,4159,1061,600,1560
480,23402,5,7,1,L9,2,4468,67,980,1840
480,52604,2,1,1,L7,2,2809,1538,3410,680
480,72557,21,6,2,L13,1,7446,1935,150,2810
480,72557,6,2,3,L17,1,2214,6457,90,450
480,11946,2,6,2,L17,2,1672,4205,410,330
480,11946,7,11,3,L16,1,5546,3263,210,1370
480,69366,22,11,1,L23,2,3240,0,350,780
480,9690,2,5,1,L7,1,3370,504,20,1160
540,5721,1,22,1,L3,1,9410,529,420,3180
540,53362,16,6,2,L262,2,5017,1481,1130,1580
540,53362,6,10,3,L441,1,1724,5029,70,400
540,98854,27,7,2,L14,2,5530,5916,40,1730
540,98854,1,22,3,L3,1,9589,6172,400,2250
540,39690,9,8,1,L7,2,7920,254,890,2940
540,99465,27,26,1,L21,2,5016,607,380,1100
540,69932,22,21,1,L10,2,3291,345,110,830
540,86170,25,26,2,L11,1,1894,11927,80,450
540,86170,26,10,3,L18,1,12917,2016,140,3970
540,69091,22,11,2,L30,1,5854,5057,110,1380
540,69091,7,10,3,L18,1,3596,4485,100,1250
540,25435,6,24,1,L66,1,8120,220,530,2950
540,8732,1,26,1,L20,1,7654,131,1010,1890
600,82432,24,27,1,L66,2,3924,1329,1060,1430
600,39428,9,5,2,L4,2,1866,5552,1840,620
600,39428,5,8,3,L7,2,6251,1587,200,2300
600,96231,26,27,1,L21,1,7855,322,2140,2230
600,61593,21,8,1,L6,2,13455,49,100,4920
600,92553,26,7,2,L11,1,9126,4127,30,2520
600,92553,7,11,3,L16,1,4787,8359,210,1720
600,79473,24,27,2,L66,2,4278,7589,0,1510
600,79473,27,2,3,L9,1,10335,3167,0,4170
600,8349,1,26,1,L20,1,8980,756,1010,2310
600,94503,26,21,1,L21,1,5705,461,2570,1370
600,15577,2,3,2,L2,2,2175,8009,410,1940
600,15577,1,24,3,L66,1,9313,2774,130,3330
600,3909,1,21,1,L6,1,7891,114,950,3130
600,56193,19,22,1,L16,2,2876,569,990,710
600,88973,26,7,1,L11,1,9126,590,200,2720
600,99053,27,27,2,L14,2,3513,3255,20,930
600,99053,1,23,3,L10,1,9883,8684,60,760
600,98932,27,27,2,L14,2,1484,3416,20,330
600,98932,1,23,3,L10,1,9883,6932,60,760
600,44596,10,8,1,L7,2,9247,1122,640,3530
600,53229,16,16,2,L17,2,9463,6006,320,2250
600,53229,2,8,3,L7,2,5720,9906,1440,1960
660,82885,23,21,1,L13,1,1418,1751,730,520
660,22459,4,1,2,L20,1,1458,8879,570,280
660,22459,1,24,3,L66,1,9924,1390,290,3720
660,53800,2,21,1,L9,2,10066,982,540,3730
660,11498,2,10,1,L7,1,6418,150,1220,2480
660,86796,25,21,1,L21,1,7616,325,1240,1870
660,53564,16,16,1,L26,1,3477,221,70,640
660,39706,5,8,1,L7,2,7707,794,3390,2750
660,56203,19,6,2,L441,2,8160,4657,240,2450
660,56203,6,22,3,L16,1,5078,8512,130,1590
660,18202,3,2,2,L2,1,1868,2716,360,1130
660,18202,2,5,3,L7,1,3370,1504,30,1140
660,74717,23,8,1,L9,1,15474,0,450,5820
660,915,1,8,1,L9,1,2020,319,880,590
660,17211,2,6,2,L17,2,1672,7190,2210,330
660,17211,6,27,3,L66,1,6608,2421,750,2400
660,31030,8,9,1,L7,1,12489,240,300,4820
660,16974,2,3,2,L2,2,2758,8159,140,2210
660,16974,7,26,3,L11,2,8316,3249,1810,2180
660,2657,1,7,2,L9,2,6656,3094,490,2360
660,2657,8,11,3,L6,1,13780,1634,860,1470
660,49644,11,22,1,L16,1,2198,71,40,450
720,11288,2,6,1,L17,2,950,1608,1620,240
720,20962,4,8,1,L6,2,6488,276,600,2460
720,89941,26,7,2,L18,1,9027,4018,30,2510
720,89941,7,2,3,L9,1,6313,8744,1110,2490
720,38482,9,5,2,L4,2,1219,1738,10,240
720,38482,5,2,3,L9,1,2058,895,960,730
720,93002,26,6,2,L18,1,9682,6781,280,2960
720,93002,6,22,3,L16,1,6808,8788,180,2130
720,49009,11,13,1,L30,1,7668,638,1930,1830
720,81792,24,7,2,L66,2,8775,4725,0,3360
720,81792,1,18,3,L15,1,9673,8587,1060,2400
720,66169,21,11,2,L3,2,3702,4646,560,1180
720,66169,1,27,3,L66,1,7621,6737,180,1340
720,12556,2,6,2,L262,2,1237,5966,370,310
720,12556,6,21,3,L6,1,5458,1948,630,1960
720,3049,1,6,1,L6,1,5253,550,630,2060
720,2852,7,6,1,L6,1,4367,1129,30,2060
720,97305,27,7,1,L14,2,7104,624,20,2700
720,59545,21,2,1,L9,1,11213,567,190,4330
720,89347,26,21,2,L21,1,9595,7828,290,2630
720,89347,7,2,3,L9,1,6996,7513,90,3910
720,67431,22,11,2,L30,1,5854,4875,710,1380
720,67431,7,2,3,L9,1,6478,5098,360,2670
720,12979,2,6,2,L262,2,1237,6289,370,540
