cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,380.0,0.0,160.0,0.0
120,246.66666666666666,0.0,76.66666666666667,0.0
180,280.0,0.0,65.0,0.0
240,602.8571428571429,0.0,241.42857142857142,0.0
300,761.0,0.0,438.0,0.0
360,747.2727272727273,0.0,466.3636363636364,0.0
420,1073.6842105263158,590.0,637.3684210526316,1780.0
480,1203.4615384615386,1748.0,820.7692307692307,758.0
540,1380.625,2416.6666666666665,771.25,651.1111111111111
600,1622.6829268292684,2928.125,837.560975609756,662.5
660,1768.6274509803923,3095.909090909091,847.0588235294117,840.0
720,1886.4615384615386,3247.027027027027,832.7692307692307,875.1351351351351
780,1974.1860465116279,3315.0,793.3720930232558,895.2380952380952
840,2101.2244897959185,3391.372549019608,801.734693877551,917.6470588235294
900,2192.1428571428573,3361.969696969697,779.4642857142857,1086.3636363636363
960,2147.4045801526718,3405.1428571428573,765.7251908396946,1119.0
1020,2128.150684931507,3490.2127659574467,742.8082191780821,1203.936170212766
1080,2167.777777777778,3669.5967741935483,736.2573099415205,1296.2096774193549
1140,2164.3229166666665,3623.840579710145,707.65625,1336.159420289855
1200,2179.9545454545455,3667.7976190476193,719.7272727272727,1335.952380952381
1260,2161.1290322580644,3636.467661691542,744.3548387096774,1409.1542288557214
1320,2210.783582089552,3739.5575221238937,749.6641791044776,1462.9203539823009
1380,2299.3,3825.9003831417626,736.4333333333333,1437.8927203065134
1440,2373.957055214724,3856.102236421725,765.4294478527607,1454.7284345047924
1500,2420.3107344632767,3884.1107871720114,784.8587570621469,1476.9679300291546
1560,2555.3164556962024,3903.8560411311055,821.493670886076,1520.5655526992289
1620,2614.904761904762,3912.895377128954,832.4285714285714,1530.389294403893
1680,2630.451467268623,3942.224719101124,848.1715575620767,1566.943820224719
1740,2637.4732334047108,3979.4267515923566,874.2184154175588,1570.8067940552016
1800,2639.8979591836733,4038.715415019763,902.6938775510204,1622.905138339921
1860,2719.826923076923,4100.303571428572,931.1923076923077,1690.2857142857142
1920,2733.5164835164837,4146.147540983607,944.5054945054945,1773.016393442623
1980,2762.132867132867,4198.556067588325,965.7167832167833,1805.2380952380952
2040,2754.7863247863247,4248.895434462444,967.4700854700855,1823.5346097201768
2100,2784.1638795986623,4288.478561549101,957.4414715719064,1906.4868603042878
2160,2785.0,4315.106951871658,941.6558441558442,1909.7994652406417
2220,2786.988906497623,4371.564885496183,948.6529318541997,1938.5496183206108
2280,2807.923076923077,4416.165680473373,957.3230769230769,2082.698224852071
2340,2824.026548672566,4460.688073394495,1002.9498525073747,2124.919724770642
2400,2808.8567293777132,4503.496115427303,1000.8683068017366,2175.3274139844616
2460,2807.8072625698323,4537.648936170212,1002.6256983240223,2204.053191489362
2520,2804.0871934604907,4571.525076765609,994.7547683923706,2218.0655066530194
2580,2769.6233766233768,4588.511488511488,982.4935064935065,2211.818181818182
2640,2773.819796954315,4569.054580896686,981.256345177665,2193.927875243665
2700,2765.231707317073,4593.721590909091,977.3536585365854,2186.221590909091
2760,2758.6438679245284,4590.155963302752,974.5518867924528,2180.1009174311926
2820,2758.146892655367,4584.823633156967,963.1412429378531,2164.0035273368608
