cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
300,2829,1,11,1,L16,1,5044,628,300,1790
300,82193,24,27,1,L27,2,2231,1436,60,870
300,52779,2,16,1,L2,1,1804,1224,920,690
360,32787,8,20,1,L20,1,9849,36,160,2390
360,45594,10,6,2,L4,2,1637,5514,1020,450
360,45594,6,22,3,L16,1,5078,1823,90,1690
360,64212,21,23,1,L10,1,3271,1639,490,560
360,3411,7,16,1,L17,1,13641,1464,0,3520
420,95831,26,26,1,L21,1,575,528,10,90
420,88274,25,26,1,L11,1,3261,0,60,780
420,7155,1,24,1,L66,1,10251,0,0,3850
420,43930,11,1,1,L15,2,8184,519,470,3400
420,31076,8,9,1,L7,1,7944,388,110,3180
420,30031,8,9,1,L7,1,9107,270,110,3320
420,1759,1,9,1,L7,1,5814,78,1620,2410
420,20898,4,8,1,L20,2,5233,0,1100,1160
420,20830,4,8,1,L20,2,4797,35,500,1160
420,23213,5,2,1,L7,2,3397,185,380,1280
420,68282,22,6,2,L16,2,6390,2655,50,1710
420,68282,7,10,3,L9,1,2593,5944,170,960
420,95745,26,26,1,L18,1,1166,415,190,390
480,88818,26,7,1,L11,1,7769,1108,260,2190
480,55170,18,7,1,L12,1,10923,1214,0,4480
480,95465,26,26,1,L21,1,2843,213,2740,1140
480,25290,6,21,1,L3,1,6495,1436,550,2220
540,10523,2,8,1,L7,2,3039,185,240,1040
540,38335,9,10,2,L18,2,2113,3759,120,600
540,38335,6,1,3,L4,2,2840,3018,1580,1430
540,94666,26,7,2,L18,1,6747,5692,20,1790
540,94666,7,23,3,L10,1,9626,8324,130,1800
540,99465,27,26,1,L21,2,5016,607,2280,1570
540,21345,4,11,1,L6,1,6623,0,630,2690
540,67344,22,6,2,L16,2,5359,3925,1390,1570
540,67344,7,2,3,L9,1,5795,5085,170,2120
540,53382,16,16,2,L17,2,5882,3769,670,1280
540,53382,2,10,3,L7,1,4044,6516,1210,1510
540,84041,25,7,1,L11,1,10126,339,10,2980
600,85891,26,9,1,L18,1,14621,535,180,4130
600,10474,2,8,1,L7,2,4872,455,2640,1750
600,889,1,8,1,L7,2,3464,905,200,1190
600,47188,11,6,2,L1,2,2530,4504,1530,790
600,47188,7,2,3,L9,1,6814,1954,620,2710
600,52298,15,1,1,L25,2,5322,84,140,1360
600,57197,21,1,1,L9,1,13327,78,560,5230
600,10623,2,16,2,L26,1,1118,6383,490,180
600,10623,2,8,3,L7,2,5720,1345,3170,1970
600,10020,2,16,2,L17,1,1118,5507,400,170
600,10020,2,8,3,L7,2,5720,801,2670,1970
600,5002,1,27,1,L5,1,6856,693,200,2020
600,33608,8,21,1,L6,1,11960,382,610,4640
600,65867,21,26,1,L21,2,9171,0,2760,2500
600,78451,23,27,2,L5,2,1561,6423,70,650
600,78451,21,26,3,L21,2,9561,2805,2450,2090
600,71871,23,1,1,L9,1,14895,2046,450,5480
