cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
300,1116.6666666666667,0.0,426.6666666666667,0.0
360,1636.6666666666667,2140.0,321.6666666666667,1110.0
420,1814.1176470588234,2405.0,381.1764705882353,665.0
480,1946.1904761904761,2405.0,477.6190476190476,665.0
540,1966.0,2818.3333333333335,527.6,1103.3333333333333
600,2277.9411764705883,2678.181818181818,615.5882352941177,1668.1818181818182
660,2200.9302325581393,2596.470588235294,639.0697674418604,1496.4705882352941
720,2397.5409836065573,3064.8275862068967,641.4754098360655,1287.9310344827586
780,2242.6582278481014,3277.3684210526317,686.5822784810126,1466.0526315789473
840,2209.1111111111113,3187.8260869565215,729.5555555555555,1534.5652173913043
