cycle,bl,outs,rets,outs_board,rets_board,traff,sign,psg
0,L1,6,1,0,0,0.0,0.0,0.0
0,L10,4,1,0,0,0.0,0.0,0.0
0,L11,7,1,0,0,0.0,0.0,0.0
0,L12,1,1,0,0,0.0,0.0,0.0
0,L13,4,1,0,0,0.0,0.0,0.0
0,L14,3,1,0,0,0.0,0.0,0.0
0,L15,2,1,0,0,0.0,0.0,0.0
0,L16,4,1,0,0,0.0,0.0,0.0
0,L17,2,1,0,0,0.0,0.0,0.0
0,L18,7,1,0,0,0.0,0.0,0.0
0,L19,1,1,0,0,0.0,0.0,0.0
0,L2,1,1,0,0,0.0,0.0,0.0
0,L20,5,1,0,0,0.0,0.0,0.0
0,L21,1,1,0,0,0.0,0.0,0.0
0,L22,1,1,0,0,0.0,0.0,0.0
0,L23,1,1,0,0,0.0,0.0,0.0
0,L24,1,1,0,0,0.0,0.0,0.0
0,L25,1,1,0,0,0.0,0.0,0.0
0,L26,1,1,0,0,0.0,0.0,0.0
0,L261,1,1,0,0,0.0,0.0,0.0
0,L262,1,1,0,0,0.0,0.0,0.0
0,L27,1,1,0,0,0.0,0.0,0.0
0,L28,1,1,0,0,0.0,0.0,0.0
0,L29,1,1,0,0,0.0,0.0,0.0
0,L3,2,1,0,0,0.0,0.0,0.0
0,L30,1,1,0,0,0.0,0.0,0.0
0,L33,1,1,0,0,0.0,0.0,0.0
0,L332,1,1,0,0,0.0,0.0,0.0
0,L35,1,1,0,0,0.0,0.0,0.0
0,L36,1,1,0,0,0.0,0.0,0.0
0,L38,1,1,0,0,0.0,0.0,0.0
0,L39,1,1,0,0,0.0,0.0,0.0
0,L4,3,1,0,0,0.0,0.0,0.0
0,L40,1,1,0,0,0.0,0.0,0.0
0,L41,1,1,0,0,0.0,0.0,0.0
0,L43,1,1,0,0,0.0,0.0,0.0
0,L44,1,1,0,0,0.0,0.0,0.0
0,L441,1,1,0,0,0.0,0.0,0.0
0,L45,1,1,0,0,0.0,0.0,0.0
0,L5,1,1,0,0,0.0,0.0,0.0
0,L6,5,1,0,0,0.0,0.0,0.0
0,L66,5,1,0,0,0.0,0.0,0.0
0,L7,3,1,0,0,0.0,0.0,0.0
0,L9,5,1,0,0,0.0,0.0,0.0
0,251,1,1,0,0,0.0,0.0,0.0
0,BRT1,0,0,0,0,0.0,0.0,0.0
60,L1,6,1,0,0,0.0,0.0,0.0
60,L10,4,1,1,0,0.0,0.0,10.0
60,L11,7,1,0,1,0.0,0.0,10.0
60,L12,1,1,0,0,0.0,0.0,0.0
60,L13,4,1,0,0,0.0,0.0,0.0
60,L14,3,1,0,0,0.0,30.0,0.0
60,L15,2,1,0,0,0.0,30.0,0.0
60,L16,4,1,0,0,0.0,0.0,0.0
60,L17,2,1,0,1,0.0,0.0,10.0
60,L18,7,1,0,0,0.0,0.0,0.0
60,L19,1,1,0,0,0.0,0.0,0.0
60,L2,1,1,0,0,0.0,0.0,0.0
60,L20,5,1,0,0,0.0,0.0,0.0
60,L21,1,1,0,0,0.0,0.0,15.0
60,L22,1,1,0,0,0.0,0.0,0.0
60,L23,1,1,0,0,0.0,30.0,0.0
60,L24,1,1,0,0,0.0,0.0,0.0
60,L25,1,1,0,0,0.0,0.0,0.0
60,L26,1,1,0,0,0.0,30.0,0.0
60,L261,1,1,0,0,0.0,30.0,0.0
60,L262,1,1,0,0,0.0,0.0,0.0
60,L27,1,1,0,0,0.0,0.0,0.0
60,L28,1,1,0,0,0.0,30.0,0.0
60,L29,1,1,0,0,0.0,0.0,0.0
60,L3,2,1,0,0,0.0,0.0,0.0
60,L30,1,1,1,0,0.0,0.0,10.0
60,L33,1,1,1,0,0.0,0.0,10.0
60,L332,1,1,0,0,0.0,0.0,0.0
60,L35,1,1,0,0,0.0,0.0,0.0
60,L36,1,1,0,0,0.0,30.0,0.0
60,L38,1,1,0,0,0.0,60.0,0.0
60,L39,1,1,0,0,0.0,0.0,0.0
60,L4,3,1,0,0,0.0,0.0,15.0
60,L40,1,1,0,0,0.0,0.0,0.0
60,L41,1,1,0,0,0.0,0.0,0.0
60,L43,1,1,0,0,0.0,0.0,0.0
60,L44,1,1,0,0,0.0,60.0,0.0
60,L441,1,1,0,0,0.0,30.0,0.0
60,L45,1,1,0,0,0.0,0.0,0.0
60,L5,1,1,0,1,0.0,0.0,10.0
60,L6,5,1,0,0,0.0,0.0,0.0
60,L66,5,1,0,1,0.0,0.0,10.0
60,L7,3,1,3,0,0.0,0.0,30.0
60,L9,5,1,0,1,0.0,0.0,10.0
60,251,1,1,0,0,0.0,0.0,0.0
60,BRT1,0,0,0,0,0.0,0.0,0.0
120,L1,6,1,0,0,0.0,30.0,0.0
120,L10,4,1,1,1,0.0,0.0,20.0
120,L11,7,1,1,1,0.0,0.0,35.0
120,L12,1,1,0,0,0.0,30.0,0.0
120,L13,4,1,0,1,0.0,0.0,10.0
120,L14,3,1,0,0,0.0,30.0,0.0
120,L15,2,1,0,0,0.0,120.0,0.0
120,L16,4,1,0,0,0.0,0.0,0.0
120,L17,2,1,0,1,0.0,0.0,25.0
120,L18,7,1,2,0,0.0,60.0,20.0
120,L19,1,1,0,0,0.0,30.0,0.0
120,L2,1,1,1,1,0.0,0.0,20.0
120,L20,5,1,0,0,0.0,0.0,0.0
120,L21,1,1,1,0,0.0,0.0,25.0
120,L22,1,1,0,0,0.0,0.0,0.0
120,L23,1,1,0,0,0.0,90.0,0.0
120,L24,1,1,0,0,0.0,0.0,0.0
120,L25,1,1,0,0,0.0,0.0,0.0
120,L26,1,1,0,0,0.0,60.0,0.0
120,L261,1,1,0,0,0.0,30.0,0.0
120,L262,1,1,0,0,0.0,0.0,0.0
120,L27,1,1,0,0,0.0,0.0,0.0
120,L28,1,1,0,0,0.0,30.0,0.0
120,L29,1,1,0,0,0.0,0.0,0.0
120,L3,2,1,0,0,0.0,60.0,0.0
120,L30,1,1,2,0,0.0,30.0,20.0
120,L33,1,1,0,0,0.0,30.0,15.0
120,L332,1,1,0,0,0.0,0.0,0.0
120,L35,1,1,0,0,0.0,0.0,0.0
120,L36,1,1,0,0,0.0,30.0,0.0
120,L38,1,1,0,0,0.0,60.0,0.0
120,L39,1,1,0,0,0.0,0.0,0.0
120,L4,3,1,0,0,0.0,0.0,15.0
120,L40,1,1,0,0,0.0,0.0,0.0
120,L41,1,1,0,0,0.0,0.0,0.0
120,L43,1,1,0,0,0.0,0.0,0.0
120,L44,1,1,0,0,0.0,90.0,0.0
120,L441,1,1,0,0,0.0,60.0,0.0
120,L45,1,1,0,0,0.0,0.0,0.0
120,L5,1,1,0,0,0.0,0.0,15.0
120,L6,5,1,0,1,0.0,0.0,10.0
120,L66,5,1,0,1,0.0,0.0,10.0
120,L7,3,1,3,1,0.0,0.0,40.0
120,L9,5,1,0,1,0.0,0.0,10.0
120,251,1,1,0,0,0.0,0.0,0.0
120,BRT1,0,0,0,0,0.0,0.0,0.0
180,L1,6,1,0,0,0.0,120.0,0.0
180,L10,4,1,1,0,0.0,30.0,25.0
180,L11,7,1,1,1,0.0,0.0,35.0
180,L12,1,1,0,0,0.0,30.0,0.0
180,L13,4,1,0,1,0.0,0.0,10.0
180,L14,3,1,0,0,0.0,30.0,0.0
180,L15,2,1,0,0,0.0,210.0,0.0
180,L16,4,1,0,2,0.0,30.0,20.0
180,L17,2,1,0,1,0.0,0.0,25.0
180,L18,7,1,5,0,0.0,60.0,50.0
180,L19,1,1,0,0,0.0,60.0,0.0
180,L2,1,1,0,0,0.0,0.0,30.0
180,L20,5,1,4,0,0.0,0.0,40.0
180,L21,1,1,1,0,0.0,0.0,25.0
180,L22,1,1,0,0,0.0,0.0,0.0
180,L23,1,1,0,0,0.0,90.0,0.0
180,L24,1,1,0,0,0.0,0.0,0.0
180,L25,1,1,0,0,0.0,0.0,0.0
180,L26,1,1,0,0,0.0,120.0,0.0
180,L261,1,1,0,0,0.0,60.0,0.0
180,L262,1,1,0,0,0.0,30.0,0.0
180,L27,1,1,0,1,0.0,0.0,10.0
180,L28,1,1,0,0,0.0,60.0,0.0
180,L29,1,1,0,0,0.0,0.0,0.0
180,L3,2,1,1,0,0.0,60.0,10.0
180,L30,1,1,0,0,0.0,60.0,30.0
180,L33,1,1,0,0,0.0,30.0,15.0
180,L332,1,1,0,0,0.0,0.0,0.0
180,L35,1,1,0,0,0.0,0.0,0.0
180,L36,1,1,0,0,0.0,30.0,0.0
180,L38,1,1,0,0,0.0,60.0,0.0
180,L39,1,1,0,0,0.0,0.0,0.0
180,L4,3,1,0,0,0.0,60.0,15.0
180,L40,1,1,0,0,0.0,0.0,0.0
180,L41,1,1,0,0,0.0,0.0,0.0
180,L43,1,1,0,0,0.0,0.0,0.0
180,L44,1,1,0,0,0.0,90.0,0.0
180,L441,1,1,0,0,0.0,60.0,0.0
180,L45,1,1,0,0,0.0,0.0,0.0
180,L5,1,1,0,0,0.0,0.0,15.0
180,L6,5,1,1,1,0.0,0.0,20.0
180,L66,5,1,0,0,0.0,0.0,15.0
180,L7,3,1,6,1,0.0,30.0,70.0
180,L9,5,1,2,1,0.0,0.0,30.0
180,251,1,1,0,0,0.0,0.0,0.0
180,BRT1,0,0,0,0,0.0,0.0,0.0
240,L1,6,1,1,0,0.0,210.0,25.0
240,L10,4,1,0,0,0.0,30.0,30.0
240,L11,7,1,3,1,0.0,60.0,55.0
240,L12,1,1,0,0,0.0,120.0,0.0
240,L13,4,1,0,2,0.0,30.0,20.0
240,L14,3,1,0,0,0.0,30.0,0.0
240,L15,2,1,0,0,0.0,270.0,0.0
240,L16,4,1,0,3,0.0,30.0,30.0
240,L17,2,1,0,0,0.0,0.0,30.0
240,L18,7,1,6,0,0.0,60.0,60.0
240,L19,2,0,0,0,0.0,120.0,0.0
240,L2,2,0,0,0,0.0,0.0,30.0
240,L20,5,1,3,0,0.0,30.0,60.0
240,L21,1,1,2,0,0.0,0.0,35.0
240,L22,1,1,0,0,0.0,0.0,0.0
240,L23,1,1,0,0,0.0,90.0,0.0
240,L24,1,1,0,0,0.0,0.0,0.0
240,L25,1,1,0,0,0.0,0.0,0.0
240,L26,1,1,0,0,0.0,120.0,0.0
240,L261,1,1,0,0,0.0,60.0,0.0
240,L262,1,1,0,0,0.0,30.0,0.0
240,L27,1,1,0,1,0.0,0.0,10.0
240,L28,1,1,0,0,0.0,60.0,0.0
