cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
60,96011,26,26,1,L21,1,575,425,130,290
180,66091,21,21,1,L10,2,1035,164,480,260
240,9096,1,27,1,L10,1,6556,45,0,1910
300,76727,23,27,1,L27,2,3618,1862,200,1030
300,8157,7,26,1,L11,2,8881,1200,350,2100
300,9662,2,16,2,L17,1,1118,2376,120,170
300,9662,2,5,3,L7,1,1736,1255,1200,370
300,60856,21,7,1,L6,2,7857,49,70,2280
360,86,1,7,1,L1,1,673,302,20,120
360,52053,12,27,1,L66,1,2683,692,20,750
360,63143,21,12,1,L9,1,3970,66,860,1190
360,64159,23,23,1,L10,1,3189,437,20,340
360,27770,8,2,1,L7,1,5772,608,470,1790
360,28012,8,2,1,L7,1,6250,833,60,1600
360,22868,4,26,1,L20,1,7528,168,1000,1890
360,67020,22,1,1,L16,2,7435,229,740,2240
420,64560,21,27,1,L21,2,1824,1225,1600,320
420,2034,1,5,2,L7,1,4402,2313,250,1570
420,2034,5,9,3,L4,1,2310,4161,40,730
420,50284,11,12,2,L30,1,2643,5348,390,480
420,50284,1,24,3,L66,1,9313,4301,420,1940
420,86362,25,7,2,L18,1,9557,1602,430,2530
420,86362,11,12,3,L30,1,2202,8933,20,340
420,8714,1,26,1,L20,1,8980,776,670,2190
420,95584,26,26,1,L20,1,1187,408,80,380
420,28913,8,5,1,L7,1,5580,0,410,1880
420,23133,5,1,1,L7,2,4843,905,900,1450
420,28455,8,4,1,L6,1,4578,299,80,1100
480,95728,26,26,1,L18,1,1442,260,210,460
480,5280,1,22,1,L3,1,8736,850,420,2730
480,31205,8,9,1,L7,1,12489,641,0,4390
480,47266,11,11,2,L30,1,4527,4921,380,930
480,47266,7,2,3,L9,1,6478,2706,960,2130
480,40237,10,8,1,L7,2,9766,420,1180,3280
480,23618,5,8,1,L7,2,5422,0,300,1760
480,18470,3,2,2,L2,1,1868,5654,700,830
480,18470,2,12,3,L9,2,7724,1652,440,2520
480,21666,4,1,2,L20,1,1859,6539,1600,270
480,21666,1,22,3,L16,1,6882,2508,830,1820
480,29815,8,18,1,L7,1,13387,349,0,4540
480,24620,6,6,2,L1,2,1383,5313,0,260
480,24620,6,1,3,L9,1,6278,2015,350,2320
540,88818,26,7,1,L11,1,7769,1108,40,1810
540,37207,8,26,1,L20,1,14273,0,780,3480
540,25672,6,1,1,L9,1,7330,215,2840,2030
540,70,1,2,2,L7,1,1764,4401,850,510
540,70,2,1,3,L2,2,3424,2222,660,2320
540,25578,6,27,1,L14,1,7658,220,290,2300
540,31076,8,9,1,L7,1,7944,388,0,2630
