cycle,waiting1st,waiting2nd,onboard,arrived
0,0,0,0,0
60,7,1,11,1
120,14,5,20,1
180,19,8,31,2
240,19,10,48,3
300,25,11,57,7
360,27,11,67,15
420,31,10,96,24
480,42,23,103,34
540,51,41,101,50
600,53,41,122,68
660,54,43,149,79
720,45,46,172,103
780,55,41,232,121
840,55,47,270,160
900,70,52,301,192
960,92,71,291,244
1020,94,50,358,279
1080,97,67,363,337
1140,82,70,394,401
1200,86,103,388,453
1260,102,108,367,536
1320,92,129,365,610
1380,91,136,383,669
1440,76,128,430,728
1500,60,127,443,773
1560,53,100,448,843
1620,53,101,437,894
1680,51,92,425,958
1740,62,79,382,1044
1800,65,73,363,1107
1860,74,72,322,1181
1920,53,65,310,1262
1980,57,64,273,1337
2040,61,76,268,1367
2100,56,45,286,1426
2160,59,57,270,1468
2220,82,76,247,1532
2280,103,77,276,1564
2340,111,85,294,1613
2400,126,81,319,1660
2460,130,83,362,1694
2520,100,116,388,1748
2580,93,128,410,1804
2640,92,127,451,1848
2700,92,153,459,1897
2760,91,155,450,1988
2820,89,164,440,2074
2880,107,155,450,2138
2940,104,160,419,2208
3000,87,137,431,2277
3060,89,112,415,2357
3120,84,94,403,2433
3180,85,86,397,2487
3240,88,75,383,2550
3300,84,78,371,2604
3360,93,70,306,2709
3420,91,84,272,2772
3480,85,91,240,2844
3540,80,87,246,2888
3600,67,89,260,2926
3660,68,99,239,2977
3720,68,105,217,3034
3780,79,90,218,3078
3840,79,86,243,3098
3900,71,87,257,3132
3960,86,98,240,3164
4020,80,114,231,3204
4080,86,111,222,3251
4140,85,103,240,3283
4200,95,101,227,3329
4260,103,110,220,3360
4320,105,112,217,3400
4380,117,80,295,3425
4440,126,91,309,3474
4500,138,82,346,3517
4560,134,88,383,3561
4620,144,108,398,3599
4680,150,91,442,3649
4740,149,112,392,3720
4800,152,128,327,3807
4860,136,123,322,3874
4920,124,103,332,3937
4980,115,101,324,3997
5040,115,117,284,4062
5100,83,125,275,4115
5160,60,125,267,4166
5220,63,123,250,4202
5280,68,104,252,4234
5340,76,108,235,4259
5400,77,88,237,4296
5460,84,86,202,4346
5520,83,85,169,4401
5580,79,87,158,4434
5640,63,88,167,4460
5700,56,87,166,4489
5760,54,88,160,4516
5820,59,77,171,4531
5880,61,79,169,4549
5940,59,71,172,4576
6000,63,65,166,4604
6060,62,70,149,4637
6120,70,67,117,4684
6180,55,64,113,4706
6240,51,58,97,4732
6300,44,64,67,4763
6360,41,55,65,4777
6420,40,53,62,4783
6480,34,50,56,4798
