cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
0,1,2,0,0.0,0.0,0.0
0,4,2,0,0.0,0.0,0.0
0,3,1,0,0.0,0.0,0.0
0,2,1,0,0.0,0.0,0.0
0,5,0,0,0.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0
0,7,1,0,0.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0
0,11,1,0,0.0,0.0,0.0
0,10,0,0,0.0,0.0,0.0
0,22,1,0,0.0,0.0,0.0
0,21,0,0,0.0,0.0,0.0
0,27,0,0,0.0,0.0,0.0
0,24,1,0,0.0,0.0,0.0
0,23,1,0,0.0,0.0,0.0
0,13,0,0,0.0,0.0,0.0
0,9,2,0,0.0,0.0,0.0
0,17,0,0,0.0,0.0,0.0
0,8,5,0,0.0,0.0,0.0
0,14,0,0,0.0,0.0,0.0
0,20,0,0,0.0,0.0,0.0
0,26,1,0,0.0,0.0,0.0
0,25,0,0,0.0,0.0,0.0
0,18,0,0,0.0,0.0,0.0
0,19,0,0,0.0,0.0,0.0
0,16,1,0,0.0,0.0,0.0
0,15,0,0,0.0,0.0,0.0
60,1,1,600,0.0,10.0,0.0
60,4,3,400,0.0,10.0,0.0
60,3,1,0,0.0,0.0,0.0
60,2,3,400,0.0,0.0,0.0
60,5,1,590,0.0,5.0,0.0
60,6,0,0,0.0,0.0,150.0
60,7,1,0,0.0,10.0,0.0
60,12,0,0,0.0,0.0,0.0
60,11,1,600,0.0,10.0,30.0
60,10,0,0,0.0,0.0,150.0
60,22,2,300,0.0,0.0,0.0
60,21,2,600,0.0,0.0,0.0
60,27,0,0,0.0,0.0,30.0
60,24,1,600,0.0,10.0,0.0
60,23,1,600,0.0,10.0,0.0
60,13,0,0,0.0,0.0,0.0
60,9,2,300,0.0,10.0,0.0
60,17,0,0,0.0,0.0,0.0
60,8,3,400,0.0,40.0,0.0
60,14,0,0,0.0,0.0,0.0
60,20,0,0,0.0,10.0,0.0
60,26,3,600,0.0,5.0,0.0
60,25,2,600,0.0,0.0,0.0
60,18,0,0,0.0,0.0,0.0
60,19,0,0,0.0,0.0,0.0
60,16,1,600,0.0,10.0,0.0
60,15,0,0,0.0,0.0,0.0
120,1,4,1050,0.0,10.0,0.0
120,4,3,400,0.0,10.0,0.0
120,3,0,0,0.0,10.0,0.0
120,2,3,800,0.0,20.0,0.0
120,5,1,590,0.0,5.0,0.0
120,6,0,0,0.0,0.0,300.0
120,7,1,0,0.0,10.0,30.0
120,12,0,0,0.0,0.0,0.0
120,11,0,0,0.0,20.0,90.0
120,10,1,1200,0.0,0.0,300.0
120,22,2,300,0.0,0.0,0.0
120,21,2,1200,0.0,20.0,0.0
120,27,1,1270,0.0,5.0,30.0
120,24,1,600,0.0,10.0,0.0
120,23,3,1000,0.0,10.0,0.0
120,13,0,0,0.0,0.0,0.0
120,9,2,1200,0.0,10.0,0.0
120,17,0,0,0.0,0.0,0.0
120,8,5,720,0.0,40.0,0.0
120,14,0,0,0.0,0.0,0.0
120,20,2,1265,0.0,15.0,30.0
120,26,5,1184,0.0,40.0,0.0
120,25,0,0,0.0,20.0,0.0
120,18,0,0,0.0,20.0,60.0
120,19,0,0,0.0,0.0,0.0
120,16,3,936,0.0,15.0,30.0
120,15,0,0,0.0,0.0,0.0
180,1,2,1500,0.0,40.0,30.0
180,4,1,1800,0.0,40.0,0.0
180,3,1,1840,0.0,15.0,0.0
180,2,5,1286,0.0,25.0,0.0
180,5,2,1195,0.0,5.0,0.0
180,6,1,1800,0.0,0.0,390.0
180,7,1,0,0.0,10.0,120.0
180,12,1,1860,0.0,5.0,0.0
180,11,2,1745,0.0,25.0,150.0
180,10,2,1500,0.0,0.0,420.0
180,22,1,1800,0.0,20.0,0.0
180,21,4,1650,0.0,35.0,0.0
180,27,2,1535,0.0,20.0,30.0
180,24,1,600,0.0,10.0,0.0
180,23,2,900,0.0,20.0,0.0
180,13,0,0,0.0,0.0,0.0
180,9,2,1200,0.0,10.0,0.0
180,17,0,0,0.0,0.0,0.0
180,8,4,1050,0.0,60.0,0.0
180,14,0,0,0.0,0.0,0.0
