cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,290.0,0.0,130.0,0.0
120,290.0,0.0,130.0,0.0
180,275.0,0.0,305.0,0.0
240,820.0,0.0,203.33333333333334,0.0
300,1311.6666666666667,540.0,205.0,1320.0
360,1270.7142857142858,540.0,315.7142857142857,1320.0
420,1255.5,2032.5,408.0,717.5
480,1625.7692307692307,2401.25,395.0,1016.25
540,1757.4285714285713,2553.3333333333335,478.0,1362.6666666666667
600,1856.7441860465117,3010.0,594.6511627906976,1241.2
660,1851.8,2919.655172413793,661.0,1142.7586206896551
720,1973.5384615384614,3073.4210526315787,621.3846153846154,1065.5263157894738
780,1903.6842105263158,3104.222222222222,584.3421052631579,1112.4444444444443
840,1886.764705882353,2976.3793103448274,587.156862745098,1205.1724137931035
900,1899.0677966101696,2912.027027027027,632.0338983050848,1379.1891891891892
960,1908.4397163120568,2948.0582524271845,647.9432624113475,1466.0194174757282
1020,1958.3333333333333,3025.121951219512,643.0128205128206,1560.9756097560976
1080,1985.0549450549452,3085.935483870968,648.6263736263736,1589.3548387096773
1140,1993.9810426540284,3113.0,665.3080568720379,1583.0
1200,2024.0983606557377,3120.2392344497607,656.3934426229508,1545.4545454545455
1260,2068.986013986014,3179.56,678.006993006993,1559.0
1320,2109.3670886075947,3298.91156462585,691.8987341772151,1532.7551020408164
1380,2122.2873900293257,3327.7743902439024,687.1847507331378,1545.7012195121952
1440,2124.5675675675675,3357.6256983240223,689.7567567567568,1559.3575418994412
1500,2146.0,3339.839142091153,691.2,1554.9329758713136
1560,2193.0158730158732,3367.4378109452737,719.1383219954648,1594.6268656716418
1620,2193.2087912087914,3418.5421412300684,724.2197802197802,1595.375854214123
1680,2214.0871369294605,3429.3067226890757,743.1742738589212,1644.0756302521008
1740,2269.650485436893,3493.3081285444237,763.7087378640776,1672.3629489603024
1800,2293.879472693032,3591.8055555555557,773.5781544256121,1657.7430555555557
1860,2322.9582577132487,3641.9206349206347,787.6406533575317,1727.7142857142858
1920,2364.581881533101,3762.1511627906975,796.5331010452961,1807.9505813953488
1980,2419.576271186441,3842.1954484605085,825.0338983050848,1881.2583668005354
2040,2430.5454545454545,3862.834645669291,820.5454545454545,1870.3543307086613
2100,2444.6666666666665,3934.962311557789,853.0952380952381,1903.3165829145728
2160,2445.7387247278384,3927.5272727272727,858.786936236392,1897.551515151515
2220,2450.889894419306,3933.970080552359,866.9683257918552,1954.0046029919447
2280,2447.823529411765,3934.389140271493,867.5441176470588,1961.787330316742
2340,2446.522988505747,3969.018538713195,862.6005747126437,1974.8091603053435
2400,2454.8122392211403,3972.0828905419767,853.769123783032,1976.950053134963
2460,2450.0,3980.0208768267225,839.8505434782609,1961.231732776618
2520,2431.9841269841268,3995.5342741935483,837.2883597883598,1956.0181451612902
2580,2434.872122762148,3984.1487279843445,825.8056265984654,1962.1526418786693
2640,2429.8873591989986,3995.4623450905624,831.6520650813517,1942.9170638703526
2700,2423.3821733821733,4005.4916512059367,841.4285714285714,1951.6141001855287
2760,2423.715277777778,3976.663701067616,862.9629629629629,1994.982206405694
2820,2430.795580110497,3963.250641573995,869.0718232044198,1973.6355859709154
2880,2419.4307196562836,3944.009942004971,868.625134264232,1955.642087821044
2940,2416.308654848801,3965.556445156125,872.6694473409802,1966.3570856685349
3000,2431.513622603431,3976.220839813375,863.7941473259334,1980.746500777605
3060,2438.3512195121953,4001.831831831832,863.1317073170732,1977.117117117117
3120,2456.3414634146343,4000.50475493782,868.8461538461538,1981.5654718361375
3180,2455.479704797048,4009.094796863863,867.9797047970479,1989.2230933713472
3240,2452.1525885558585,4042.277432712215,861.3351498637602,2008.5093167701864
3300,2445.8243727598565,4059.9865591397847,864.6774193548387,2037.513440860215
3360,2451.9720767888307,4077.159309021113,881.3961605584642,2091.49072296865
3420,2454.3605150214594,4093.9452395768512,908.2231759656653,2111.0578718108277
3480,2457.878787878788,4102.699275362319,929.074074074074,2143.75
3540,2459.154929577465,4117.5609756097565,937.3819386909694,2157.0255800118975
3600,2460.0164473684213,4131.269005847953,938.2565789473684,2153.3859649122805
3660,2464.3007275666937,4126.833333333333,939.1107518189167,2164.3390804597702
3720,2462.264449722882,4129.672501411632,941.2747426761679,2162.490118577075
3780,2460.6780982073265,4131.00278551532,941.4263445050663,2162.239554317549
3840,2461.087801087801,4124.174489232469,941.1344211344211,2157.53727222529
3900,2459.992313604919,4126.925177498634,939.8001537279016,2156.5319497542328
3960,2457.4102368220015,4134.679245283019,942.9411764705883,2154.900269541779
4020,2449.6313017306247,4152.048,946.3130173062453,2154.576
4080,2446.1997019374066,4178.318491356731,946.8181818181819,2164.8611838658985
4140,2444.2361623616234,4197.624481327801,951.1881918819188,2175.2489626556016
4200,2444.8613138686133,4189.581419091373,952.5109489051094,2184.65033180194
4260,2445.602322206096,4197.391523713421,949.5718432510886,2184.9747729566093
4320,2442.314347512617,4201.932439145554,951.715933669791,2184.6100347739693
4380,2442.8387096774195,4223.187192118226,952.3225806451613,2194.270935960591
4440,2443.9915373765866,4231.274319066148,957.9548660084627,2201.454280155642
4500,2448.159722222222,4231.1218103033225,962.5763888888889,2203.2450649975926
4560,2446.3039014373717,4235.738095238095,958.1519507186858,2192.842857142857
4620,2442.0582261340555,4229.052780395853,956.9532836831415,2197.728557964185
4680,2430.006640106242,4220.130657956136,957.8021248339974,2197.9374708352775
4740,2429.497060744611,4205.9981726815895,968.5173089483998,2233.3211512105986
4800,2436.2676056338028,4208.721603563475,980.5313700384123,2251.1714922048996
4860,2445.37106918239,4212.425569176883,979.6477987421383,2252.539404553415
4920,2456.8564356435645,4208.746230073244,1000.1732673267327,2251.8569582076693
4980,2456.158088235294,4195.720930232558,998.5600490196078,2242.6511627906975
5040,2464.7610405323653,4188.335408883354,995.2026618269813,2232.723121627231
5100,2461.649731022116,4199.864864864865,996.4913329348476,2227.235872235872
5160,2461.940828402367,4208.828756058158,998.4615384615385,2223.8004846526655
5220,2460.769230769231,4214.353741496599,1000.0176159718144,2223.8615446178474
5280,2461.6783625730995,4215.8359746434235,1003.0350877192982,2219.1996830427893
5340,2461.4418604651164,4213.107522646711,1003.6337209302326,2219.031114612052
5400,2464.7075854082223,4220.638380692877,1008.0544296467864,2231.315687037758
5460,2470.6801152737753,4212.432018383761,1010.5648414985591,2247.6177709689773
5520,2478.0501710376284,4216.286361919154,1019.7833523375142,2273.5096335474122
5580,2487.657402155417,4221.9917633845,1025.3601815087918,2284.477723698989
5640,2488.1084133258046,4223.681666046858,1028.0237154150198,2290.431387132763
5700,2488.681996634885,4229.10199556541,1027.9472798653953,2299.641537324464
5760,2491.615598885794,4245.828739434031,1026.1782729805013,2307.273061374495
5820,2490.6163242642974,4247.827838827839,1026.046640755136,2312.4908424908426
5880,2489.9446290143965,4255.665329930733,1025.0387596899225,2319.372949325556
5940,2489.381898454746,4266.856005788712,1023.780353200883,2338.9218523878435
6000,2491.834157056562,4276.597197269134,1024.6567819879187,2338.099173553719
6060,2494.508733624454,4282.409982174688,1028.782751091703,2354.9376114081997
6120,2493.2536664856057,4293.461132606401,1029.6197718631179,2390.7984523390783
6180,2492.9551593733117,4292.30823117338,1033.4629929767693,2394.276707530648
6240,2493.28141783029,4295.038327526132,1034.967776584318,2400.1324041811845
6300,2492.3397435897436,4291.864406779661,1038.6057692307693,2397.7101349014183
6360,2491.936,4291.123363197795,1038.784,2398.7284631288767
6420,2491.936,4294.700825309491,1038.784,2399.1162310866575
6480,2496.895633652822,4299.876712328767,1039.5899893503727,2399.3698630136987
