cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
120,9470,2,2,1,L2,2,296,919,150,90
240,23767,10,9,1,L36,1,5487,248,50,1450
300,24631,10,1,1,L4,2,3129,1254,120,1080
300,95342,26,25,1,L11,2,2291,0,790,960
360,63831,21,21,1,L21,1,1611,382,130,600
420,7451,1,24,1,L66,1,9634,0,0,3620
420,71618,23,1,1,L5,2,9220,0,0,2550
420,69944,22,11,2,L30,1,5854,4647,0,1490
420,69944,1,21,3,L10,1,8256,6043,690,1670
480,47938,11,11,2,L30,1,3524,4314,710,780
480,47938,7,5,3,L9,1,3412,1944,1280,1670
480,90731,26,7,2,L11,1,9126,2789,250,2920
480,90731,6,6,3,L6,1,834,9186,40,1240
480,95569,26,26,1,L21,1,3169,0,960,1150
480,95702,26,26,1,L21,1,1974,49,220,690
480,9357,2,1,1,L7,2,2460,185,2670,680
480,18454,3,2,2,L2,1,2662,4425,240,1900
480,18454,2,7,3,L9,2,6474,2314,90,2480
540,38106,9,1,1,L4,2,5997,628,200,2210
540,90800,25,6,1,L11,1,11257,859,130,3490
540,800,1,6,1,L10,1,2838,395,10,650
540,59178,21,7,2,L10,2,6346,2514,500,2290
540,59178,6,16,3,L17,1,2616,5807,650,820
540,1206,1,8,1,L7,2,2020,0,670,620
540,65742,21,21,2,L9,1,1514,6625,420,640
540,65742,21,13,3,L21,2,5867,1490,320,1810
540,25945,12,7,1,L13,1,917,617,10,230
540,98569,23,21,1,L13,1,2951,598,10,850
540,60832,21,6,1,L9,1,6262,395,810,2470
540,36593,8,26,1,L20,1,12106,673,0,2710
540,77710,24,27,2,L22,2,779,6577,80,130
540,77710,21,26,3,L21,2,5669,1364,10,1300
540,86817,25,7,2,L18,1,9557,3374,70,2590
540,86817,1,27,3,L10,1,6556,8893,260,1070
540,697,1,6,2,L10,1,2838,602,10,650
540,697,6,6,3,L9,1,1000,1806,220,240
540,85888,25,9,1,L18,1,13617,0,70,4090
540,91787,26,26,2,L11,1,1124,10635,10,370
540,91787,26,9,3,L18,1,11214,1337,390,3390
540,22890,4,20,2,L33,1,3969,3811,200,830
540,22890,20,25,3,L18,2,4500,3890,2960,1370
600,78208,23,27,2,L27,2,2606,6102,230,940
600,78208,21,26,3,L21,2,6817,1768,1450,1620
600,65899,21,26,1,L21,2,9370,557,180,2460
600,76838,23,27,2,L5,2,2606,1452,600,980
600,76838,27,21,3,L21,1,949,2080,430,170
600,18955,3,2,2,L2,1,2308,7284,620,1520
600,18955,2,27,3,L9,2,9342,2022,90,3560
600,18899,3,3,2,L2,2,1284,6853,380,780
600,18899,1,21,3,L10,1,8256,1739,520,2930
600,93770,26,7,2,L18,1,7637,4438,70,1990
600,93770,21,21,3,L10,1,1375,8284,260,1690
600,10247,2,16,2,L17,1,1118,6320,1290,170
600,10247,2,8,3,L7,2,5720,850,1210,1940
600,68351,22,6,1,L3,2,7569,1124,1710,2410
600,83786,24,27,2,L5,2,1276,6423,0,140
600,83786,21,26,3,L21,2,9561,2872,2480,2130
600,64450,27,24,1,L66,1,2809,1386,800,960
600,29271,8,8,1,L6,2,2139,218,30,540
600,10405,2,8,1,L7,2,4966,281,1870,1710
660,60661,27,27,2,L5,2,2231,7562,140,460
660,60661,21,5,3,L9,1,7968,1914,1260,3090
660,13184,2,21,1,L9,2,10066,966,1630,3920
660,63675,27,27,2,L5,2,1524,3567,20,220
660,63675,21,21,3,L9,2,994,1205,150,360
660,98713,27,27,2,L14,2,2963,1761,470,1030
660,98713,27,21,3,L9,2,1390,2875,690,360
660,56078,19,19,1,L16,1,924,353,80,100
660,29728,8,8,2,L29,2,1978,1744,620,510
660,29728,8,8,3,L20,1,2628,1978,190,660
660,94112,26,1,2,L20,2,9021,6603,260,2450
660,94112,6,22,3,L16,1,5078,9565,1270,2260
660,45607,10,6,2,L13,2,6389,4987,150,1470
660,45607,6,22,3,L16,1,5078,3639,610,1610
660,81855,27,7,2,L14,2,7460,6355,240,2420
660,81855,6,19,3,L441,1,5840,6852,2010,1570
660,28660,8,1,2,L20,1,6651,4719,230,1620
660,28660,1,5,3,L4,1,3960,4154,10,1390
660,48420,11,11,2,L30,1,3524,6595,710,780
660,48420,12,8,3,L9,1,9751,1465,1280,3490
660,17341,3,1,1,L2,2,2372,628,1090,2280
660,94696,26,7,2,L18,1,6492,5594,100,1560
660,94696,7,24,3,L27,1,6778,8222,80,1650
660,23988,5,21,1,L9,2,8850,917,1000,3590
660,81872,23,21,2,L13,1,1622,8237,70,680
660,81872,21,20,3,L21,2,10588,2880,2330,2730
660,86614,26,20,1,L21,2,3730,500,190,1420
660,14271,2,7,2,L9,2,6351,5567,60,2230
660,14271,6,22,3,L16,1,6197,4481,540,1890
660,10927,2,16,2,L17,1,1118,3416,480,180
660,10927,2,10,3,L7,1,3803,1244,390,1330
660,5002,1,21,1,L10,1,6881,529,10,2380
720,48544,11,11,2,L30,1,1645,6721,110,140
720,48544,6,8,3,L6,2,11726,1116,1130,4650
720,20962,4,8,1,L6,2,6488,276,570,2460
720,41129,9,10,2,L4,2,3804,7038,0,1320
720,41129,6,19,3,L441,1,6406,4641,3520,1800
720,76629,23,21,1,L13,1,3774,0,40,1210
720,64219,27,23,1,L27,1,2582,164,850,1010
720,75729,23,9,1,L13,1,14751,809,670,6030
720,99099,27,23,1,L27,1,2361,19,370,980
720,77316,23,27,2,L13,1,4588,2725,80,1620
720,77316,27,24,3,L66,1,3764,3401,290,1280
720,42264,9,10,2,L18,2,2298,7914,720,600
720,42264,10,21,3,L9,2,8384,3017,1460,3540
720,8546,1,7,2,L9,2,6656,8693,1100,2390
720,8546,7,26,3,L11,2,9726,3883,260,2590
720,14023,2,3,2,L2,2,2758,8022,150,1610
720,14023,1,22,3,L10,1,11819,3056,520,4070
720,64425,21,6,2,L9,1,6752,7999,480,2490
720,64425,1,24,3,L66,1,10251,6211,320,3100
720,2788,7,6,2,L11,1,1547,3407,0,500
720,2788,6,10,3,L44,1,2839,2587,410,700
720,29068,8,6,1,L6,1,8779,1085,80,2730
720,45752,11,10,2,L15,2,5547,8314,470,1720
720,45752,18,23,3,L13,2,14980,1795,790,4050
720,6288,1,6,2,L19,1,3046,7391,50,750
720,6288,6,23,3,L13,2,7948,3270,820,3010
720,29908,8,9,1,L7,1,11998,0,0,4060
720,9489,2,2,1,L2,2,296,304,190,280
720,66983,22,1,1,L3,2,8650,697,890,3180
720,46981,11,22,2,L30,2,1383,6390,160,390
720,46981,22,1,3,L3,2,8650,2951,1910,2810
720,64129,21,21,1,L21,2,1752,451,80,420
720,2150,1,9,1,L4,1,6186,614,60,2260
720,40325,9,5,2,L4,2,1866,7192,400,620
720,40325,5,8,3,L9,1,7596,2151,570,2560
720,7161,1,6,2,L66,1,2838,7311,180,780
720,7161,6,23,3,L13,2,8187,3267,2460,3160
780,67307,22,2,1,L9,1,14494,202,900,5740
780,43717,10,6,2,L1,1,2056,4060,130,990
780,43717,6,2,3,L9,1,5889,2729,0,1920
780,74209,23,23,2,L27,1,1776,7974,20,380
780,74209,21,5,3,L9,1,7312,2653,330,4180
780,38122,9,1,1,L4,2,6644,529,110,2430
780,38180,9,1,1,L4,2,5657,45,60,1880
780,5550,1,6,2,L16,1,3045,7420,0,660
780,5550,7,22,3,L9,2,8390,2621,1360,3520
780,88149,26,25,1,L20,1,114,232,10,160
780,93537,26,21,2,L21,1,8048,1747,70,2140
780,93537,21,21,3,L6,1,1704,7961,350,610
780,79080,23,21,2,L13,1,3569,9090,70,1290
780,79080,6,1,3,L9,1,6278,7072,1100,4310
780,25722,7,6,2,L10,1,2581,4058,10,650
780,25722,7,1,3,L9,1,7203,2030,220,2290
780,43876,10,10,2,L36,2,2912,4798,80,780
780,43876,6,1,3,L9,1,6278,4558,40,1670
780,38047,9,5,2,L4,2,1866,3497,190,660
780,38047,5,1,3,L9,1,3466,1931,1100,1220
780,84060,25,26,2,L11,1,932,8030,120,230
780,84060,25,1,3,L20,2,9662,977,2020,2630
780,67885,22,1,2,L16,2,6656,1664,1620,2310
780,67885,1,3,3,L2,1,1680,5967,2500,1040
780,54458,16,7,1,L17,2,7683,728,1080,2210
780,66207,21,21,1,L9,1,2224,1061,60,830
780,47935,11,7,2,L23,2,2714,2475,450,1210
780,47935,7,5,3,L9,1,3412,2497,700,950
780,5721,1,6,2,L1,1,2596,4881,80,980
780,5721,7,22,3,L23,1,5425,3121,4690,1200
780,71802,23,1,1,L9,1,14895,905,760,5590
780,35347,8,7,2,L6,1,6407,8106,260,2150
780,35347,1,24,3,L66,1,9313,5106,0,3360
780,35502,8,7,2,L9,2,7985,6855,150,2740
780,35502,6,24,3,L66,1,7509,5239,770,2710
780,7149,1,7,2,L9,2,7118,6855,60,2230
780,7149,6,24,3,L66,1,7509,4377,770,2710
780,64809,21,11,2,L3,2,3498,6126,3660,1080
780,64809,1,24,3,L66,1,9313,6719,210,2020
780,67094,23,1,1,L5,2,10372,582,0,3460
780,67118,22,23,2,L9,1,1344,8234,600,290
780,67118,23,1,3,L5,2,10372,1500,910,3460
780,51035,12,1,1,L5,2,4726,628,50,1610
780,90302,26,27,2,L21,1,6582,7227,130,1950
780,90302,1,7,3,L14,1,1221,6859,730,4870
780,25304,6,22,1,L23,1,4660,0,950,1330
780,75798,24,7,2,L22,2,5255,5260,80,1590
780,75798,7,10,3,L18,1,6398,5895,230,2220
780,2053,7,6,2,L11,1,1547,3671,20,500
780,2053,6,5,3,L9,1,3217,2406,1240,1220
840,49898,11,11,2,L30,1,1879,5682,530,360
840,49898,7,24,3,L22,1,6754,3430,20,1500
840,95282,26,26,1,L21,1,2268,118,0,630
840,58525,21,1,2,L10,2,7961,1837,40,2810
840,58525,1,3,3,L2,1,1834,6598,2380,1450
840,19521,7,6,2,L17,1,2030,8127,0,480
840,19521,7,24,3,L22,1,6731,2512,5290,2140
840,49702,11,22,1,L6,1,4101,0,360,1560
