cycle,waiting1st,waiting2nd,onboard,arrived
0,0,0,0,0
60,8,1,11,0
120,12,4,23,1
180,11,13,35,1
240,17,21,40,2
300,22,21,53,4
360,23,21,71,5
420,20,20,113,8
480,17,15,156,14
540,23,35,155,30
600,31,43,168,42
660,37,57,170,61
720,42,69,170,85
780,52,55,227,115
840,50,56,289,137
900,62,68,315,170
960,63,83,359,193
1020,54,94,407,226
1080,51,85,462,266
1140,57,108,478,304
1200,74,128,466,362
1260,53,144,486,430
1320,51,127,548,470
1380,61,159,528,531
1440,53,170,533,606
1500,38,184,497,684
1560,39,219,436,750
1620,39,202,438,806
1680,36,195,446,849
1740,31,167,459,910
1800,34,105,495,974
1860,41,123,435,1050
1920,53,109,409,1119
1980,61,86,409,1175
2040,65,77,397,1233
2100,70,82,369,1292
2160,57,72,390,1335
2220,67,93,398,1379
2280,73,101,383,1463
2340,78,104,408,1513
2400,66,97,464,1559
2460,73,131,434,1631
2520,77,130,468,1677
2580,80,200,435,1720
2640,88,177,485,1768
2700,71,161,562,1807
2760,87,166,555,1876
2820,97,174,544,1952
2880,87,188,562,2013
2940,92,173,529,2097
3000,62,199,498,2173
3060,53,210,484,2226
3120,54,206,473,2281
3180,52,210,433,2360
3240,50,210,413,2423
3300,53,215,400,2469
3360,63,196,382,2537
3420,52,182,385,2600
3480,51,131,427,2651
3540,49,145,396,2711
3600,61,139,402,2740
3660,74,123,395,2791
3720,75,110,400,2839
3780,64,121,376,2904
3840,63,118,358,2967
3900,54,126,343,3024
3960,53,132,322,3081
4020,58,130,322,3119
4080,58,137,298,3177
4140,62,140,301,3208
4200,69,144,293,3246
4260,77,142,290,3284
4320,71,143,286,3334
4380,72,152,329,3364
4440,67,149,383,3401
4500,67,186,394,3436
4560,88,219,390,3469
4620,102,206,427,3514
4680,100,166,510,3556
4740,78,165,522,3608
4800,78,177,496,3663
4860,81,179,458,3737
4920,71,196,431,3798
4980,69,191,395,3882
5040,53,167,404,3954
5100,49,193,360,3996
5160,49,186,339,4044
5220,48,170,335,4085
5280,47,144,331,4136
5340,49,124,329,4176
5400,51,99,332,4216
5460,46,106,311,4255
5520,52,106,265,4315
5580,49,114,222,4373
5640,52,116,198,4412
5700,54,115,175,4454
5760,57,113,170,4478
5820,55,108,175,4500
5880,55,106,168,4529
5940,49,119,159,4551
6000,47,117,160,4574
6060,47,103,180,4588
6120,46,110,177,4605
6180,43,105,157,4633
6240,42,99,147,4650
6300,41,103,132,4662
6360,39,101,115,4683
6420,35,99,93,4711
6480,34,88,82,4734
