cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
0,1,3,0,0.0,0.0,0.0
0,4,1,0,0.0,0.0,0.0
0,3,3,0,0.0,0.0,0.0
0,2,0,0,0.0,0.0,0.0
0,5,0,0,0.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0
0,7,0,0,0.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0
0,11,3,0,0.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0
0,22,2,0,0.0,0.0,0.0
0,21,0,0,0.0,0.0,0.0
0,27,0,0,0.0,0.0,0.0
0,24,1,0,0.0,0.0,0.0
0,23,1,0,0.0,0.0,0.0
0,13,0,0,0.0,0.0,0.0
0,9,1,0,0.0,0.0,0.0
0,17,0,0,0.0,0.0,0.0
0,8,1,0,0.0,0.0,0.0
0,14,0,0,0.0,0.0,0.0
0,20,0,0,0.0,0.0,0.0
0,26,3,0,0.0,0.0,0.0
0,25,0,0,0.0,0.0,0.0
0,18,0,0,0.0,0.0,0.0
0,19,0,0,0.0,0.0,0.0
0,16,0,0,0.0,0.0,0.0
0,15,0,0,0.0,0.0,0.0
60,1,4,450,444.99999999999994,20.0,0.0
60,4,0,0,40.0,10.0,0.0
60,3,1,0,76.66666666666669,10.0,0.0
60,2,3,600,100.0,0.0,0.0
60,5,1,600,0.0,0.0,0.0
60,6,1,480,613.3333333333335,5.0,300.0
60,7,1,600,1458.3333333333353,10.0,90.0
60,12,0,0,45.0,0.0,0.0
60,11,4,150,59.99999999999999,10.0,30.0
60,10,0,0,125.00000000000003,0.0,180.0
60,22,2,300,0.0,10.0,0.0
60,21,3,600,76.66666666666666,0.0,0.0
60,27,1,600,40.0,10.0,0.0
60,24,3,600,0.0,0.0,0.0
60,23,1,0,75.0,0.0,0.0
60,13,0,0,51.66666666666666,0.0,0.0
60,9,1,600,35.0,10.0,0.0
60,17,0,0,0.0,0.0,0.0
60,8,3,400,391.6666666666668,0.0,0.0
60,14,0,0,60.0,0.0,0.0
60,20,0,0,75.0,10.0,0.0
60,26,0,0,85.0,10.0,0.0
60,25,0,0,65.0,10.0,0.0
60,18,0,0,215.0,0.0,30.0
60,19,0,0,10.0,0.0,0.0
60,16,0,0,0.0,0.0,0.0
60,15,0,0,0.0,0.0,0.0
120,1,2,300,555.0,30.0,0.0
120,4,0,0,40.0,10.0,0.0
120,3,2,1200,415.00000000000006,20.0,0.0
120,2,4,1050,175.0,25.0,0.0
120,5,0,0,45.0,0.0,0.0
120,6,3,920,941.6666666666662,10.0,570.0
120,7,1,600,2238.3333333333358,20.0,180.0
120,12,1,1200,480.0000000000002,0.0,0.0
120,11,2,480,198.3333333333333,45.0,90.0
120,10,0,0,590.0000000000001,10.0,450.0
120,22,2,300,45.0,10.0,0.0
120,21,3,1000,333.33333333333337,20.0,0.0
120,27,0,0,130.0,20.0,0.0
120,24,2,900,36.666666666666664,0.0,0.0
120,23,4,1200,174.99999999999994,30.0,0.0
120,13,0,0,133.33333333333334,0.0,0.0
120,9,1,600,35.0,10.0,0.0
120,17,0,0,0.0,0.0,0.0
120,8,3,600,736.6666666666661,10.0,0.0
120,14,0,0,140.0,0.0,0.0
120,20,1,1230,230.0,15.0,30.0
120,26,3,1200,275.0,10.0,0.0
120,25,2,1200,169.99999999999997,10.0,0.0
120,18,0,0,341.6666666666667,0.0,30.0
120,19,0,0,45.0,0.0,0.0
120,16,0,0,406.66666666666674,0.0,90.0
120,15,0,0,33.33333333333333,0.0,0.0
180,1,2,1800,625.0,50.0,0.0
180,4,0,0,40.0,10.0,0.0
180,3,0,0,851.6666666666662,30.0,0.0
180,2,8,1425,210.0,25.0,0.0
180,5,1,1800,95.0,0.0,0.0
180,6,4,1260,1491.666666666668,30.0,900.0
180,7,1,600,3193.333333333326,30.0,330.0
180,12,0,0,913.333333333332,0.0,0.0
180,11,5,1730,376.66666666666663,70.0,180.0
180,10,2,1560,819.9999999999995,25.0,540.0
180,22,3,1800,75.0,30.0,0.0
