cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
120,90.0,0.0,150.0,0.0
180,90.0,0.0,150.0,0.0
240,770.0,0.0,100.0,0.0
300,895.0,0.0,277.5,0.0
360,836.0,0.0,248.0,0.0
420,1478.5714285714287,3160.0,177.14285714285714,690.0
480,1287.0,3537.5,509.0,825.0
540,1588.9473684210527,2877.2727272727275,368.42105263157896,854.5454545454545
600,1594.5833333333333,2900.5555555555557,482.9166666666667,1057.2222222222222
660,1732.0,2910.0,519.6666666666666,1077.0967741935483
720,1867.8048780487804,3237.7272727272725,472.9268292682927,1176.1363636363637
780,1996.4705882352941,3365.3125,458.2352941176471,1231.5625
840,1968.3333333333333,3298.8311688311687,417.5,1272.5974025974026
900,1993.8028169014085,3315.3535353535353,488.7323943661972,1338.080808080808
960,2037.5324675324675,3326.551724137931,503.24675324675326,1317.5862068965516
1020,2009.5402298850574,3396.978417266187,518.2758620689655,1348.705035971223
1080,2014.0,3439.879518072289,494.2,1374.0361445783133
1140,2037.2727272727273,3493.814432989691,464.6363636363636,1400.3092783505156
1200,2086.776859504132,3563.6514522821576,458.3471074380165,1314.1908713692947
1260,2134.154929577465,3603.8888888888887,573.8732394366198,1291.388888888889
1320,2177.5974025974024,3654.4620253164558,561.4285714285714,1290.2848101265822
1380,2191.5028901734104,3669.804469273743,533.9884393063584,1314.9162011173185
1440,2243.475935828877,3787.63723150358,540.7486631016043,1336.0143198090693
1500,2275.369458128079,3864.6569646569646,542.0197044334975,1348.939708939709
1560,2332.648401826484,3923.9736346516006,572.8310502283105,1347.9096045197741
1620,2380.086956521739,3960.3993055555557,553.7826086956521,1361.9270833333333
1680,2385.313807531381,3970.7049180327867,540.2928870292887,1380.7540983606557
1740,2435.8964143426297,4023.414264036419,539.4422310756972,1410.4248861911988
1800,2445.8039215686276,4089.1376912378305,533.9215686274509,1467.6912378303198
1860,2477.5471698113206,4134.891719745223,537.1698113207547,1474.4968152866243
1920,2492.116788321168,4175.218934911242,536.6423357664233,1511.3372781065088
1980,2473.4163701067614,4258.266219239374,538.0427046263345,1535.8724832214766
2040,2468.0208333333335,4285.841269841269,529.9652777777778,1554.984126984127
2100,2489.6575342465753,4347.84,529.931506849315,1579.65
2160,2499.6632996632998,4391.657032755299,551.7508417508418,1607.6878612716764
2220,2484.1042345276874,4445.848880597015,567.7524429967426,1645.5783582089553
2280,2446.832298136646,4487.668711656442,559.5341614906832,1764.0753724802805
2340,2483.3431952662722,4521.08085106383,554.9408284023668,1794.2382978723404
2400,2467.385057471264,4559.570602807597,556.4655172413793,1822.469033856317
2460,2431.4876033057853,4565.749211356467,559.4765840220385,1851.2460567823343
2520,2422.7659574468084,4579.116064565718,581.6223404255319,1863.0130668716372
2580,2413.082901554404,4618.178410794602,592.1502590673575,1855.4422788605698
2640,2400.964467005076,4623.646288209607,582.4111675126903,1844.3449781659388
2700,2390.5637254901962,4630.350250178699,570.2205882352941,1830.9292351679771
2760,2381.5962441314555,4659.08275862069,573.5915492957746,1829.8758620689655
2820,2406.235827664399,4644.818001323627,568.9115646258504,1829.7948378557246
2880,2396.6740576496672,4663.117797695262,587.6718403547671,1816.5492957746478
2940,2431.5384615384614,4682.504604051565,599.4871794871794,1816.1510128913444
3000,2428.595041322314,4679.59739490823,605.4545454545455,1804.6299585553581
3060,2439.089068825911,4681.235565819861,605.6882591093117,1787.026558891455
3120,2428.8690476190477,4668.328643781654,604.1468253968254,1793.5846933033201
3180,2449.378640776699,4721.078590785908,609.5922330097087,1807.2791327913278
3240,2463.186180422265,4715.573080967402,607.7927063339731,1813.9169295478443
3300,2473.7523452157598,4727.675619834711,608.7054409005628,1815.8935950413222
3360,2482.096474953618,4742.107107107107,608.47866419295,1828.1081081081081
3420,2496.007326007326,4748.286270691334,612.7106227106227,1838.8851022395327
3480,2488.0036297640654,4782.919047619048,614.9546279491833,1853.7333333333333
3540,2520.785714285714,4785.192933519294,614.4642857142857,1854.8442584844258
3600,2547.7699115044247,4788.298850574713,610.6725663716815,1862.2436781609194
3660,2542.417391304348,4806.3041516245485,609.9652173913043,1860.9341155234656
