cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
180,88055,25,26,1,L18,1,3767,58,0,1210
240,25304,6,22,1,L23,1,4660,0,10,1220
240,70126,22,23,1,L13,1,1373,31,960,570
300,90505,26,4,1,L20,2,9558,175,360,2620
420,77532,21,27,2,L21,2,2581,1199,20,340
420,77532,1,24,3,L66,1,9924,8213,2200,580
480,17315,3,2,2,L2,1,2662,1594,240,1890
480,17315,2,1,3,L7,2,1408,2405,1710,520
480,22999,5,1,1,L7,2,4113,905,1900,1430
480,27352,8,1,1,L7,1,4948,100,1200,1630
480,37529,8,1,2,L20,1,8664,6969,0,2040
480,37529,1,27,3,L14,1,7461,4520,120,2560
600,12719,2,3,2,L2,2,2758,5609,150,1580
600,12719,8,21,3,L6,1,15383,2930,1020,2430
600,56210,19,22,1,L16,2,5084,569,2120,1410
660,52790,16,2,1,L17,2,1783,75,450,520
720,77107,23,23,1,L6,1,1041,0,520,280
720,52756,16,2,1,L2,2,1534,405,120,800
720,25913,7,7,2,L11,2,2724,1757,0,390
720,25913,1,4,3,L33,1,1483,2722,480,200
720,17907,7,9,1,L4,1,5109,652,840,2030
720,64247,21,21,2,L21,2,1089,1818,2770,290
720,64247,21,23,3,L10,1,3002,1652,40,450
780,5232,1,6,2,L66,1,2838,5255,120,790
780,5232,7,22,3,L23,1,4988,2745,1790,1590
780,78905,27,26,2,L21,2,4343,8220,360,940
780,78905,26,1,3,L20,2,9962,4275,2730,2780
780,52074,13,1,1,L24,2,1953,0,2750,480
780,29712,8,8,1,L7,1,3619,100,200,1310
780,25778,3,2,1,L2,1,1654,444,1420,1570
840,82679,24,27,2,L66,2,4278,3922,100,1510
840,82679,1,22,3,L10,1,11819,8646,110,1530
900,25109,6,10,1,L1,2,3344,836,960,1050
900,26206,7,7,2,L11,2,1873,6137,0,390
900,26206,1,20,3,L24,1,5735,1704,1090,1140
900,65173,21,26,1,L21,2,9005,1231,970,2280
900,56938,20,27,1,L21,1,8907,573,970,2340
900,22156,4,23,1,L6,1,10417,1141,450,4150
960,13396,16,3,2,L2,2,3227,7418,1470,2340
960,13396,8,21,3,L6,1,16638,3565,840,2940
960,52275,26,26,1,L20,2,2089,375,1050,670
1020,84920,25,1,2,L20,2,9662,1856,50,2810
1020,84920,1,3,3,L2,1,1240,8586,200,630
1020,28060,8,2,1,L9,2,6515,733,930,2190
1020,87271,25,1,2,L20,2,9662,8375,2830,2780
1020,87271,27,24,3,L5,1,799,5701,50,2460
1080,84320,25,1,1,L20,2,9662,497,870,2750
1080,18397,3,3,2,L2,2,1284,3409,460,790
1080,18397,1,10,3,L1,1,4009,2499,120,1680
1080,66566,22,1,1,L9,1,15187,416,300,5750
1080,60952,21,26,2,L21,2,7857,8968,740,1870
1080,60952,26,8,3,L20,2,15643,7083,1040,4280
1080,3618,1,6,2,L4,1,2406,4510,340,720
1080,3618,11,18,3,L441,1,1405,5179,1560,1130
1080,22331,4,1,2,L20,1,1859,8188,1270,150
1080,22331,1,23,3,L5,1,10053,1761,1240,3210
1140,68351,22,6,1,L23,2,6043,1124,2130,1620
1140,38122,9,1,1,L4,2,6644,529,660,2620
1140,32394,8,2,1,L9,2,7531,650,5960,2270
1200,27406,8,1,2,L20,1,8423,4215,520,2070
1200,27406,1,2,3,L2,1,3787,4528,2270,2580
1200,64971,21,26,1,L21,2,9005,1079,1720,2250
1200,95465,26,25,1,L18,2,2971,95,2260,1120
1260,7209,1,24,1,L66,1,9924,529,4070,3730
1260,84386,25,7,1,L11,1,10740,257,350,3290
1260,25194,6,19,1,L16,1,9074,470,910,2730
1260,64372,27,24,1,L66,1,3602,1061,2280,1560
1260,26436,6,24,1,L66,1,8623,439,1840,3300
1260,13374,2,8,2,L7,2,2356,9004,1830,640
1260,13374,8,21,3,L6,1,15383,1905,1740,5890
1320,64267,21,21,2,L21,2,1089,2833,370,290
1320,64267,21,23,3,L10,1,4262,1874,5010,1060
1320,87902,25,25,1,L18,2,163,682,3570,190
1320,5280,1,6,2,L66,1,2838,5612,120,790
1320,5280,7,22,3,L23,1,4988,3139,1490,1380
1320,60957,21,26,2,L21,2,7857,11410,370,1960
1320,60957,26,8,3,L20,2,14240,7711,520,3970
1320,7183,1,24,1,L66,1,9924,45,120,3700
1320,82484,24,7,2,L66,2,9235,5653,520,3420
1320,82484,7,22,3,L23,1,5425,7849,3860,1540
1320,53515,16,16,1,L17,2,3895,0,920,750
1320,83935,24,27,1,L66,2,2194,551,2200,710
1380,85546,25,8,1,L20,2,15930,798,450,4420
1380,6534,1,8,2,L7,2,1631,11027,2560,510
1380,6534,8,21,3,L6,1,16799,1843,1740,6670
1380,37434,8,7,2,L6,1,9035,6361,610,3280
1380,37434,6,27,3,L66,1,5817,5511,640,2770
1380,30670,8,5,1,L9,2,8548,259,1450,2900
1380,18243,7,6,2,L17,1,2030,3756,880,500
1380,18243,6,10,3,L44,1,2839,2520,1080,700
1380,17425,3,3,1,L2,1,794,9,60,770
1380,36801,8,26,1,L20,1,15387,164,1620,4010
1380,2852,1,11,1,L16,1,4705,336,510,1560
1380,32948,8,21,1,L9,2,16295,43,3930,5950
1380,6526,1,8,2,L7,2,1631,11253,4360,510
1380,6526,8,23,3,L6,1,17840,1052,1740,6940
1380,85435,25,8,1,L20,2,16586,897,1050,4790
1380,9009,1,27,1,L66,1,8412,246,330,3180
1380,1744,1,6,2,L14,1,2839,4386,130,680
1380,1744,6,10,3,L36,1,3372,3056,3390,1130
1440,82432,24,27,1,L66,2,3924,1329,1000,1400
1440,1757,1,6,2,L14,1,2839,4570,90,680
1440,1757,6,10,3,L36,1,3552,2972,1030,1240
1440,87666,25,1,2,L20,2,9662,8907,50,2810
1440,87666,7,24,3,L5,1,5430,8792,2420,2610
1440,56856,20,21,2,L21,1,10863,2154,700,2860
1440,56856,7,21,3,L9,2,6458,6371,720,640
1440,24692,6,6,2,L1,1,4684,1455,780,2140
1440,24692,6,2,3,L262,1,1993,3011,2050,600
1440,38692,9,6,2,L4,2,4568,1212,420,1610
1440,38692,6,2,3,L262,1,1993,3995,1740,600
1440,32723,8,7,2,L6,1,9035,9735,10,3280
1440,32723,6,19,3,L16,1,8913,5171,890,3380
1440,29348,8,8,1,L9,2,2095,218,280,680
1440,34333,8,1,2,L20,1,8664,6636,1020,2110
1440,34333,6,22,3,L16,1,5078,5359,380,2260
