cycle,waiting1st,waiting2nd,onboard,arrived
0,0,0,0,0
60,14,0,6,0
120,26,3,11,0
180,40,5,14,1
240,53,10,14,3
300,65,15,16,4
360,74,19,23,4
420,108,23,25,5
480,139,23,31,9
540,170,30,34,9
600,206,39,28,11
660,219,47,47,12
720,254,55,40,17
780,324,61,42,22
840,393,68,48,23
900,457,78,52,28
960,502,86,80,30
1020,564,101,83,33
1080,630,109,86,39
1140,698,122,85,42
1200,772,150,63,45
1260,805,161,96,51
1320,864,184,89,59
1380,927,188,92,72
1440,980,189,109,84
1500,992,213,105,93
1560,1014,222,110,98
1620,1036,236,109,104
1680,1057,243,115,111
1740,1067,257,124,119
1800,1099,272,104,133
1860,1121,297,80,151
1920,1143,297,89,161
1980,1156,302,104,169
2040,1183,316,88,185
2100,1218,334,66,195
2160,1241,345,60,208
2220,1310,357,54,216
2280,1374,353,70,223
2340,1447,361,69,226
2400,1484,372,99,231
2460,1540,389,100,240
2520,1607,411,82,252
2580,1652,410,114,259
2640,1711,410,136,261
2700,1782,433,117,269
2760,1855,445,105,279
2820,1892,458,124,293
2880,1947,462,136,305
2940,1953,475,135,328
3000,1976,490,123,343
3060,1987,502,125,359
3120,2020,520,101,373
3180,2044,535,100,376
3240,2064,542,103,387
3300,2086,558,98,395
3360,2103,582,86,407
3420,2125,573,107,414
3480,2149,581,105,425
3540,2183,594,88,436
3600,2205,589,107,441
3660,2211,594,117,461
3720,2247,606,86,485
3780,2281,608,71,505
3840,2287,614,82,523
3900,2301,621,93,532
3960,2324,632,95,537
4020,2350,649,83,547
4080,2354,656,103,557
4140,2385,657,104,565
4200,2412,660,99,581
4260,2423,678,103,589
4320,2441,688,106,599
4380,2513,711,90,603
4440,2584,698,105,613
4500,2632,720,112,619
4560,2692,726,120,628
4620,2751,734,126,638
4680,2802,739,143,648
4740,2821,752,132,668
4800,2842,779,115,678
4860,2851,780,134,690
4920,2874,808,113,701
4980,2894,814,117,712
5040,2907,825,113,733
5100,2909,832,103,754
5160,2919,846,79,774
5220,2921,856,74,787
5280,2936,860,60,802
5340,2952,863,54,809
5400,2928,843,104,823
5460,2938,849,92,839
5520,2952,867,69,850
5580,2963,873,54,868
5640,2977,872,52,877
5700,2994,876,48,880
5760,3002,866,66,884
5820,3011,873,65,889
5880,3011,878,73,896
5940,3024,883,62,909
6000,3043,887,48,920
6060,3055,884,54,925
6120,3069,890,48,931
6180,3053,893,58,934
6240,3042,894,51,951
6300,3028,892,56,962
6360,2978,896,99,965
6420,2964,908,95,971
6480,2939,947,75,977
