cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
0,1,1,0,0.0,0.0,0.0
0,4,0,0,0.0,0.0,0.0
0,3,1,0,0.0,0.0,0.0
0,2,0,0,0.0,0.0,0.0
0,5,1,0,0.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0
0,7,0,0,0.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0
0,11,0,0,0.0,0.0,0.0
0,10,0,0,0.0,0.0,0.0
0,22,1,0,0.0,0.0,0.0
0,21,4,0,0.0,0.0,0.0
0,27,0,0,0.0,0.0,0.0
0,24,2,0,0.0,0.0,0.0
0,23,2,0,0.0,0.0,0.0
0,13,0,0,0.0,0.0,0.0
0,9,3,0,0.0,0.0,0.0
0,17,0,0,0.0,0.0,0.0
0,8,1,0,0.0,0.0,0.0
0,14,0,0,0.0,0.0,0.0
0,20,0,0,0.0,0.0,0.0
0,26,3,0,0.0,0.0,0.0
0,25,1,0,0.0,0.0,0.0
0,18,0,0,0.0,0.0,0.0
0,19,0,0,0.0,0.0,0.0
0,16,0,0,0.0,0.0,0.0
0,15,0,0,0.0,0.0,0.0
60,1,3,400,434.99999999999994,0.0,0.0
60,4,1,600,70.0,0.0,0.0
60,3,0,0,76.66666666666669,10.0,0.0
60,2,1,600,100.0,0.0,0.0
60,5,0,0,0.0,0.0,0.0
60,6,1,600,626.6666666666669,0.0,240.0
60,7,0,0,1473.3333333333355,0.0,60.0
60,12,0,0,45.0,0.0,0.0
60,11,0,0,59.99999999999999,0.0,30.0
60,10,0,0,151.66666666666666,10.0,240.0
60,22,2,300,0.0,0.0,0.0
60,21,6,200,76.66666666666666,0.0,0.0
60,27,2,600,40.0,0.0,30.0
60,24,4,300,0.0,0.0,0.0
60,23,3,200,75.0,0.0,0.0
60,13,0,0,58.33333333333332,0.0,0.0
60,9,3,200,35.0,10.0,0.0
60,17,0,0,0.0,0.0,0.0
60,8,4,600,391.6666666666668,10.0,0.0
60,14,0,0,30.0,0.0,0.0
60,20,0,0,75.0,0.0,0.0
60,26,4,300,85.0,10.0,0.0
60,25,0,0,65.0,10.0,0.0
60,18,0,0,215.0,0.0,0.0
60,19,0,0,10.0,0.0,0.0
60,16,0,0,0.0,0.0,0.0
60,15,0,0,0.0,0.0,0.0
120,1,3,600,545.0,10.0,0.0
120,4,1,600,70.0,0.0,0.0
120,3,0,0,380.00000000000006,10.0,0.0
120,2,2,1200,215.0,10.0,0.0
120,5,2,1200,45.0,0.0,0.0
120,6,0,0,928.3333333333329,10.0,540.0
120,7,0,0,2248.333333333336,0.0,90.0
120,12,1,1200,460.0000000000002,0.0,0.0
120,11,1,1200,198.3333333333333,0.0,90.0
120,10,3,1303,570.0000000000003,20.0,420.0
120,22,4,750,45.0,0.0,0.0
120,21,7,342,338.33333333333337,10.0,0.0
120,27,3,726,135.0,15.0,30.0
120,24,5,600,36.666666666666664,0.0,0.0
120,23,3,400,174.99999999999994,0.0,0.0
120,13,0,0,133.33333333333334,0.0,0.0
120,9,2,300,35.0,10.0,0.0
120,17,0,0,0.0,0.0,0.0
120,8,6,900,736.6666666666661,20.0,0.0
120,14,0,0,110.0,0.0,0.0
120,20,0,0,230.0,0.0,30.0
120,26,4,600,275.0,20.0,0.0
120,25,1,1200,169.99999999999997,10.0,0.0
120,18,1,1200,356.6666666666667,10.0,0.0
120,19,0,0,45.0,0.0,0.0
120,16,0,0,406.6666666666668,0.0,60.0
120,15,0,0,26.666666666666664,0.0,0.0
180,1,5,1200,615.0,20.0,0.0
180,4,1,600,85.0,0.0,0.0
180,3,0,0,786.6666666666661,10.0,0.0
180,2,3,1400,295.0,10.0,0.0
180,5,3,1400,95.0,0.0,0.0
180,6,1,1740,1505.0000000000018,15.0,840.0
180,7,1,1800,3208.3333333333267,0.0,210.0
180,12,2,1500,873.3333333333321,0.0,0.0
180,11,2,1500,376.66666666666663,0.0,180.0
180,10,4,1427,831.6666666666662,20.0,540.0
180,22,2,600,75.0,20.0,0.0
180,21,9,666,531.6666666666669,10.0,0.0
180,27,3,1246,472.50000000000006,30.0,90.0
180,24,5,600,41.666666666666664,0.0,0.0
180,23,3,400,214.99999999999994,0.0,0.0
180,13,0,0,259.9999999999999,0.0,0.0
180,9,4,1050,120.0,10.0,0.0
180,17,0,0,0.0,0.0,0.0
180,8,7,1200,1039.999999999998,40.0,0.0
180,14,0,0,125.0,0.0,0.0
180,20,0,0,455.0,0.0,30.0
180,26,5,840,440.0,25.0,0.0
180,25,4,1650,244.99999999999997,10.0,0.0
180,18,1,1200,395.00000000000006,10.0,90.0
180,19,0,0,85.0,0.0,30.0
180,16,0,0,611.666666666667,0.0,180.0
180,15,0,0,209.99999999999997,0.0,0.0
240,1,6,1500,815.0,45.0,30.0
240,4,2,1500,133.33333333333334,0.0,0.0
240,3,1,2480,966.6666666666656,15.0,0.0
240,2,8,2021,400.0,15.0,0.0
240,5,3,1400,105.0,0.0,0.0
240,6,2,1980,2073.333333333337,20.0,1140.0
240,7,1,1800,4228.333333333322,0.0,240.0
240,12,2,1500,1693.3333333333355,0.0,0.0
240,11,3,1800,461.66666666666663,0.0,180.0
240,10,5,1662,1418.3333333333348,25.0,630.0
240,22,2,600,90.0,25.0,0.0
240,21,11,1200,706.6666666666661,10.0,0.0
240,27,3,1246,919.166666666666,60.0,90.0
240,24,3,1000,116.66666666666667,10.0,0.0
240,23,3,400,378.3333333333335,5.0,0.0
240,13,0,0,513.3333333333337,0.0,0.0
240,9,5,1320,220.0,10.0,0.0
240,17,0,0,0.0,0.0,0.0
240,8,10,1560,1194.9999999999995,40.0,0.0
240,14,0,0,160.0,0.0,0.0
240,20,0,0,895.0,0.0,60.0
240,26,7,1265,665.0,30.0,0.0
240,25,4,1950,325.0,30.0,0.0
240,18,1,1200,405.00000000000006,10.0,90.0
240,19,1,2400,264.16666666666663,0.0,30.0
240,16,0,0,738.3333333333336,0.0,180.0
240,15,0,0,209.99999999999997,0.0,0.0
300,1,7,1885,1114.9999999999998,65.0,60.0
300,4,2,1800,180.0,15.0,0.0
300,3,2,2740,966.6666666666656,15.0,0.0
300,2,10,2217,495.00000000000006,15.0,0.0
300,5,5,2040,280.0,0.0,30.0
300,6,2,1980,2719.9999999999973,20.0,1470.0
300,7,1,1800,5493.333333333345,0.0,420.0
300,12,2,1500,2944.9999999999914,0.0,30.0
300,11,5,2280,534.9999999999999,0.0,300.0
300,10,6,1885,2141.6666666666715,25.0,720.0
300,22,2,600,155.0,35.0,0.0
300,21,10,1260,986.666666666665,20.0,0.0
300,27,3,1246,1049.166666666666,60.0,90.0
300,24,5,1800,123.33333333333334,10.0,0.0
300,23,6,2628,491.66666666666697,30.0,0.0
300,13,0,0,773.3333333333326,0.0,0.0
300,9,4,1200,300.0,20.0,0.0
300,17,0,0,0.0,0.0,0.0
300,8,11,1745,1438.3333333333353,50.0,0.0
300,14,0,0,165.0,0.0,0.0
300,20,0,0,1412.5,0.0,60.0
300,26,9,1677,830.0,40.0,0.0
300,25,5,2160,390.0,30.0,0.0
300,18,1,1200,405.00000000000006,10.0,120.0
300,19,1,2400,352.50000000000006,0.0,60.0
300,16,1,3000,1016.6666666666663,0.0,180.0
300,15,0,0,310.00000000000006,0.0,0.0
360,1,9,2400,1309.9999999999998,85.0,180.0
360,4,3,2600,278.3333333333333,25.0,0.0
360,3,2,3300,1076.666666666666,15.0,0.0
360,2,10,2517,530.0,15.0,0.0
360,5,6,2683,515.0,20.0,60.0
360,6,3,2406,3416.666666666656,40.0,1680.0
360,7,2,2975,7220.000000000041,15.0,600.0
360,12,3,2200,3461.666666666649,0.0,30.0
360,11,7,2657,731.666666666666,0.0,360.0
360,10,7,2130,2766.6666666666606,25.0,900.0
360,22,3,1600,175.0,35.0,30.0
360,21,15,2120,1205.0,30.0,0.0
360,27,2,1380,1353.333333333334,70.0,120.0
360,24,8,2475,158.33333333333334,10.0,0.0
360,23,12,3410,616.666666666667,40.0,0.0
360,13,0,0,1056.6666666666652,0.0,60.0
360,9,7,2228,370.0,20.0,30.0
360,17,0,0,0.0,0.0,0.0
360,8,15,2520,1633.3333333333374,80.0,0.0
360,14,0,0,240.0,0.0,0.0
360,20,0,0,1750.0000000000007,0.0,90.0
360,26,11,2027,1020.0,40.0,0.0
360,25,5,2280,540.0,40.0,0.0
360,18,2,2400,445.00000000000017,10.0,120.0
360,19,1,2400,387.50000000000006,0.0,60.0
360,16,1,3000,1056.6666666666663,20.0,180.0
360,15,0,0,401.66666666666686,0.0,0.0
420,1,11,2781,1805.0000000000002,95.0,330.0
420,4,6,3400,330.0,25.0,0.0
420,3,3,3800,1371.6666666666677,15.0,0.0
420,2,14,3108,659.9999999999998,40.0,0.0
420,5,7,2900,605.0,20.0,60.0
420,6,5,3056,4320.83333333332,55.0,2040.0
420,7,2,2975,8696.6666666667,25.0,780.0
420,12,3,2200,4048.3333333333067,0.0,30.0
420,11,14,3452,884.9999999999991,5.0,390.0
420,10,7,2130,3504.9999999999836,25.0,1200.0
420,22,5,2640,220.0,35.0,30.0
420,21,17,2364,1363.3333333333344,30.0,0.0
420,27,2,1380,1647.5000000000014,70.0,150.0
420,24,5,2880,188.33333333333334,55.0,0.0
420,23,13,3470,696.666666666667,40.0,0.0
420,13,1,4200,1403.3333333333342,0.0,60.0
420,9,13,3138,440.0,20.0,30.0
420,17,0,0,0.0,0.0,0.0
420,8,19,2905,1840.000000000006,90.0,0.0
420,14,0,0,250.0,0.0,0.0
420,20,0,0,2221.666666666668,0.0,120.0
420,26,15,2598,1280.0,45.0,0.0
420,25,5,2280,580.0,40.0,0.0
420,18,2,2400,450.00000000000017,10.0,120.0
420,19,1,2400,407.50000000000006,0.0,60.0
420,16,2,3600,1293.3333333333346,20.0,180.0
420,15,0,0,635.0,0.0,0.0
480,1,13,3692,2145.0,130.0,510.0
480,4,7,3685,475.00000000000006,35.0,0.0
480,3,5,4200,1621.6666666666677,15.0,0.0
480,2,15,3381,839.9999999999998,50.0,0.0
480,5,7,2900,775.0,20.0,60.0
480,6,7,3552,5425.8333333333485,60.0,2490.0
480,7,4,3887,10188.333333333303,25.0,930.0
480,12,3,2200,4683.33333333332,0.0,30.0
480,11,15,3582,929.9999999999991,5.0,450.0
480,10,8,2463,3996.6666666666424,35.0,1470.0
480,22,6,3100,225.0,45.0,30.0
480,21,20,2730,1536.6666666666686,30.0,0.0
480,27,3,2520,1963.3333333333355,75.0,150.0
480,24,11,3927,195.0,55.0,0.0
480,23,16,3720,791.6666666666666,40.0,0.0
480,13,1,4200,1603.3333333333355,0.0,60.0
480,9,13,3230,629.9999999999997,30.0,90.0
480,17,0,0,0.0,0.0,0.0
480,8,20,3030,2205.0000000000064,100.0,0.0
480,14,0,0,325.0,0.0,0.0
480,20,1,4800,2787.499999999998,0.0,180.0
480,26,14,2622,1470.0,45.0,0.0
480,25,6,3200,580.0,60.0,0.0
480,18,3,3200,465.00000000000017,10.0,120.0
480,19,0,0,502.50000000000017,10.0,120.0
480,16,5,4320,1408.3333333333346,20.0,180.0
480,15,0,0,943.3333333333327,0.0,0.0
540,1,17,4117,2521.6666666666656,155.0,630.0
540,4,9,4066,490.00000000000006,35.0,0.0
540,3,4,4350,1878.3333333333364,15.0,0.0
540,2,19,3806,989.9999999999998,50.0,30.0
540,5,8,3280,825.0,25.0,90.0
540,6,9,3946,6200.8333333333685,65.0,2760.0
540,7,4,3887,10998.333333333281,35.0,1020.0
540,12,3,2200,5723.333333333354,0.0,30.0
540,11,14,3752,1069.9999999999993,25.0,450.0
540,10,10,3051,4978.333333333334,35.0,1800.0
540,22,8,3675,245.0,45.0,60.0
540,21,26,3346,1675.000000000003,30.0,0.0
540,27,4,3532,2271.6666666666692,80.0,180.0
540,24,8,3675,230.0,85.0,0.0
540,23,19,3964,811.6666666666666,50.0,0.0
540,13,1,4200,2158.333333333338,0.0,90.0
540,9,15,3520,841.6666666666656,30.0,120.0
540,17,0,0,0.0,0.0,0.0
540,8,28,3962,2528.3333333333344,115.0,0.0
540,14,0,0,390.0,0.0,0.0
540,20,2,5100,3252.499999999996,0.0,180.0
540,26,19,3371,1675.0,50.0,0.0
540,25,4,2400,580.0,80.0,0.0
540,18,3,3200,556.666666666667,10.0,150.0
540,19,0,0,557.5000000000002,10.0,150.0
540,16,7,4628,1636.6666666666695,20.0,180.0
540,15,0,0,1160.0000000000002,0.0,0.0
600,1,19,4410,2896.666666666664,185.0,690.0
600,4,10,4260,599.9999999999999,35.0,0.0
600,3,7,5217,1933.3333333333364,25.0,0.0
