cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
180,1210.0,0.0,0.0,0.0
240,1000.0,0.0,323.3333333333333,0.0
300,1405.0,0.0,332.5,0.0
360,1405.0,0.0,332.5,0.0
420,1405.0,920.0,332.5,2220.0
480,1446.6666666666667,2643.3333333333335,738.3333333333334,1430.0
540,1446.6666666666667,2643.3333333333335,738.3333333333334,1430.0
600,1441.4285714285713,2985.0,935.7142857142857,1365.0
660,1326.25,2985.0,875.0,1365.0
720,1247.2727272727273,2211.6666666666665,770.9090909090909,1458.3333333333333
780,1220.0,2421.25,917.8571428571429,1718.75
840,1220.0,2490.0,917.8571428571429,1551.111111111111
900,1494.4444444444443,2394.0,900.0,1505.0
960,1451.0526315789473,2656.3636363636365,907.8947368421053,1578.1818181818182
1020,1488.0,2915.3846153846152,909.0,1576.1538461538462
1080,1739.090909090909,3042.9411764705883,879.5454545454545,1603.5294117647059
1140,1790.8,3042.9411764705883,1124.0,1603.5294117647059
1200,1782.962962962963,3132.222222222222,1188.148148148148,1669.4444444444443
1260,1960.9375,3311.0526315789475,1297.8125,1769.4736842105262
1320,1891.6666666666667,3361.7391304347825,1342.7777777777778,1994.7826086956522
1380,2174.5454545454545,3607.5,1312.2727272727273,2250.3571428571427
1440,2145.531914893617,3600.5405405405404,1367.4468085106382,2413.5135135135133
1500,2128.076923076923,3494.6341463414633,1620.9615384615386,2364.6341463414633
1560,2163.090909090909,3702.093023255814,1550.5454545454545,2363.720930232558
1620,2166.4406779661017,3742.222222222222,1637.1186440677966,2373.1111111111113
1680,2113.3333333333335,4077.2916666666665,1768.5714285714287,2422.9166666666665
1740,2052.6470588235293,4016.470588235294,1737.6470588235295,2527.6470588235293
1800,2085.3947368421054,4167.19298245614,2019.4736842105262,2632.8070175438597
1860,2302.705882352941,4219.848484848485,1970.1176470588234,2814.5454545454545
1920,2284.659090909091,4134.520547945205,2189.5454545454545,3087.671232876712
1980,2303.777777777778,4053.0379746835442,2181.777777777778,3319.3670886075947
2040,2339.8936170212764,4266.813186813187,2230.531914893617,3391.3186813186812
2100,2284.1,4282.736842105263,2704.8,3402.842105263158
2160,2383.2727272727275,4244.3877551020405,2725.3636363636365,3508.1632653061224
2220,2412.3008849557523,4302.233009708738,2655.3982300884954,3551.1650485436894
2280,2376.3793103448274,4236.07476635514,2623.189655172414,3554.5794392523367
2340,2376.3793103448274,4278.090909090909,2623.189655172414,3520.909090909091
2400,2370.3389830508477,4265.309734513275,2627.1186440677966,3645.929203539823
2460,2365.289256198347,4305.294117647059,2687.685950413223,3666.1344537815125
2520,2314.7619047619046,4329.126984126984,2878.6507936507937,3867.4603174603176
2580,2309.6062992125985,4481.818181818182,2859.2913385826773,4113.181818181818
2640,2295.546875,4462.105263157895,2851.640625,4090.6015037593984
2700,2295.0,4510.863309352518,2821.846153846154,4341.582733812949
2760,2331.2408759124087,4502.5352112676055,2782.4817518248174,4298.802816901409
2820,2341.301369863014,4493.673469387755,2775.6849315068494,4269.319727891157
2880,2337.181208053691,4508.141025641025,2772.281879194631,4632.115384615385
2940,2329.4701986754967,4518.983050847458,2772.7152317880796,5086.779661016949
3000,2270.1234567901233,4525.359116022099,3217.3456790123455,5188.342541436464
3060,2262.3076923076924,4502.9473684210525,3285.147928994083,5228.684210526316
3120,2233.072625698324,4488.865979381443,3673.463687150838,5184.587628865979
3180,2253.4444444444443,4504.081632653061,3662.1666666666665,5149.744897959184
3240,2251.358695652174,4557.142857142857,3595.7065217391305,5241.330049261083
3300,2251.358695652174,4614.123222748815,3595.7065217391305,5164.5023696682465
3360,2284.3915343915346,4677.247706422018,3576.031746031746,5209.174311926606
3420,2267.1354166666665,4646.666666666667,3536.5625,5302.792792792793
3480,2281.0309278350514,4679.220779220779,3561.443298969072,5423.116883116883
3540,2316.530612244898,4635.75,3550.918367346939,5499.083333333333
3600,2307.055837563452,4624.180327868852,3568.5786802030457,5493.44262295082
3660,2279.656862745098,4600.817120622568,3624.705882352941,5433.151750972763
3720,2298.7272727272725,4640.301886792453,3916.9545454545455,5558.7169811320755
