cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
300,17561,3,3,2,L2,2,939,1078,350,780
300,17561,1,7,3,L66,1,1804,1397,10,570
420,20681,4,1,2,L20,1,1458,4507,1780,290
420,20681,1,5,3,L4,1,3960,1605,380,1360
420,64372,27,24,1,L66,1,3602,1061,620,1510
420,10865,2,9,1,L7,1,6018,504,2120,1950
480,20606,4,1,2,L20,1,1859,2687,120,150
480,20606,1,3,3,L2,1,1834,1895,860,1390
480,64431,21,21,2,L21,2,1089,3535,740,230
480,64431,7,24,3,L66,1,6585,3588,30,1080
480,86362,25,1,2,L20,2,10064,4603,0,2710
480,86362,6,12,3,L10,1,3134,9998,170,1730
600,37623,8,1,2,L20,1,7166,7659,470,1600
600,37623,6,27,3,L14,1,7658,5456,90,3290
600,30042,8,5,1,L7,1,8283,458,0,2790
600,4952,7,21,1,L6,1,7005,639,220,2590
660,9280,2,16,2,L262,1,1437,5141,450,410
660,9280,16,1,3,L2,2,4079,1750,2410,2870
660,82432,24,27,1,L66,2,3924,1329,60,1400
660,87945,25,26,1,L20,2,1043,633,1230,270
720,19782,7,23,1,L5,1,8845,669,170,2830
720,602,1,6,1,L1,1,7017,990,620,3180
720,58263,21,1,1,L3,2,7646,614,2390,2760
720,95533,26,26,1,L20,1,1326,269,100,420
780,38271,9,1,1,L4,2,6270,45,130,2440
780,84349,25,1,1,L20,2,9662,614,4070,2800
780,367,1,4,1,L24,1,1949,84,260,200
780,17588,7,7,1,L17,1,1547,756,130,340
780,25778,3,2,1,L2,1,1654,444,1990,1560
840,3707,1,19,1,L16,1,12503,45,960,3970
840,40712,9,9,1,L4,1,613,664,80,4860
840,3204,1,6,1,L19,1,5540,766,760,1830
840,99260,27,24,1,L66,1,2606,0,3020,770
840,52275,26,26,1,L20,2,2089,375,230,640
840,95583,26,26,1,L11,1,1486,0,5300,550
840,66997,22,1,1,L10,2,11252,198,10,4060
900,8732,1,26,1,L33,1,6916,866,2670,1770
900,91442,26,8,1,L20,2,14240,240,470,3990
900,77148,23,23,1,L6,1,1041,1141,270,190
960,21615,4,21,1,L6,1,9718,35,710,3740
960,3786,1,21,1,L3,1,7051,1163,1000,2530
960,82063,24,27,1,L66,2,3464,1285,940,1400
960,18359,7,10,1,L15,1,4354,1094,330,1430
1020,87955,25,26,1,L20,2,641,535,330,290
1020,21818,4,1,2,L20,1,1458,6543,580,290
1020,21818,1,21,3,L3,1,7395,1444,4930,2680
1020,31685,8,7,2,L6,1,9035,4850,420,3180
1020,31685,6,11,3,L16,1,3999,5252,3780,1960
1020,67482,22,2,1,L9,1,14158,1042,900,5440
1020,67385,22,2,1,L9,1,14158,185,900,5440
1020,29270,8,8,1,L20,1,1808,270,1100,660
1080,29246,8,8,1,L9,1,2408,0,590,830
1080,7371,1,27,1,L14,1,8617,1216,2710,2980
1080,19289,7,22,1,L16,1,7744,1613,780,2550
1080,84707,25,1,2,L20,2,9662,3332,4070,2800
1080,84707,1,2,3,L2,1,2055,9112,1580,1600
1140,22235,4,23,1,L6,1,10875,327,540,4460
1140,68323,22,7,1,L6,2,8548,476,310,3070
1140,212,1,2,1,L2,1,3548,0,650,2180
1140,274,1,2,1,L2,1,3548,529,1250,2180
1140,64247,21,21,2,L21,2,1089,1818,6480,260
1140,64247,21,23,3,L10,1,3002,1652,980,620
1200,18433,3,3,2,L2,2,939,4659,2260,190
1200,18433,1,11,3,L16,1,5803,1146,1290,1930
1200,65115,21,26,1,L21,2,9005,1231,1680,2240
1200,64901,27,24,1,L66,1,2809,1386,5960,960
1200,7155,1,24,1,L66,1,10251,0,2160,3800
1260,2150,1,9,1,L4,1,6186,614,2060,2240
1260,85742,25,8,1,L20,2,16988,132,830,4730
1260,69929,22,21,1,L6,2,2759,0,10,900
1260,3208,1,11,1,L16,1,4705,865,20,1500
1260,82623,24,1,2,L66,2,10000,7143,660,4140
1260,82623,1,22,3,L16,1,8211,8272,740,2690
1260,7082,1,24,1,L66,1,9313,628,50,3450
1320,53599,16,16,1,L17,2,6657,62,270,1610
1320,62806,22,11,1,L30,1,2712,1181,1810,700
1320,88337,25,26,1,L18,1,1972,240,4960,620
1320,48975,11,11,1,L30,1,2648,339,440,390
1320,87902,25,25,1,L18,2,163,682,4910,190
1320,84320,25,1,1,L20,2,9662,497,510,2800
1320,6435,1,23,1,L10,1,11445,628,830,3800
1320,21775,4,21,1,L6,1,9317,0,1990,3850
1320,83253,24,24,1,L66,1,503,0,7350,330
1320,95584,26,26,1,L18,2,1187,408,410,90
1320,5002,1,27,1,L14,1,6937,1168,830,2130
1320,87033,25,7,2,L11,1,10126,6223,3520,3270
1320,87033,7,22,3,L16,1,7083,9125,430,2340
1320,52106,26,4,1,L20,2,11006,358,510,3070
1380,21815,4,21,1,L6,1,10074,0,2140,3940
1380,29397,8,8,1,L7,1,2225,14,3450,840
1380,22411,4,23,1,L6,1,10417,0,940,4200
1380,95491,26,26,1,L11,2,1148,216,2950,400
1380,94390,26,1,2,L20,2,9962,7962,30,2810
1380,94390,1,27,3,L5,1,7975,9014,2500,2360
1380,22331,4,23,1,L6,1,11276,125,2140,4390
1380,67512,22,2,2,L9,1,14462,1066,600,5300
1380,67512,1,3,3,L2,1,1834,8430,700,4760
1440,6427,1,23,1,L3,1,22592,614,2200,6820
1440,7323,1,23,1,L3,1,22592,1123,1000,6820
1440,33284,8,21,1,L9,2,16514,0,930,6320
1440,36943,8,26,1,L20,1,16713,540,1100,4380
1440,15693,16,7,2,L17,2,3209,7930,3330,820
1440,15693,6,24,3,L66,1,7509,2939,550,2680
1440,40987,9,6,2,L4,2,4194,2277,400,1590
1440,40987,6,16,3,L262,1,2395,4175,2260,760
1440,53027,16,6,1,L17,2,11003,1602,980,2870
1440,2053,1,9,1,L4,1,5509,45,0,2080
1440,26725,8,1,1,L7,1,4775,78,2250,1900
1440,27633,8,2,1,L9,2,7531,627,680,2300
1500,32165,8,1,2,L20,1,8664,3322,6500,2090
1500,32165,1,6,3,L19,1,5540,4579,1090,1810
1500,29713,8,8,1,L7,1,1638,0,1380,560
1500,53340,16,6,2,L17,2,12375,6685,170,3090
1500,53340,6,9,3,L36,1,6612,11687,2120,2000
1500,87095,25,1,2,L20,2,9662,7431,950,2840
1500,87095,6,22,3,L16,1,6197,10452,460,2540
1500,76955,23,23,1,L5,1,1246,582,3400,440
1500,6406,1,23,1,L10,1,11143,614,1030,3450
1500,28012,8,2,1,L7,1,6250,833,450,2270
1500,34313,8,1,2,L20,1,7844,7792,1100,2090
1500,34313,1,22,3,L16,1,8211,3931,460,2720
1500,52933,16,7,1,L17,2,12545,412,1810,3440
1500,88574,26,1,2,L20,2,9962,4537,350,2840
