cycle,waiting1st,waiting2nd,onboard,arrived
0,0,0,0,0
60,15,0,5,0
120,33,2,5,0
180,47,3,10,0
240,63,8,9,0
300,79,8,12,1
360,91,11,17,1
420,123,13,21,4
480,155,15,25,7
540,190,18,28,7
600,228,19,27,10
660,258,22,32,13
720,291,23,35,17
780,353,29,45,22
840,419,33,51,29
900,497,44,42,32
960,542,49,71,36
1020,613,58,68,42
1080,686,64,68,46
1140,754,72,70,51
1200,829,95,51,55
1260,861,93,98,61
1320,907,113,102,74
1380,975,122,101,81
1440,1036,128,107,91
1500,1054,144,104,101
1560,1071,150,111,112
1620,1082,170,114,119
1680,1087,187,123,129
1740,1096,199,135,137
1800,1130,221,108,149
1860,1149,234,109,157
1920,1166,232,118,174
1980,1187,258,104,182
2040,1214,266,101,191
2100,1242,284,81,206
2160,1273,292,71,218
2220,1342,295,67,233
2280,1413,296,66,245
2340,1474,303,73,253
2400,1532,313,83,258
2460,1592,321,84,272
2520,1648,335,88,281
2580,1682,340,123,290
2640,1746,342,132,298
2700,1796,358,140,307
2760,1866,402,96,320
2820,1923,410,101,333
2880,1980,417,111,342
2940,1980,419,138,354
3000,1996,430,131,375
3060,2021,447,116,389
3120,2047,456,114,397
3180,2066,472,114,403
3240,2084,484,120,408
3300,2102,508,109,418
3360,2117,526,107,428
3420,2151,540,91,437
3480,2175,535,104,446
3540,2206,553,84,458
3600,2223,549,103,467
3660,2244,553,103,483
3720,2268,562,80,514
3780,2291,562,74,538
3840,2309,571,78,548
3900,2330,573,86,558
3960,2351,579,81,577
4020,2370,600,75,584
4080,2384,601,90,595
4140,2408,602,97,604
4200,2436,615,85,616
4260,2451,613,104,625
4320,2472,642,88,632
4380,2535,638,104,640
4440,2596,644,116,644
4500,2659,654,119,651
4560,2719,654,127,666
4620,2790,666,110,683
4680,2836,664,136,696
4740,2869,673,121,710
4800,2875,688,132,719
4860,2892,704,127,732
4920,2911,726,113,746
4980,2926,738,117,756
5040,2942,745,121,770
5100,2952,759,98,789
5160,2941,763,111,803
5220,2951,775,94,818
5280,2966,778,85,829
5340,2981,776,78,843
5400,2990,785,59,864
5460,2999,786,60,873
5520,3012,795,52,879
5580,3030,796,44,888
5640,3040,797,41,900
5700,3054,797,44,903
5760,3062,799,44,913
5820,3073,798,51,916
5880,3077,805,56,920
5940,3091,811,48,928
6000,3106,817,45,930
6060,3120,815,45,938
6120,3137,819,37,945
6180,3117,821,50,950
6240,3102,821,48,967
6300,3094,808,63,973
6360,3044,797,111,986
6420,3029,811,106,992
6480,3011,831,100,996
