cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
0,1,0,0,0.0,0.0,0.0
0,4,1,0,0.0,0.0,0.0
0,3,1,0,0.0,0.0,0.0
0,2,3,0,0.0,0.0,0.0
0,5,1,0,0.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0
0,7,0,0,0.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0
0,11,0,0,0.0,0.0,0.0
0,10,0,0,0.0,0.0,0.0
0,22,2,0,0.0,0.0,0.0
0,21,3,0,0.0,0.0,0.0
0,27,0,0,0.0,0.0,0.0
0,24,1,0,0.0,0.0,0.0
0,23,1,0,0.0,0.0,0.0
0,13,0,0,0.0,0.0,0.0
0,9,1,0,0.0,0.0,0.0
0,17,0,0,0.0,0.0,0.0
0,8,1,0,0.0,0.0,0.0
0,14,0,0,0.0,0.0,0.0
0,20,1,0,0.0,0.0,0.0
0,26,1,0,0.0,0.0,0.0
0,25,1,0,0.0,0.0,0.0
0,18,0,0,0.0,0.0,0.0
0,19,0,0,0.0,0.0,0.0
0,16,1,0,0.0,0.0,0.0
0,15,1,0,0.0,0.0,0.0
60,1,0,0,434.99999999999994,0.0,0.0
60,4,1,0,40.0,0.0,0.0
60,3,0,0,76.66666666666669,10.0,0.0
60,2,5,360,100.0,10.0,0.0
60,5,2,300,0.0,0.0,0.0
60,6,0,0,626.6666666666666,0.0,240.0
60,7,0,0,1473.3333333333355,0.0,30.0
60,12,1,600,45.0,0.0,0.0
60,11,2,600,73.33333333333333,0.0,60.0
60,10,1,600,146.66666666666669,0.0,150.0
60,22,2,0,0.0,0.0,0.0
60,21,5,240,76.66666666666666,0.0,0.0
60,27,0,0,40.0,0.0,30.0
60,24,0,0,0.0,10.0,0.0
60,23,1,0,75.0,0.0,0.0
60,13,0,0,58.33333333333332,0.0,0.0
60,9,2,300,35.0,0.0,0.0
60,17,0,0,0.0,0.0,0.0
60,8,2,600,371.66666666666674,10.0,0.0
60,14,0,0,60.0,0.0,0.0
60,20,1,0,75.0,0.0,0.0
60,26,4,450,85.0,0.0,0.0
60,25,4,600,65.0,10.0,0.0
60,18,0,0,215.0,0.0,30.0
60,19,0,0,10.0,0.0,0.0
60,16,1,0,0.0,0.0,0.0
60,15,1,0,20.0,0.0,0.0
120,1,1,1200,545.0,0.0,0.0
120,4,2,600,40.0,0.0,0.0
120,3,1,1200,420.00000000000006,10.0,0.0
120,2,6,500,175.0,10.0,0.0
120,5,2,300,30.0,0.0,0.0
120,6,0,0,968.3333333333327,0.0,480.0
120,7,0,0,2253.333333333336,0.0,60.0
120,12,1,600,460.0000000000002,0.0,0.0
120,11,2,600,218.33333333333326,0.0,60.0
120,10,0,0,565.0000000000003,10.0,420.0
120,22,2,0,45.0,0.0,0.0
120,21,8,600,338.33333333333337,0.0,0.0
120,27,3,1036,135.0,5.0,30.0
120,24,3,1200,36.666666666666664,10.0,0.0
120,23,3,800,174.99999999999994,0.0,0.0
120,13,0,0,133.33333333333334,0.0,0.0
120,9,3,600,35.0,0.0,0.0
120,17,0,0,0.0,0.0,0.0
120,8,3,1000,609.9999999999998,20.0,0.0
120,14,0,0,140.0,0.0,0.0
120,20,1,0,230.0,0.0,0.0
120,26,6,700,280.0,0.0,0.0
120,25,4,600,169.99999999999997,10.0,0.0
120,18,1,1200,363.33333333333337,0.0,30.0
120,19,0,0,45.0,0.0,0.0
120,16,2,655,406.66666666666674,5.0,120.0
120,15,1,0,153.33333333333334,0.0,0.0
180,1,3,1600,615.0,0.0,0.0
180,4,1,1800,40.0,20.0,0.0
180,3,0,0,871.6666666666661,20.0,0.0
180,2,7,685,210.0,10.0,0.0
