cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
300,0.0,1350.0,0.0,360.0
360,0.0,1350.0,0.0,360.0
420,1730.0,1500.0,1370.0,1260.0
480,1730.0,2058.0,1370.0,888.0
540,1730.0,2058.0,1370.0,888.0
600,2210.0,2530.0,740.0,833.3333333333334
660,1751.6666666666667,2637.1428571428573,708.3333333333334,1122.857142857143
720,1970.0,2637.1428571428573,753.0,1122.857142857143
780,1802.6666666666667,2637.1428571428573,940.6666666666666,1122.857142857143
840,1987.2727272727273,2637.1428571428573,1112.2727272727273,1122.857142857143
900,1986.8,2637.1428571428573,1115.2,1122.857142857143
960,2026.551724137931,2637.1428571428573,1064.1379310344828,1122.857142857143
1020,2139.3939393939395,2952.222222222222,1033.030303030303,1952.2222222222222
1080,2137.777777777778,3097.0,1060.2777777777778,2322.0
1140,2221.25,2895.4545454545455,1023.0,2789.090909090909
1200,2229.0697674418607,2830.8333333333335,1179.5348837209303,2852.5
1260,2263.9583333333335,3138.4615384615386,1118.5416666666667,2740.769230769231
1320,2137.5,3315.0,1308.5,2827.1428571428573
1380,2184.923076923077,3852.5,1386.6153846153845,2713.125
1440,2404.246575342466,3749.4444444444443,1359.86301369863,2775.0
1500,2380.3846153846152,4002.608695652174,1376.1538461538462,2779.1304347826085
1560,2278.3720930232557,3973.846153846154,1439.3023255813953,2687.6923076923076
1620,2311.8888888888887,4052.0689655172414,1471.111111111111,2632.7586206896553
1680,2426.1458333333335,4422.424242424242,1491.875,2677.2727272727275
1740,2459.3,4288.378378378378,1596.1,2760.810810810811
1800,2420.7476635514017,4392.857142857143,1712.6168224299065,2970.9523809523807
1860,2465.535714285714,4478.888888888889,1746.517857142857,3116.0
1920,2475.294117647059,4467.818181818182,1914.2857142857142,3536.0
1980,2479.8333333333335,4458.387096774193,1901.25,3601.935483870968
2040,2509.609375,4439.68253968254,2052.1875,3636.9841269841268
2100,2478.695652173913,4481.911764705882,2192.31884057971,3546.6176470588234
2160,2533.758865248227,4644.545454545455,2158.22695035461,3833.7662337662337
2220,2535.8,4739.156626506024,2173.0666666666666,3829.0361445783133
2280,2601.474358974359,4811.460674157303,2219.74358974359,3910.449438202247
2340,2642.6415094339623,4936.170212765957,2196.0377358490564,3815.6382978723404
2400,2713.865030674847,4982.631578947368,2172.2085889570553,3800.0
2460,2714.464285714286,4962.788461538462,2174.1071428571427,3951.25
2520,2747.1098265895953,5109.537037037037,2133.4104046242774,3931.296296296296
2580,2722.840909090909,5071.754385964912,2102.840909090909,4105.175438596491
2640,2684.1111111111113,5038.3050847457625,2210.1666666666665,4335.677966101695
2700,2650.5913978494623,4962.3140495867765,2310.3763440860216,4388.842975206611
2760,2613.6082474226805,4947.857142857143,2387.5257731958764,4474.523809523809
2820,2609.3,4962.0300751879695,2476.6,4736.992481203008
2880,2582.2815533980583,5051.029411764706,2455.4854368932038,4890.073529411765
2940,2584.9065420560746,5013.142857142857,2594.532710280374,4883.428571428572
3000,2622.3478260869565,4941.6551724137935,2648.086956521739,4787.310344827586
3060,2584.476987447699,5020.6,3029.874476987448,4713.066666666667
3120,2572.60162601626,5019.801324503312,3024.959349593496,4706.092715231788
3180,2580.9274193548385,4991.032258064516,3004.2741935483873,4764.193548387097
3240,2584.9206349206347,4989.74358974359,2996.1507936507937,4852.820512820513
3300,2619.189189189189,4976.037735849057,2996.4092664092664,4880.440251572327
3360,2592.1132075471696,4945.521472392638,3019.5471698113206,4953.558282208589
3420,2603.3828996282527,5030.0,3028.252788104089,5127.5
3480,2631.890909090909,5002.5730994152045,3024.6181818181817,5149.883040935672
3540,2649.6057347670253,5034.860335195531,3010.9318996415773,5565.977653631285
3600,2661.853146853147,5055.359116022099,2971.2587412587413,5576.2430939226515
3660,2625.8445945945946,4991.176470588235,3026.1486486486488,5717.219251336898
3720,2663.226837060703,4922.189054726368,3349.968051118211,5901.940298507463
3780,2636.9604863221884,4927.799043062201,3544.3768996960484,5985.980861244019
3840,2632.373887240356,4926.4928909952605,3703.353115727003,5982.60663507109
